timestamp,class,brake,avoidance,displacement,state
00:00:00:000,j,d,b,y,9
00:00:13:425,j,,,,
00:01:31:296,j,,,,
00:02:35:107,j,d,,,
00:03:32:064,j,,,,
00:04:00:749,j,,,,
00:04:49:828,j,,,,
00:04:58:600,j,,,,
00:05:58:361,j,,,,
00:06:02:536,j,,,,
00:06:06:669,j,,,,
00:06:45:823,j,,,,
00:06:48:114,j,,,,
00:07:11:326,j,,,,
00:07:37:792,j,,,,
00:08:15:798,j,,,,
00:08:35:478,j,,,,
00:08:47:735,j,,,,
00:09:35:340,j,,,,
00:09:37:832,j,,,,
00:10:23:650,j,,,,
00:10:28:177,k,,,,
00:10:44:345,j,,,,
00:12:48:053,j,,,,
00:13:54:086,j,,,,
00:15:24:516,j,,,,
00:16:05:179,k,d,,,
00:16:09:477,j,,,,
00:16:13:376,k,,,,
00:16:17:134,j,,,,
00:16:19:284,j,,,,
00:16:21:888,j,,,,
00:16:24:386,j,,,,
00:16:26:391,j,,,,
00:16:28:392,j,,,,
00:17:17:941,j,,,,
00:19:23:564,j,,,,
00:19:25:570,j,,,,
00:19:57:368,j,,,,
00:19:59:104,j,,,,
00:20:00:105,j,,,,
00:20:17:619,j,,,,
00:21:06:167,j,,,,
00:22:07:731,j,,,,
00:22:10:483,j,,,,
00:22:35:348,j,,,,
00:23:21:367,l,,,,
00:23:36:315,j,,,,
00:23:37:315,j,,,,
00:23:38:323,j,,,,
00:24:00:722,j,,,,
00:24:08:600,j,,,,
00:25:05:208,j,,,,
00:25:08:158,j,,,,
00:25:56:689,j,,,,
00:27:06:970,k,,,,
00:27:11:783,j,,,,
00:27:14:535,j,,,,
00:27:17:036,j,,,,
00:27:19:036,j,d,,,
00:27:44:568,j,,,,
00:28:16:972,k,d,,,
00:28:20:204,j,,,,
00:28:49:032,j,,,,
00:29:24:787,j,,,,
00:29:26:673,j,,,,
00:29:46:935,j,,,,
00:30:09:460,j,,,,
00:30:13:709,j,,,,
00:30:50:751,j,,,,
00:31:12:723,j,,,,
00:31:16:927,j,,,,
00:31:25:097,j,,,,
00:32:01:861,l,,,,
00:32:05:327,j,,,,
00:32:07:330,j,,,,
00:32:10:830,j,,,,
00:32:13:338,j,,,,
00:32:23:835,j,,,,
00:33:39:860,j,,,,
00:35:20:723,j,,,,
00:35:22:521,j,,,,
00:35:55:655,j,,,,
00:36:07:838,j,,,,
00:37:27:398,j,,,,
00:37:31:151,j,,,,
00:37:35:151,j,,,,
00:39:03:989,j,,,,
00:40:23:574,j,,,,
00:40:44:075,j,,,,
00:40:45:346,j,,,,
00:41:39:549,j,,,,
00:45:21:876,j,,,,
00:46:07:251,j,,,,
00:47:26:051,j,f,,,
00:47:29:251,j,,,,
00:48:19:349,j,,,,
00:48:21:047,j,,,,
00:48:46:762,k,,,,
00:49:00:649,j,,,,
00:49:02:846,j,,,,
00:50:52:725,j,,,,
00:50:57:466,j,,,,
00:51:00:215,j,,,,
00:51:02:813,j,,,,
00:51:04:218,j,,,,
00:51:07:665,j,,,,
00:51:38:732,j,,,,
00:51:58:253,j,,,,
00:53:21:253,j,,,,
00:53:22:403,j,,,,
00:53:39:108,j,,,,
00:54:10:125,j,,,,
00:54:12:100,j,,,,
00:54:19:837,j,,,,
00:54:22:237,j,,,,
00:54:58:390,j,,,,
00:55:14:058,j,,,,
00:56:14:342,j,,,,
00:56:41:288,j,,,,
00:58:36:866,j,,,,
00:58:39:926,j,,,,
00:58:43:472,j,,,,
00:58:46:128,j,d,,,
00:59:04:540,j,,,,
00:59:05:848,j,,,,
01:00:12:601,j,,,,
01:00:33:341,j,,,,
01:00:47:346,j,,,,
01:01:59:702,j,d,,,
01:02:11:633,k,,,,
01:02:16:496,j,,,,
01:02:18:942,j,,,,
01:03:17:272,j,,,,
01:04:08:925,j,,,,
01:04:12:353,j,,,,
01:04:14:954,j,,,,
01:04:17:260,j,,,,
01:04:51:862,j,,,,
01:05:20:972,l,,,,
01:05:25:792,l,d,,,
01:05:31:897,j,,,,
01:05:45:601,j,,,,
01:06:06:454,j,,,,
01:06:27:081,j,,,,
01:07:10:238,j,,,,
01:07:11:881,j,,,,
01:07:16:604,j,,,,
01:07:18:441,j,,,,
01:07:43:269,j,,,,
01:07:47:867,j,,,,
01:07:50:720,j,,,,
01:08:51:149,j,d,,,
01:09:08:608,j,,,,
01:11:06:270,j,,,,
01:11:11:470,j,,,,
01:11:49:483,j,,,,
01:11:50:758,j,,,,
01:11:52:864,j,,,,
01:11:57:163,j,,,,
01:12:40:831,j,f,,,
01:13:55:672,j,,,,
01:14:04:042,j,,,,
01:14:07:463,j,,,,
01:14:43:372,j,,,,
01:14:44:583,j,,,,
01:15:56:508,j,,,,
01:16:01:658,j,,,,
01:18:21:582,j,,,,
01:18:23:301,j,,,,
01:18:25:554,j,,,,
01:18:52:219,j,,,,
01:19:02:343,j,,,,
01:19:25:451,j,,,,
01:19:27:666,j,,,,
01:19:40:692,j,,,,
01:19:42:032,j,,,,
01:20:29:938,j,,,,
01:21:14:243,j,,,,
01:21:17:487,j,,,,
01:21:20:841,j,,,,
01:21:24:132,j,,,,
01:21:26:186,j,,,,
01:23:41:008,j,,,,
01:23:44:671,j,,,,
01:23:47:126,j,f,,,
01:25:00:544,j,,,,
01:25:38:762,j,,,,
01:26:30:599,j,,,,
01:26:47:362,j,,,,
01:26:56:508,j,,,,
01:27:04:372,j,d,,,
01:27:35:037,j,,,,
01:27:40:356,j,,,,
01:27:47:878,j,,,,
01:28:11:239,j,d,,,
01:28:33:262,j,,,,
