timestamp,class,brake,avoidance,displacement,state
00:00:33:921,j,,,,
00:01:16:659,j,,,,
00:01:18:157,j,d,,,
00:02:25:166,j,,,,
00:03:06:146,j,d,,,
00:03:09:094,j,d,b,,
00:03:51:830,j,,,,
00:04:37:169,k,,b,,
00:04:41:052,j,,b,,
00:05:27:276,j,d,,,
00:06:20:684,j,,,,
00:06:47:428,j,,b,,
00:06:49:327,j,,,,
00:06:51:645,j,,,,
00:06:53:828,j,,,,
00:07:05:361,j,,,,
00:07:11:111,k,,,,
00:07:26:806,j,,,,
00:08:29:994,k,,,,
00:08:31:846,j,,,,
00:08:33:433,j,,,,
00:08:35:955,j,,,,
00:08:38:073,j,,,,
00:08:42:175,j,,,,
00:08:47:928,j,,,,
00:10:12:903,j,,,,
00:10:58:946,k,,b,,
00:11:01:265,j,,,,
00:11:02:365,j,d,,,
00:11:26:526,j,,,,
00:11:28:579,j,,,,
00:11:33:271,j,,,,
00:11:52:683,j,,,,
00:11:54:730,j,,,,
00:12:03:112,j,,,,
00:12:26:574,j,,,,
00:12:45:356,j,,,,
00:12:48:561,j,,,,
00:12:49:818,j,d,,,
00:12:57:864,j,,,,
00:14:14:866,j,,,,
00:14:34:726,j,,,,
00:14:36:030,j,,,,
00:14:41:506,j,,,,
00:14:46:793,j,,,,
00:15:20:301,j,,,,
00:15:28:336,j,,,,
00:16:52:600,j,,,,
00:17:44:010,j,,,,
00:17:52:204,j,,,,
00:19:07:666,j,,,,
00:19:25:221,j,,,,
00:19:35:042,j,d,,,
00:19:56:885,j,,,,
00:20:09:401,k,,,,
00:20:10:965,j,,,,
00:20:13:181,j,,,,
00:20:15:893,j,d,,,
00:20:18:914,j,,,,
00:20:21:895,j,,,,
00:21:10:219,j,,,,
00:21:38:324,j,,b,,
00:21:48:005,j,,b,,
00:22:41:046,j,,b,,
00:23:01:260,j,,b,,
00:23:05:794,j,,,,
00:23:06:874,k,,b,,
00:24:03:577,j,,,,
00:24:06:488,j,,,,
00:24:33:174,j,,b,,
00:24:35:864,j,,,,
00:24:38:860,j,,,,
00:24:41:448,j,,,,
00:24:43:834,j,,,,
00:24:45:819,j,d,b,,
00:24:50:650,j,,,,
00:25:56:891,j,,,,
00:25:58:507,j,,,,
00:26:06:699,j,,,,
00:27:16:863,j,,,,
00:27:19:499,j,,,,
00:28:12:141,j,,,,
00:28:34:530,j,,,,
00:28:39:534,j,d,,,
00:29:17:147,j,,,,
00:30:05:892,j,,,,
00:30:57:045,k,,,,
00:31:29:994,j,,,,
00:31:32:968,k,,,,
00:31:35:339,j,,,,
00:31:38:369,j,,,,
00:31:46:244,j,,,,
00:31:48:542,j,,,,
00:31:53:344,k,d,,,
00:31:55:586,j,,,,
00:31:59:696,j,,,,
00:32:07:417,k,,,,
00:32:35:281,j,,,,
00:32:54:082,j,,b,,
00:32:59:150,j,,,,
00:33:16:177,j,,,,
00:33:35:584,j,,,,
00:34:27:095,j,,b,,
00:34:40:499,j,,,,
00:34:43:040,j,,,,
00:34:45:512,j,d,,,
00:34:48:011,j,,b,,
00:34:50:979,j,,,,
00:35:36:991,j,d,,y,
00:35:57:053,j,,,,
00:36:00:289,j,,,,
00:36:51:757,j,,,,
00:36:55:162,j,,,,
00:37:00:265,j,d,,,
00:37:02:917,j,d,,,
00:37:05:673,j,,,,
00:37:10:253,j,d,,,
00:37:32:786,j,,,,
00:37:45:958,j,,b,,
00:37:47:695,j,,b,,
00:38:19:794,j,,,,
00:39:22:380,j,d,,,
00:39:23:680,j,d,,,
00:40:28:134,j,,,,
00:40:30:647,j,,,,
00:41:00:829,j,,,,
00:41:15:459,j,,,,
00:41:30:272,j,,,,
00:41:36:879,j,,,,
00:41:51:678,j,,,,
00:42:19:294,j,,,,
00:42:20:971,j,,,,
00:42:23:247,j,,,,
00:42:26:916,j,,,,
00:42:28:731,j,f,,,
00:42:46:314,j,d,,,
00:43:32:070,j,,b,,
00:44:07:475,j,,,,
00:44:18:625,j,,,,
