timestamp,class,brake,avoidance,displacement,state
-1:59:59:999,,,,,0
14:05:00:000,,,,,0
14:05:35:675,j,,,,
14:06:07:061,j,,,,
14:06:20:542,j,,,,
14:06:22:253,j,,,,
14:06:24:003,j,,,,
14:06:29:153,j,,,,
14:06:32:162,j,,,,
14:07:04:966,j,,,,
14:07:22:686,j,,,,
14:07:49:267,k,,,,
14:07:58:092,j,,,,
14:08:14:051,k,,,,
14:08:17:368,k,,,,
14:08:20:105,k,,,,
14:09:10:615,k,,,,
14:09:29:561,k,,,,
14:09:32:426,k,,,,
14:09:33:776,j,,,,
14:09:37:687,j,,,,
14:09:54:434,k,,,,
14:09:56:601,j,,,,
14:09:58:456,l,,,,
14:10:00:206,l,,,,
14:10:02:210,j,,,,
14:10:39:027,k,,,,
14:10:52:965,j,,,,
14:11:00:076,j,,,,
14:11:04:782,j,,,,
14:11:24:838,j,,,,
14:12:19:762,j,,,,
14:12:28:164,k,,,,
14:12:30:568,k,,,,
14:12:34:775,j,,,,
14:12:54:424,j,,,,
14:13:24:897,k,,,,
14:13:26:978,j,,,,
14:14:00:176,j,,,,
14:14:02:970,k,,,,
14:14:14:474,k,,,,
14:14:21:239,j,,,,
14:14:27:745,j,,,,
14:14:47:249,j,,,,
14:16:04:505,j,,,,
14:16:05:504,j,,,,
14:16:29:567,j,,,,
14:16:31:622,j,,,,
14:16:36:121,j,,,,
14:16:39:231,k,,,,
14:16:54:633,k,,,,
14:16:57:539,k,,,,
14:16:59:105,k,,,,
14:17:03:052,k,,,,
14:17:23:705,k,,,,
14:17:41:919,k,,,,
14:17:43:680,j,d,,,
14:17:46:038,j,,,,
14:17:48:245,j,,,,
14:17:50:033,j,,,,
14:17:52:555,j,,,,
14:17:54:707,j,,,,
14:17:57:112,j,,,,
14:17:59:810,j,,,,
14:18:13:711,j,,,,
14:18:34:824,j,,,,
14:18:40:695,k,,,,
14:18:43:101,k,,,,
14:19:20:806,l,,,,
14:20:12:344,j,,,,
14:20:32:343,j,,,,
