timestamp,class,brake,avoidance,displacement,state
11:33:00:000,,,,,0
11:33:42:911,j,,,,9
11:34:28:154,k,,,,9
11:34:33:790,k,,,,
11:34:35:496,k,,,,9
11:34:42:106,j,,,,9
11:34:47:663,j,,,,
11:36:13:510,j,,,,9
11:36:22:916,k,,,,
11:36:30:313,j,,,,9
11:36:36:622,j,f,,,9
11:36:44:924,k,,,,
11:37:04:930,j,,,,9
11:37:05:897,j,,,,
11:37:08:954,k,,,,9
11:37:10:650,k,,,,
11:38:13:161,j,,,,9
11:38:47:720,k,,,,
11:39:30:605,k,,,,
11:39:32:293,k,,,,9
11:39:34:793,k,,,,
11:39:44:799,j,,,,
11:39:52:462,k,,,,
11:40:10:018,j,,,,
11:40:14:337,j,,,,
11:40:21:842,j,,,,
11:40:50:297,j,,,,
11:40:51:672,j,,,,
11:41:46:731,j,,,,
11:41:52:929,k,,,,
11:43:15:437,k,,,,
11:43:29:033,j,,,,
11:44:44:047,j,,,,9
11:44:45:364,k,,,,
11:45:00:616,k,,,,
11:45:01:116,k,,,,9
11:45:03:883,j,,,,9
11:45:04:634,j,,,,
11:45:15:245,k,,,,
11:45:27:904,j,,,,
11:45:29:816,j,,,,
11:46:20:019,j,,,,
11:46:30:971,k,d,,,
11:46:35:382,j,,,,9
11:46:36:828,j,d,,,9
11:46:37:979,k,d,,,
11:46:57:486,k,,,,
11:47:13:252,j,,,,
11:47:21:024,j,,,,
11:47:37:780,k,d,,,
11:48:29:692,j,,,,
11:48:29:942,j,,,,9
11:48:36:352,j,,,,
11:49:12:202,k,,,,
11:49:14:635,j,,,,
11:49:16:885,j,,,,
11:51:05:738,j,,,,
11:51:13:616,j,,,,
11:51:19:423,j,,,,
11:52:15:377,j,,,,
11:52:18:434,j,,,,9
11:52:33:288,j,,,,9
11:52:48:045,j,,,,
11:52:50:117,j,,,,
11:52:55:223,j,,,,
11:52:56:618,j,d,,,
11:52:59:973,k,,,,
11:53:07:274,k,,b,,
11:53:08:680,j,,,,9
11:53:28:584,j,d,,,
11:54:06:904,j,,,,
11:54:14:894,j,,,,9
11:54:41:405,j,,,,
11:54:47:132,k,,,,
11:55:02:237,k,,,,
11:57:01:253,k,,,,
11:57:05:769,j,,,,9
11:57:17:372,k,,,,
11:58:04:785,j,,,,
11:58:10:685,j,,,,
11:58:25:332,j,,,,9
11:58:29:447,k,,,,
11:58:30:950,j,,,,9
11:59:35:356,j,,,,
11:59:47:022,j,,,,
11:59:51:140,j,d,,,
11:59:55:533,j,,,,
12:00:03:542,j,,,,
12:00:05:800,j,,,,
12:01:01:359,k,,,,
12:01:26:608,j,,,,
12:02:01:634,k,,,,
12:03:31:621,j,,,,9
12:03:40:956,k,,,,
12:04:03:019,j,,,,9
12:04:04:634,j,,,,9
12:04:13:590,k,,,,
12:04:55:306,j,,,,
12:05:45:840,j,,,,9
12:05:46:887,j,,,,
12:05:55:740,j,,,,
12:06:06:405,k,d,,,
12:06:08:907,j,,,,9
12:06:10:410,j,,,,
12:06:24:518,k,,,,
12:06:33:187,j,,,,
12:06:59:137,j,d,,,9
12:07:04:967,k,,,,
12:07:07:365,j,,,,9
12:07:41:574,j,,,,
12:08:25:856,j,,,,
12:09:23:703,j,,,,
12:09:50:621,j,,,,
12:09:55:797,k,,,,
12:10:00:153,k,,,,
12:10:11:651,k,,,,
12:10:16:166,j,,,,
12:10:19:167,j,,,,9
12:10:34:077,j,,,,9
12:10:59:542,j,,,,9
12:11:06:966,j,,,,
12:11:17:928,j,f,,,
12:11:34:385,k,,,,
12:11:47:996,j,,,,
12:11:48:946,j,,,,9
