timestamp,class,brake,avoidance,displacement,state
14:37:00:000,,,,,0
14:37:09:403,j,,,,
14:37:40:135,k,,,,
14:37:42:195,j,,,,9
14:38:22:402,k,,,,
14:38:51:294,j,,,,
14:38:54:720,j,,,,
14:39:07:026,k,,,,
14:39:08:780,j,,,,9
14:39:19:228,j,,,,
14:39:24:148,j,,,,
14:39:35:106,k,,,,
14:40:05:561,j,,,,
14:40:11:494,j,,,,9
14:40:43:901,j,,,,
14:41:13:632,j,,,,9
14:41:35:314,j,,,,
14:41:47:381,j,,,,
14:41:50:848,j,,,,
14:42:02:104,j,,,,
14:43:44:713,j,,,,
14:43:57:960,j,,,,
14:44:02:723,j,,,,
14:45:31:481,j,,,,
14:45:36:722,j,,,,
14:46:06:777,j,,,,
14:46:44:568,j,,,,9
14:46:45:997,k,,,,
14:46:50:458,k,,,,
14:47:02:355,j,,,,9
14:47:04:014,k,,,,
14:47:06:517,j,,,,9
14:47:15:468,k,,,,
14:47:16:027,j,,,,9
14:47:22:634,j,,,,
14:47:36:044,k,d,,,
14:47:39:036,j,,,,
14:47:51:594,j,,,,
14:48:06:725,j,,,,9
14:48:07:579,k,,,,
14:48:40:113,k,d,,,
14:48:43:821,j,,,,9
14:48:49:871,j,,,,
14:49:59:328,j,,,,
14:50:03:503,j,,,,
14:50:09:103,j,,,,
14:50:12:309,j,,,,
14:50:17:360,j,,,,
14:50:18:210,j,,,,9
14:50:34:866,j,,,,
14:50:55:397,k,,,,
14:51:27:354,k,,,,
14:52:01:885,k,,,,
14:52:02:813,k,,,,9
14:52:06:022,j,,,,9
14:52:52:677,j,,,,9
14:52:53:365,j,,,,
14:53:07:918,j,,,,
14:53:11:380,j,,,,
14:53:27:128,j,,,,
14:53:43:737,j,,,,
14:54:16:071,j,,,,9
14:54:21:653,j,,,,
14:54:41:155,j,,,,
14:54:43:882,j,,,,
14:54:55:191,j,,,,
14:55:02:902,j,,,,
14:55:07:611,j,,,,
14:55:15:518,j,,,,
14:55:25:373,j,,,,
14:56:07:684,j,,,,
14:56:18:276,j,,,,
14:56:44:087,k,,,,
14:56:45:105,j,,,,9
14:56:46:105,j,,,,9
14:57:34:114,j,,,,
14:57:53:012,j,,,,
14:58:00:929,j,,,,
14:58:16:190,j,,,,
14:58:27:656,j,,,,9
14:58:37:616,j,,,,
14:58:43:228,j,,,,
14:58:47:725,k,,,,
14:58:51:826,j,,,,
14:58:55:836,j,,,,9
14:58:57:238,j,,,,9
14:59:06:889,j,,,,0
14:59:42:255,j,,,,
15:00:27:287,j,,,,
15:00:27:587,j,,,,9
15:00:30:036,j,,,,
15:00:39:590,k,,,,
15:01:43:245,k,,,,
15:01:59:510,j,,,,
15:02:03:920,j,,,,9
15:02:04:922,j,,,,9
15:02:06:921,j,f,,,9
15:02:08:921,j,,,,9
15:02:25:429,j,,,,
15:02:35:847,k,d,,,
15:02:48:864,j,,,,
15:02:55:876,j,,,,
15:03:16:735,j,,,,9
15:03:19:349,j,,,,9
15:03:25:701,j,,,,
15:04:11:264,j,,,,
15:04:22:209,j,,,,
15:04:28:067,j,,,,
15:04:38:923,j,,,,
15:06:24:238,j,,,,
15:06:50:441,j,d,,,
15:07:07:818,k,,,,
15:07:23:136,j,,,,
15:07:37:251,k,,,,
15:07:39:517,k,f,,,
15:07:57:518,k,,,,
15:08:13:034,k,,,,
15:09:15:101,k,,,,
15:09:46:066,k,,,,
15:10:24:790,j,,,,
15:10:26:934,k,,,,
15:10:27:427,k,,,,9
15:10:31:037,k,,,,
15:11:21:741,k,,,,
15:11:56:087,j,,,,
15:12:32:524,j,,,,
15:13:11:018,j,,,,
15:13:22:109,j,,,,
15:14:28:519,j,,,,
15:14:30:180,j,,,,
15:14:49:086,j,,,,
15:15:12:058,j,,,,9
15:15:20:078,j,,,,
15:16:02:487,j,,,,
15:16:03:273,j,,,,9
15:16:04:523,k,,,,
15:16:15:177,j,,,,
15:16:26:539,j,,,,
15:16:26:947,j,,,,9
15:16:31:957,j,,,,
15:17:32:609,j,,,,
15:18:30:773,j,,,,
15:18:59:875,j,,,,9
15:19:00:451,k,,,,
15:19:04:200,j,,,,9
15:19:53:112,j,,,,
15:19:58:807,j,,,,9
15:20:30:015,j,,,,
15:20:50:195,j,,,,
15:21:41:169,j,d,,,
15:21:46:421,k,d,,,
15:21:47:116,j,,,,9
15:21:51:922,j,,,,
15:22:03:879,j,,,,
15:22:54:091,j,,,,
15:23:14:540,j,,,,
15:23:29:209,k,,,,
15:23:46:976,j,,,,
15:23:54:244,k,,,,
15:24:08:901,j,,,,
15:24:12:510,k,,,,
15:24:20:517,j,,,,9
15:24:25:177,j,,,,
15:24:36:084,j,,,,9
15:24:46:945,j,,,,
15:24:53:203,j,,,,
15:25:06:455,j,,,,
15:25:30:074,j,,,,
15:25:30:441,j,,,,9
15:25:38:245,j,,,,
15:25:54:108,j,,,,
15:26:14:874,j,,,,
15:26:18:592,j,,,,
15:26:57:797,j,,,,
15:27:12:284,k,,,,
15:27:26:456,k,d,,,
15:27:47:065,j,,,,
15:27:52:286,j,,,,
15:28:31:786,j,,,,
15:28:59:126,j,,,,
15:29:05:557,j,,,,
15:29:31:065,j,,,,
15:29:47:586,j,,,,
15:30:52:015,k,,,,
15:31:05:830,j,,,,
15:31:10:693,j,,,,
15:31:13:200,j,,,,
15:31:18:047,j,,,,
15:31:53:452,j,,,,
15:32:22:740,j,,,,
15:32:31:770,j,,,,
15:33:17:280,k,,,,
15:33:17:780,j,,,,9
15:33:32:174,j,,,,9
15:33:54:835,j,,,,
15:33:59:864,j,,,,
15:34:02:370,k,,,,
15:34:11:020,k,,,,
15:34:35:378,j,,,,
15:34:36:895,j,,,,9
15:34:40:999,j,,,,
15:34:52:755,j,,,,
15:35:09:821,k,,,,
15:35:41:838,j,,,,
15:35:48:971,j,,,,9
15:35:51:476,j,,,,9
15:35:54:429,k,,,,
15:36:44:083,j,,,,
15:36:56:030,j,,,,
15:37:16:792,j,,,,9
15:37:17:558,j,,,,9
15:37:19:807,j,,,,
15:37:45:209,k,,,,
15:37:53:536,k,,,,
15:37:57:249,j,,,,9
15:38:02:703,k,,,,
15:38:09:615,j,,,,
15:38:16:867,k,,,,
15:38:35:623,j,,,,
15:39:23:995,j,,,,
15:39:54:793,j,,,,
15:40:08:670,j,,,,
15:40:14:487,j,,,,
15:40:17:443,j,,,,
15:40:29:241,j,,,,9
15:40:30:250,j,,,,
15:40:54:607,j,,,,
15:41:20:182,j,,,,
15:41:34:557,j,,,,
15:41:36:325,j,,,,
15:41:41:716,j,,,,9
15:41:43:823,j,,,,
15:41:51:571,k,,,,
15:42:57:328,j,,,,9
15:43:13:003,j,,,,
15:43:19:367,k,,,,
15:43:34:328,j,,,,
15:44:29:238,j,d,,,
15:44:53:494,j,,,,
15:44:56:320,j,,,,
15:45:47:673,j,,,,
15:46:02:921,j,,,,
15:46:17:986,j,,,,
15:46:29:853,j,,,,
15:46:53:118,j,,,,
15:46:55:789,j,,,,9
15:47:43:144,j,,,,
15:47:48:444,j,,,,
15:48:15:539,j,,,,
15:49:00:185,k,,,,
15:49:20:276,j,,,,
15:49:54:298,j,,,,
15:50:09:127,j,,,,9
15:50:12:694,j,,,,9
15:50:15:048,k,,,,
15:50:15:248,j,,,,9
15:50:53:648,k,,,,
