timestamp,class,brake,avoidance,displacement,state
13:32:00:000,,,,,0
13:32:11:353,j,,,,
13:32:29:415,j,,,,
13:32:33:416,j,,,,
13:32:37:437,j,,,,
13:33:11:443,j,,,,9
13:33:15:477,k,,,,
13:33:41:981,j,,,,
13:33:51:016,j,,,,
13:33:53:173,j,,,,9
13:34:30:628,j,,,,9
13:34:51:561,k,,,,
13:34:57:581,j,,,,
13:35:23:088,j,,,,
13:35:35:766,j,,,,
13:35:43:117,j,,,,
13:36:05:627,j,,,,
13:36:56:129,j,,,,
13:37:10:397,j,,,,
13:37:48:020,k,,,,9
13:38:11:759,j,,,,
13:38:28:480,j,,,,9
13:38:35:296,k,,,,9
13:38:42:805,j,,,,
13:38:50:047,k,,,,
13:39:15:051,k,,,,
13:39:17:298,j,,,,9
13:39:18:798,k,f,,,
13:39:25:842,j,,,,9
13:39:56:847,j,,,,9
13:39:57:147,j,,,,
13:40:12:230,k,d,,,
13:40:26:649,j,,,,
13:40:27:908,j,,,,9
13:40:34:120,k,,,,
13:40:41:428,k,,,,
13:40:42:672,j,,,,9
13:40:47:278,j,,,,9
13:40:50:929,j,,,,9
13:40:56:928,k,,,,
13:40:57:929,j,,,,9
13:41:34:937,j,,,,
13:41:41:347,j,,,,9
13:42:09:153,j,,,,
13:42:25:030,k,,,,
13:42:48:344,j,,,,9
13:43:04:572,k,,,,
13:43:05:577,j,,,,
13:43:11:683,j,,,,
13:43:17:595,j,,,,
13:43:26:996,j,,,,
13:43:37:959,j,,,,
13:43:43:120,k,,,,
13:43:48:277,j,,,,
13:43:58:276,j,,,,
13:44:43:889,j,,,,
13:45:31:184,k,,,,
13:45:43:732,k,,,,
13:46:46:092,k,,,,
13:46:49:554,j,,,,9
13:46:55:863,j,,,,9
13:47:01:819,k,,,,
13:47:02:169,j,,,,9
13:48:10:319,j,,,,
13:48:18:889,k,,,,
13:48:49:382,k,,,,
13:48:56:081,j,,,,9
13:49:06:687,j,,,,
13:49:15:946,k,,,,
13:49:30:956,k,,,,
