timestamp,class,brake,avoidance,displacement,state
09:59:00:000,,,,,0
09:59:36:077,j,,,,
09:59:42:946,j,,,,
09:59:54:399,k,,,,
10:00:03:682,j,,,,
10:00:09:999,k,,,,
10:00:36:978,j,,,,
10:00:47:002,j,,,,9
10:00:55:513,k,,,,
10:01:12:038,j,,,,
10:01:23:309,j,,,,9
10:01:37:869,j,,,,
10:01:39:209,j,,,,9
10:01:43:938,k,,,,
10:01:45:066,k,,,,
10:02:40:995,j,,,,
10:02:56:794,j,,,,9
10:02:59:144,k,,,,
10:03:11:144,j,,,,
10:03:28:269,j,d,,,
10:03:30:625,j,,,,
10:03:43:679,j,,,,
10:04:07:397,j,,,,9
10:04:50:079,j,d,b,,
10:05:15:858,j,,,,
10:05:19:784,j,,,,
10:06:03:652,k,,,,
10:06:22:331,j,d,b,,
10:06:42:502,j,,,,
10:06:56:390,k,d,,,
10:07:16:396,j,,,,
10:07:17:650,j,,,,
10:07:38:918,j,,,,9
10:08:05:440,k,d,,,
10:09:14:944,k,,,,
10:10:22:549,j,,,,9
10:10:31:467,j,,,,
10:10:49:527,j,,,,
10:10:58:645,j,d,,,9
10:10:59:531,j,,,,
10:12:14:700,j,,,,
10:12:36:730,k,d,,,
10:12:50:249,j,d,,,
10:13:27:266,j,,,,
10:13:51:500,j,,,,9
10:13:52:303,,,,,0
10:13:53:809,k,,,,9
10:13:53:959,k,,,,
10:13:58:529,j,,,,9
10:14:01:576,j,,,,
10:14:11:090,j,,,,
10:14:14:548,,,,,9
10:14:14:549,j,,,,
10:14:19:846,k,d,,,
10:14:29:905,j,,,,
10:14:52:664,j,,,,
10:14:55:372,j,,,,
10:14:59:924,j,,,,
10:15:03:146,j,,,,
10:16:27:125,k,,,,9
10:16:27:460,k,d,,,
10:17:23:128,j,,,,
10:17:50:049,j,,,,9
10:18:10:320,j,,,,
10:18:52:087,k,,,,
10:19:49:092,j,d,,,
10:19:51:175,k,,,,
10:20:05:691,j,,,,
10:20:07:176,j,,,,
10:20:43:544,j,,,,
10:20:45:748,j,,,,9
10:20:49:732,j,,,,9
10:21:05:735,k,d,,,
10:21:10:248,j,,,,9
10:21:12:525,k,d,,,
10:21:34:772,j,d,,,
10:22:01:801,k,d,,,
10:22:40:810,j,,,,
10:23:00:861,j,,,,
10:23:06:878,j,,,,
10:23:20:039,j,d,,,
10:23:24:399,j,d,,,
10:23:27:421,j,d,,,
10:23:41:897,j,,,,9
10:23:42:903,k,d,,,
10:24:49:563,j,,,,
10:25:18:491,j,,,,
10:25:20:605,j,,,,9
10:25:23:025,j,,,,
10:25:52:264,j,,,,
10:25:53:283,j,d,,,
10:26:04:407,j,,,,
10:26:11:570,j,,,,
10:26:27:554,j,,b,,
10:26:31:569,j,d,,,
10:26:35:577,j,,,,9
10:27:35:582,k,,,,
10:28:05:088,k,,,,
10:28:11:174,k,d,,,
10:28:17:631,j,,,,9
10:28:46:698,k,,,,
10:29:08:191,j,,,,
10:29:12:153,j,d,,,9
10:29:22:257,j,,,,9
10:29:43:767,j,,,,9
10:29:53:283,k,,,,
10:29:54:269,k,d,,,9
10:30:21:298,j,,,,9
10:30:39:425,j,,,,
10:30:41:325,j,,,,
10:30:43:326,j,,,,
10:31:03:857,k,,,,
10:31:04:824,k,,,,9
10:31:17:863,k,d,,,
10:31:19:849,j,,,,9
10:31:20:360,,,,,0
10:31:22:366,j,,,,
10:31:44:884,j,,,,
10:32:00:908,j,d,,,
10:32:24:167,j,,,,9
10:32:27:431,j,,b,,
10:33:03:437,j,,,,
10:33:43:970,j,,b,,
10:34:11:524,k,,b,,
10:34:19:056,j,d,,,
10:34:56:545,k,,,,
10:35:45:608,k,,,,
10:35:49:610,j,,b,,9
10:36:04:646,j,d,,,
10:36:10:665,j,,,,
10:36:30:681,j,,,,
10:36:49:105,j,,,,
10:37:30:718,j,,,,
10:37:54:764,j,,,,9
10:37:55:770,j,,,,
10:38:06:692,j,,,,
10:38:21:296,k,,,,
10:38:51:750,j,,,,
10:39:00:842,k,,,,9
10:39:02:829,k,,,,
10:39:24:746,j,,,,
10:39:25:862,j,,,,9
10:39:28:380,j,,,,
10:39:37:882,j,,,,9
10:39:49:888,j,,,,
10:39:59:290,j,,,,
10:40:06:898,k,,,,
10:40:10:407,j,,,,9
10:40:26:403,k,,b,,
10:40:32:907,j,d,,,9
10:40:38:673,j,d,,,
10:40:50:952,j,d,,,
10:41:02:451,k,,,,
10:41:07:958,k,,,,
10:41:09:957,j,,,,9
10:41:09:958,j,,,,
10:41:48:485,j,d,,,
10:41:59:520,k,,,,
10:42:06:520,j,,,,9
10:42:08:521,j,,,,9
10:42:25:037,j,,,,9
10:42:41:758,j,,,,
10:42:51:072,k,,,,
10:43:23:085,j,,,,
10:43:34:617,j,,,,
10:43:36:606,j,,,,
10:43:42:127,j,,,,
10:43:46:416,j,,,,
10:44:06:141,j,,,,9
10:44:08:609,j,,b,,
10:44:25:158,j,,,,9
10:44:34:679,j,d,,,9
10:44:50:178,j,d,,,9
10:45:01:706,j,,,,9
10:45:06:211,j,,,,
10:45:12:720,j,,,,
10:45:22:472,k,d,,,
10:45:30:234,j,,,,
10:45:41:247,j,,,,
10:46:30:254,j,,,,9
10:46:39:299,k,,,,
10:46:54:808,j,d,,,
10:47:22:823,j,,,,
10:47:34:838,k,,,,
10:48:17:854,j,,,,9
10:48:43:410,j,,,,
10:48:56:436,j,,b,,
10:49:00:949,k,,,,
10:49:02:953,j,,,,9
10:49:07:457,k,d,b,,
10:49:08:943,k,,,,9
10:49:10:193,k,d,,,
10:49:15:961,k,,,,
10:49:18:443,j,,,,
10:49:27:003,j,,,,
10:49:34:483,j,,,,9
10:50:05:002,j,,,,9
10:50:10:500,j,d,,,
10:50:51:522,j,,,,
10:51:08:524,j,,,,
10:52:49:065,j,,,,9
10:52:55:175,j,,,,
10:53:27:692,j,,,,9
10:53:32:715,k,,,,
10:53:38:232,j,,,,9
10:53:44:737,j,d,,,9
10:53:48:746,k,,,,
10:53:57:242,j,,,,9
10:53:59:260,j,,,,
10:54:02:244,j,,,,9
10:54:24:759,j,,,,
10:54:46:286,k,,,,
10:55:07:282,j,,,,
10:55:20:832,k,,,,
10:55:37:828,j,,,,
10:55:56:315,k,d,,,
10:56:29:379,j,d,,,
10:57:04:916,j,,b,,
10:57:08:181,j,,,,
10:57:20:950,j,,,,
10:57:37:965,j,,,,9
10:57:39:464,j,d,,,
10:58:01:964,j,f,,,9
10:58:21:497,j,,,,
10:58:29:031,j,,,,
10:59:30:534,k,d,,,
10:59:51:175,j,,,,
11:00:04:111,j,,,,9
11:00:20:624,j,,,,
11:00:45:143,j,,,,9
11:00:49:167,j,,,,
11:01:00:666,j,,,,
11:01:05:181,j,d,,,9
11:01:06:173,j,,,,
11:01:13:185,j,,,,
11:01:51:695,j,,,,
11:01:54:233,j,d,,,
11:01:57:233,j,,,,
11:01:58:221,j,d,,,
11:02:07:237,k,,,,
11:02:13:241,k,,,,
11:02:17:759,k,,,,
11:02:36:260,k,,,,
11:02:38:409,j,,,,9
11:02:54:275,k,d,,,
11:03:08:299,j,,,,
11:03:16:295,j,,,,9
11:03:48:306,j,,,,
11:04:40:835,k,,,,9
11:04:43:335,k,,,,
11:05:30:337,j,,,,
11:06:00:436,k,,,,
11:06:19:961,k,d,,,
11:06:24:467,j,d,,,
11:06:43:003,j,,,,
11:06:51:008,k,,,,
11:06:57:535,j,,,,9
11:07:03:769,k,,b,,
11:07:10:522,k,,,,
11:07:45:051,j,,,,9
11:08:00:590,j,,,,9
11:08:10:333,j,,,,
11:08:19:598,k,d,,,
11:08:44:096,k,,,,
11:09:19:603,j,d,,,
11:09:23:415,j,,,,
11:09:25:418,j,,,,9
11:09:28:671,k,d,,,
11:10:23:184,k,,,,
11:11:02:682,j,,,,
11:11:24:795,j,,,,
11:11:44:818,j,,,,
11:11:54:821,j,,,,9
11:12:08:833,k,d,,,
11:12:27:862,j,,,,
11:12:36:379,j,,,,
11:13:02:437,k,d,,,
11:13:11:060,j,,,,9
11:13:17:421,k,,,,
11:14:09:925,j,,,,
11:14:27:976,k,,,,
11:14:30:349,j,,,,
11:14:45:401,j,,,,
11:14:47:500,j,,,,
11:15:40:015,j,,,,9
11:15:41:819,j,,,,9
11:15:43:051,j,,,,
11:15:43:557,j,,,,9
11:15:46:556,k,d,,,
11:15:49:057,j,,,,9
11:15:51:060,j,,,,9
11:15:53:559,j,,,,9
11:15:55:058,j,,,,9
11:15:58:214,k,d,,,
11:16:13:578,k,d,,,
11:16:14:087,j,,,,9
11:16:58:057,k,d,,,
11:17:36:659,j,,,,
11:17:39:187,k,,,,9
11:17:39:668,j,,,,
11:17:53:692,j,,,,
11:17:54:182,k,,,,9
11:17:56:188,j,,,,9
11:17:57:688,j,,,,9
11:17:59:943,j,,,,9
11:18:11:208,j,,,,
11:18:12:701,k,,,,9
11:18:16:701,j,,,,
11:18:20:449,k,d,,,
11:18:34:705,j,,,,9
11:18:49:240,j,,,,
11:19:07:738,j,,,,
11:20:06:408,j,,,,
11:20:10:338,k,,,,
11:20:35:838,j,,,,
11:21:17:372,j,,,,9
11:21:29:708,j,,,,
11:21:53:423,j,,,,
11:22:03:943,j,,,,9
11:22:13:456,j,,,,9
11:22:17:197,k,,,,
11:22:24:975,k,,,,
11:22:27:402,j,,,,
11:22:28:464,j,,,,9
11:22:52:478,j,,,,
11:23:46:508,j,,,,
11:23:53:056,j,,,,
11:24:12:066,k,d,,,
11:24:15:047,k,,,,9
11:24:24:061,j,,,,9
11:25:02:562,j,,,,
11:25:19:631,j,,,,
11:25:59:634,j,,,,9
11:26:11:692,k,,,,
11:26:20:703,k,d,,,
11:26:50:198,k,,,,
11:26:55:726,j,,,,
11:27:08:228,j,,,,
11:27:16:227,k,,,,
11:27:30:746,j,,,,
11:27:42:280,j,,,,
11:27:47:306,k,,,,
11:27:51:792,j,,,,9
11:27:54:292,k,d,,,
11:28:17:313,j,,,,9
11:28:42:336,j,,,,9
11:29:01:362,j,,,,
11:29:08:878,k,,,,
11:29:09:864,k,,,,9
11:29:13:363,j,,,,
11:29:18:875,k,d,,,
11:29:25:883,k,d,,,
11:29:26:383,j,,,,9
11:29:56:893,k,,,,
11:30:15:435,j,,,,
11:30:19:437,k,,,,
11:30:22:437,j,,,,9
11:30:29:937,j,,,,
11:30:42:452,j,,,,9
11:30:48:479,k,d,,,
11:31:04:489,j,,,,
11:31:06:986,j,,,,9
11:31:13:531,j,,,,9
11:31:16:996,j,,,,
11:31:27:005,k,,,,
11:32:20:031,k,,,,
11:32:39:525,k,,,,
11:32:46:031,j,,,,9
11:33:16:617,j,,,,
11:33:46:638,j,,,,
11:33:48:671,j,,,,
11:33:55:173,j,,,,
11:34:11:173,j,,,,
11:34:44:179,j,,,,
11:34:48:218,j,,,,9
11:34:54:726,j,,,,9
11:34:55:464,k,,,,
11:35:07:232,k,,,,
11:35:15:225,j,,,,9
11:35:21:490,k,,,,
11:35:36:255,k,,,,
11:35:41:245,j,,,,
11:35:48:507,j,,,,
11:35:50:273,j,,,,
11:36:17:786,k,,,,
11:36:23:286,j,,,,
11:36:52:325,j,,,,
11:37:26:349,j,,,,
11:37:34:031,k,d,,,
11:37:34:880,j,,,,9
11:37:43:899,j,,,,
11:38:05:891,k,,,,
11:38:25:391,j,,,,
11:38:37:472,j,,,,
11:39:26:447,k,d,,,
11:39:43:930,j,,,,
11:40:27:022,k,,,,9
11:40:45:560,k,,,,
11:41:00:065,k,d,,,
11:41:04:564,j,,,,
11:41:17:606,j,,,,
11:41:23:115,j,,,,9
11:41:23:601,j,,,,
11:43:05:628,j,,,,
11:43:08:729,j,,,,
11:43:19:729,j,,,,
11:43:26:243,k,d,,,
11:43:34:746,j,d,,,
11:43:34:982,k,,,,9
11:44:06:255,j,d,,,
11:44:17:786,j,,,,
11:44:31:798,j,,,,
11:44:49:796,j,,,,9
11:44:52:331,j,,,,
11:44:56:316,j,,,,9
11:45:03:335,l,d,,,9
11:45:03:821,j,,,,
11:45:05:571,j,,,,9
11:45:06:824,j,,,,9
11:45:07:326,j,,,,
11:45:14:325,k,,,,
11:45:17:826,j,,,,9
11:45:23:327,j,,,,9
11:45:24:825,,,,,
11:45:27:825,j,,,,9
11:45:36:840,j,,,,
11:45:44:384,j,,,,
11:46:20:888,j,,,,9
11:46:21:660,k,,,,
11:46:26:916,j,,,,
11:46:52:936,j,,,,
11:47:16:203,j,,,,
11:47:53:969,j,,,,
11:48:27:022,k,d,,,
11:48:36:561,j,,,,9
11:48:44:064,k,,,,
11:48:51:075,j,,,,
11:49:08:077,j,,,,
11:49:37:598,j,,,,9
11:50:08:924,j,,,,
11:50:28:161,j,,,,
11:50:33:172,j,,,,
11:50:47:946,k,,,,
11:51:26:447,j,,,,
11:51:31:712,j,,,,
11:51:39:036,j,,,,9
11:51:42:228,k,d,,,
11:51:48:256,j,,b,,
11:52:24:756,k,,,,
11:52:29:778,k,,,,9
11:52:42:795,j,,,,9
11:53:38:814,j,,,,
11:53:50:869,k,,,,
11:54:05:853,j,,,,
11:54:23:391,j,,,,
11:54:25:420,j,,,,
11:54:35:417,j,,,,
11:54:48:222,k,,,,
11:54:55:440,j,,,,
11:55:31:445,j,,,,
11:55:44:981,j,,,,
11:56:12:480,k,,,,
11:56:28:520,j,,,,
11:57:02:025,j,,,,
11:57:03:017,j,,,,
11:57:06:017,j,f,,,
11:57:18:561,j,d,,,
11:57:49:075,k,,,,
11:57:50:600,j,,,,9
11:57:51:100,j,,,,9
11:57:52:101,j,,,,9
11:57:55:600,j,,,,
11:58:24:599,j,,,,9
11:58:45:599,,,,y,
11:59:08:099,j,,,,9
11:59:11:100,j,,,,9
11:59:13:599,j,,,,9
11:59:22:601,j,d,,,9
11:59:26:099,j,,,,9
11:59:37:600,k,,,,9
11:59:49:711,j,,,,9
11:59:52:210,j,,,,9
11:59:58:712,j,,,,9
12:00:02:712,,,,y,
12:00:17:723,j,,,,
12:01:04:769,j,,,,
12:01:09:812,j,,,,
12:01:14:815,k,,,,
12:01:23:827,j,,,,9
12:01:34:335,j,,,,
12:02:00:537,j,,,,9
12:02:02:849,k,,,,
12:02:03:848,k,,,,9
12:02:33:857,k,,,,
12:02:42:396,j,,,,
12:04:02:417,j,,,,9
12:04:09:004,j,,,,
12:04:52:013,j,,,,
12:04:58:816,j,,,,9
12:05:01:747,j,,,,9
12:05:15:058,j,,,,
12:05:44:077,k,,,,
12:05:50:600,j,,,,
12:06:43:207,k,d,,,
12:07:02:660,k,,,,
12:07:09:179,j,,,,
12:08:03:687,j,,,,
12:08:12:741,j,,,,
12:08:32:748,j,,,,
12:08:36:273,k,,,,
12:09:35:274,j,,,,
12:09:50:326,j,,,,
12:09:52:850,j,,,,
12:09:55:652,j,d,,,9
12:10:25:837,k,d,,,
12:10:39:620,j,,,,9
12:10:44:396,k,,,,
12:10:56:388,j,,,,
12:10:57:394,j,,,,9
12:11:05:410,k,,,,
12:11:23:417,k,,,,
12:11:53:450,k,,,,
12:12:18:950,k,,,,
12:13:02:948,j,,,,
12:13:58:522,k,,,,
12:14:21:580,k,,,,
12:14:27:608,k,,,,
12:14:40:620,j,,,,
12:15:50:658,j,,,,
12:16:01:211,j,,,,
12:16:15:701,j,,,,
