timestamp,class,brake,avoidance,displacement,state
00:00:15:770,j,d,b,y,
00:03:30:652,j,d,,,
00:04:32:523,k,,,,
00:04:37:032,k,d,,,
00:04:39:901,k,d,,,
00:06:16:929,k,d,,,
00:08:55:813,j,,,,
00:09:03:111,j,,,,
00:09:19:826,j,,,,
00:09:42:155,l,,b,,
00:09:51:051,k,,b,,
00:12:09:659,k,,,,
00:12:14:664,k,,,,
00:12:18:736,k,,,,
00:17:12:500,j,,b,,
00:17:13:876,k,,,,
00:17:54:739,k,d,b,,
00:18:12:670,k,d,,,
00:18:15:155,k,d,,,
00:18:31:757,k,d,,,
00:19:48:999,k,,,,
00:20:47:673,k,d,,,
00:20:54:189,k,d,,,
00:22:51:025,j,,,,
00:23:29:205,k,,,,
00:24:15:268,k,,,,
00:24:22:042,j,,,,
00:29:16:086,k,d,,,
00:29:22:710,k,d,,,
00:29:49:498,k,,,,
00:29:55:064,k,d,,,
00:30:24:581,k,,,,
00:31:10:012,k,d,b,,
00:31:53:929,k,d,,,
00:33:53:629,j,,,,
00:36:08:138,k,,,,
00:36:29:269,k,d,,,
00:38:04:220,k,d,,,
00:39:09:029,j,,,,
00:39:32:209,j,,,,
00:41:07:464,j,d,,,
00:41:25:402,j,,,,
00:41:30:295,k,,,,
00:41:41:806,k,,,,
00:42:21:294,k,d,,,
00:42:22:783,k,,,,
00:45:31:452,j,,b,,
00:46:01:400,k,d,,,
00:50:04:844,k,d,b,,
00:50:32:252,k,d,,,
00:50:34:729,j,,,,
00:50:39:501,j,,,,
00:52:06:503,k,d,,,
00:53:51:790,j,,,,
00:56:23:100,k,,,,
00:56:29:302,k,d,,,
00:57:51:753,k,,,,
01:04:34:769,j,,,,
01:04:36:667,j,,,,
01:05:19:218,k,,,,
01:05:21:805,k,,,,
01:10:40:287,j,d,b,,
01:12:12:501,j,,,,
01:13:02:364,j,,,,
01:13:41:041,k,,,,
01:13:42:830,j,,,,
01:15:08:873,k,,,,
01:15:59:389,j,d,,,
01:17:33:076,j,,,,
01:19:37:651,k,,,,
01:19:50:646,k,,,,
01:20:51:977,k,,,,
01:21:53:916,k,,,,
01:21:58:281,j,d,,,
01:24:03:548,k,,,,
01:24:15:203,k,d,,,
01:24:18:021,j,,,,
01:24:22:652,j,d,,,
01:24:25:738,j,,,,
01:26:31:150,j,,,,
01:30:53:071,j,,,,
01:31:18:825,j,,,,
01:32:34:158,k,,,,
01:32:34:170,k,,,,
01:33:56:933,k,,,,
01:34:04:029,j,d,,,
01:34:06:573,j,,,,
01:34:12:793,j,d,,,
01:35:06:085,k,,,,
01:35:08:518,k,,,,
01:35:13:650,j,,,,
01:36:43:619,l,d,,,
01:36:45:005,l,d,,,
01:36:47:147,l,,b,,
01:36:50:033,l,,b,,
01:37:44:919,j,,,,
01:40:52:097,k,d,,,
01:40:55:489,j,,b,,
01:47:03:739,j,,,,
01:47:05:199,j,d,,,
01:47:07:991,j,,,,
01:48:05:146,k,d,,,
01:49:04:791,k,,,,
01:49:07:321,k,,,,
01:49:12:156,k,,,,
01:49:23:802,k,,b,,
01:49:40:202,j,d,,,
01:51:15:359,j,,,,
01:53:54:385,k,,,,
01:54:36:578,k,,,,
01:55:57:200,k,d,,,
02:00:02:277,j,,,,
02:00:04:987,k,,,,
02:01:04:310,k,,,,
02:01:34:099,k,,,,
02:01:40:821,k,d,,,
02:01:44:843,j,,,,
02:01:52:192,k,,b,,
02:03:33:671,j,,b,,
02:04:29:542,j,,,,
02:05:22:429,k,,b,,
02:06:48:251,k,,,,
02:09:40:788,j,,,,
02:11:03:610,k,,,,
02:11:30:390,k,d,,,
02:11:31:636,k,,,,
02:12:37:940,,,,y,
02:15:59:357,j,,,,
02:16:14:667,j,,,,
02:16:16:711,j,,,,
02:18:14:424,k,d,,,
02:18:18:761,k,,,,
02:18:21:723,k,,,,
02:20:26:039,j,,,,
02:22:22:596,k,,,,
02:23:01:599,k,d,,,
02:23:04:877,k,,,,
02:28:32:904,j,,,,
02:29:22:879,j,,,,
02:30:40:258,k,,,,
02:31:34:668,j,,,,
02:31:36:169,j,,,,
02:32:32:219,k,,,,
02:33:50:527,k,,,,
02:35:12:129,j,,,,
02:36:01:039,j,,,,
02:38:13:990,j,,b,,
02:38:31:429,k,,,,
02:38:36:303,k,,,,
02:40:57:044,k,,,,
02:41:15:867,j,,b,,
02:41:48:086,k,,b,,
02:44:51:024,k,,,,
02:45:52:047,k,,,,
02:47:06:383,j,,b,,
02:47:13:223,j,,b,,
02:47:58:875,k,d,,,
02:48:11:959,k,,,,
02:52:07:316,j,,,,
02:53:46:322,k,,,,
02:56:12:180,j,,,,
02:57:08:018,k,,,,
02:57:17:367,j,,,,
03:03:27:201,k,d,,,
03:04:57:992,j,,b,,
03:05:00:368,j,,,,
03:05:03:778,j,,,,
03:05:06:586,j,,,,
03:06:15:980,k,,b,,
03:07:56:943,k,d,,,
