timestamp,class,brake,avoidance,displacement,state
00:01:00:953,j,d,b,y,
00:03:44:617,j,,,,
00:06:33:911,j,,,,
00:06:40:351,k,d,,,
00:07:53:008,k,,,,
00:08:04:060,k,,,,
00:09:39:722,k,,,,
00:09:45:933,j,,,,
00:09:47:935,j,,,,
00:10:17:319,k,,,,
00:11:57:591,k,d,,,
00:11:58:866,k,d,,,
00:12:04:121,j,,,,
00:12:05:946,j,,,,
00:12:40:522,k,d,,,
00:12:47:187,j,d,,,
00:13:03:399,k,d,,,
00:13:09:058,j,d,,,
00:13:19:295,k,,,,
00:16:06:422,k,,,,
00:16:19:188,k,,,,
00:19:07:862,j,d,,,
00:19:21:733,j,,,,
00:19:29:018,j,,,,
00:19:54:408,j,,,,
00:19:57:385,j,d,,,
00:24:40:117,k,d,,,
00:27:08:122,k,,,,
00:27:22:745,k,,,,
00:27:59:632,k,d,,,
00:29:58:673,k,d,,,
00:37:35:764,l,,,,
00:38:00:461,j,,,,
00:40:13:765,k,,,,
00:42:34:712,l,,,,
00:42:36:297,l,,,,
00:42:41:310,j,d,,,
00:42:44:042,j,,,,
00:43:40:207,k,d,,,
00:47:29:174,j,,,,
00:47:53:487,k,,,,
00:48:24:955,k,d,,,
00:52:44:672,j,,,,
00:54:03:526,j,,,,
00:54:08:405,j,,,,
00:55:34:792,k,,,,
00:57:05:210,k,,,,
00:57:07:744,k,d,,,
00:57:21:513,k,,,,
00:57:24:111,k,,,,
01:00:22:773,k,,,,
01:06:09:739,j,,,,
01:06:16:393,j,,,,
01:06:32:602,j,,,,
01:06:33:520,j,,,,
01:07:46:954,k,,,,
01:08:14:217,k,,,,
01:08:19:635,k,,,,
01:08:25:042,k,,,,
01:08:52:189,j,,,,
01:10:12:715,j,,,,
01:11:13:043,k,,,,
01:12:13:755,j,,,,
01:12:16:343,l,,,,
01:12:16:885,l,,,,
01:12:23:780,j,,,,
01:13:22:707,k,,,,
01:13:35:313,k,,,,
01:13:57:143,k,d,,,
01:17:25:552,j,,,,
01:19:15:769,k,,,,
01:19:22:374,k,d,,,
01:19:27:485,k,,,,
01:20:41:099,j,,,,
01:21:15:449,j,d,,,
01:21:34:067,k,,,,
01:21:38:774,j,,,,
01:22:43:901,k,,,,
01:25:55:585,j,,,,
01:26:08:283,j,,,,
01:26:11:368,j,,,,
01:26:13:120,j,,,,
01:26:15:122,k,,,,
01:26:17:332,j,,,,
01:26:20:085,j,,,,
01:26:45:180,k,d,,,
01:29:39:687,j,,,,
01:31:03:988,j,,,,
01:33:15:125,k,,,,
01:35:06:142,k,,,,
01:35:25:580,j,,,,
01:35:29:016,j,,,,
01:36:00:363,k,,,,
01:36:43:772,k,,,,
01:38:27:719,j,,,,
01:39:05:072,k,,,,
01:40:47:424,k,,,,
01:40:54:062,j,,,,
01:40:57:463,j,,,,
01:41:49:779,k,,,,
01:42:05:025,j,,,,
01:42:48:153,k,,,,
01:43:48:973,k,,,,
01:43:50:672,j,,,,
01:47:13:922,j,,,,
01:48:01:780,k,,,,
01:49:11:927,k,,,,
01:49:18:234,k,d,,,
01:49:57:749,k,d,,,
01:55:24:015,j,,,,
01:55:26:498,l,,,,
01:55:45:003,j,,,,
01:59:13:762,k,,,,
01:59:52:178,j,,,,
02:02:24:677,k,d,,,
02:02:27:811,k,,,,
02:02:30:813,j,,,,
02:02:34:564,j,,,,
02:03:41:555,j,,,,
02:06:24:385,j,,,,
02:07:50:133,k,d,,,
02:08:47:465,k,,,,
02:09:12:549,k,,,,
02:10:59:743,k,,,,
02:11:41:299,j,,,,
02:11:49:142,j,,,,
02:12:37:300,k,,,,
02:14:43:698,j,,,,
02:14:48:438,k,,,,
02:15:23:206,k,,,,
02:15:26:975,j,,,,
02:16:26:182,k,d,,,
02:16:31:571,k,,,,
02:16:34:520,j,,,,
02:17:35:311,k,,,,
02:17:43:183,j,,,,
02:19:16:052,j,,,,
02:24:40:839,k,d,,,
02:27:04:448,j,,,,
02:27:48:082,j,,,,
02:27:57:353,j,,,,
02:29:16:276,k,,,,
02:29:23:569,k,d,,,
02:31:13:864,k,,,,
02:33:13:130,k,,,,
02:33:36:422,k,d,,,
02:33:52:333,j,,,,
02:36:55:667,j,,,,
