timestamp,class,brake,avoidance,displacement,state
00:00:34:466,j,d,b,y,
00:01:58:754,k,,,,
00:02:05:771,k,,,,
00:02:08:773,j,,,,
00:02:11:023,j,,,,
00:02:13:273,j,,,,
00:02:36:069,k,,,,
00:04:20:693,j,,,,
00:04:26:500,j,,,,
00:05:03:884,j,,,,
00:05:35:491,j,,,,
00:07:09:989,k,,,,
00:07:11:893,j,,,,
00:08:35:069,k,d,,,
00:10:18:584,j,,,,
00:11:19:638,k,,,,
00:13:35:921,j,,,,
00:15:20:612,k,,,,
00:16:31:319,k,,,,
00:16:50:777,j,,,,
00:20:15:245,j,,,,
00:21:13:116,j,,,,
00:22:44:779,k,,,,
00:25:43:186,j,,,,
00:27:16:375,k,d,,,
00:29:26:111,j,,,,
00:29:55:314,k,,,,
00:29:57:095,k,,,,
00:29:58:764,j,f,,,
00:30:01:099,j,,,,
00:30:03:880,k,,,,
00:30:06:540,j,,,,
00:30:10:102,j,,,,
00:32:52:728,k,,,,
00:32:55:502,k,d,,,
00:33:00:466,k,d,,,
00:34:03:386,j,,,,
00:34:06:356,j,,,,
00:34:57:344,j,d,,,
00:37:04:577,k,,,,
00:38:36:996,k,d,,,
00:38:39:498,j,,,,
00:39:37:497,k,d,,,
00:40:36:755,k,,,,
00:41:33:516,k,,,,
00:41:37:398,k,,,,
00:46:37:468,j,,,,
00:47:54:808,k,d,,,
00:48:20:340,k,,,,
00:48:23:343,l,,,,
00:48:32:481,k,d,,,
00:48:35:150,j,,,,
00:49:45:858,k,d,,,
00:51:13:792,k,d,,,
00:52:54:738,j,,,,
00:53:19:554,k,,,,
00:59:09:288,j,,,,
00:59:50:433,k,,,,
00:59:53:475,k,d,,,
01:00:50:834,j,,,,
01:00:52:434,j,,,,
01:00:53:684,j,d,,,
01:03:26:494,j,,,,
01:05:13:705,k,,,,
01:06:57:404,j,,,,
01:07:33:617,j,,,,
01:07:37:195,j,,,,
01:09:27:064,k,d,,,
01:09:29:513,k,,,,
01:09:32:964,j,,,,
01:09:39:741,k,d,,,
01:09:44:523,j,,,,
01:11:28:679,k,d,,,
01:11:32:046,k,d,,,
01:12:32:658,j,,,,
01:12:44:621,j,,,,
01:13:25:230,j,,,,
01:14:52:563,k,,,,
01:17:40:359,k,,,,
01:19:55:474,j,,,,
01:20:58:328,j,d,,,
01:21:01:563,j,,,,
01:21:08:896,k,d,,,
01:21:11:820,j,,,,
01:21:56:097,j,,,,
01:22:37:999,j,,,,
01:23:09:417,k,d,,,
01:23:14:894,k,,,,
01:23:24:559,k,,,,
01:23:28:107,k,d,,,
01:23:31:711,k,d,,,
01:23:34:464,j,,,,
01:24:30:874,k,d,,,
01:26:47:428,k,,,,
01:28:31:529,j,,,,
