12:07:39:653, k
12:07:42:903, j
12:07:45:901, j
12:07:49:653, j
12:07:52:153, j
12:07:55:153, j
12:08:05:153, j
12:08:08:153, j
12:08:11:403, k
12:09:03:403, j
12:10:07:900, j
12:11:02:652, j
12:11:08:654, j
12:11:13:902, j
12:11:15:152, j
12:11:17:900, j
12:11:21:152, k
12:11:26:402, k
12:11:29:400, j
12:11:31:152, j
12:11:34:152, j
12:11:36:652, j
12:11:38:900, j
12:11:38:900, b
12:12:15:512, j
12:12:15:512, b
12:12:19:760, j
12:12:23:010, j
12:12:24:512, j
12:12:27:012, j
12:12:29:512, j
12:12:30:512, j
12:12:32:512, j
12:12:34:012, j
12:12:36:762, j
12:12:43:762, j
12:12:46:512, j
12:12:48:512, j
12:13:26:262, j
12:13:30:262, j
12:13:36:262, j
12:15:24:762, j
12:16:08:262, j
12:16:24:764, j
12:16:24:764, b
12:17:02:264, j
12:17:05:264, j
12:17:35:014, j
12:17:45:014, j
12:17:45:014, b
12:18:23:766, j
12:18:27:264, j
12:18:32:014, j
12:19:48:264, j
12:19:51:262, j
12:19:55:514, j
12:20:05:264, j
12:20:05:264, b
12:20:12:512, j
12:22:12:762, j
12:22:14:514, j
12:22:17:264, l
12:22:18:518, l
12:22:20:764, j
12:22:22:764, j
12:22:25:514, j
12:22:29:264, j
12:22:31:764, j
12:22:39:762, j
12:23:18:264, j
12:24:12:264, j
12:24:20:014, j
12:24:22:514, j
12:24:26:014, j
12:24:28:764, j
12:24:36:766, j
12:24:40:264, j
12:25:29:264, j
12:26:03:014, j
12:26:16:762, j
12:27:49:512, j
12:28:17:266, j
12:28:19:264, j
12:28:23:014, j
12:28:26:264, j
12:28:29:014, j
12:28:30:512, j
12:28:35:514, k
12:29:07:764, j
12:29:07:764, b
12:29:12:764, j
12:29:12:764, b
12:29:17:764, j
12:29:17:764, b
12:29:21:762, j
12:29:24:014, j
12:29:25:764, l
12:29:25:764, b
12:29:27:514, j
12:29:58:764, j
12:30:32:764, j
12:31:30:250, j
12:31:59:078, j
12:32:13:080, j
12:32:30:578, j
12:33:00:080, j
12:33:02:578, j
12:33:06:830, j
12:33:32:330, j
12:33:59:580, j
12:34:16:330, j
12:34:30:330, j
12:34:45:078, j
12:35:20:330, j
12:35:24:578, j
12:35:27:580, j
12:35:30:580, j
12:36:15:330, j
12:36:15:330, b
12:36:24:078, j
12:36:27:580, j
12:39:13:330, j
12:39:15:328, j
12:39:17:830, j
12:41:03:080, j
12:41:05:580, j
12:42:46:328, j
12:42:53:580, j
12:43:23:080, j
12:43:30:330, j
12:44:06:830, j
12:44:41:330, j
12:45:14:580, j
12:45:14:580, b
12:45:17:328, j
12:45:20:580, j
12:45:23:328, j
12:45:27:580, j
12:46:23:830, j
12:46:28:580, j
12:46:31:080, j
12:46:31:080, b
12:46:33:830, j
12:46:35:580, j
12:46:37:828, j
12:47:02:080, j
12:47:10:078, j
12:47:34:330, j
12:48:41:080, j
12:48:46:580, j
12:48:50:080, j
12:48:52:580, j
12:49:02:580, j
12:49:07:328, j
12:49:48:330, j
12:50:21:330, j
12:50:22:328, j
12:51:35:828, j
12:53:00:580, j
12:53:00:580, b
12:53:03:578, j
12:53:03:578, b
12:53:49:830, j
12:53:51:080, j
12:53:53:328, j
12:53:53:328, b
12:55:05:578, j
12:55:08:330, j
12:55:48:580, j
12:55:52:578, j
12:56:18:078, j
12:56:25:828, j
12:56:25:828, b
12:57:12:250, j
12:57:25:830, j
12:57:27:828, j
12:57:31:080, j
12:57:35:830, j
12:57:49:578, j
12:57:54:082, j
12:58:02:330, j
12:58:06:580, j
12:58:11:080, j
12:58:14:830, j
12:58:17:080, j
12:58:25:830, j
12:58:28:582, j
12:58:31:580, j
12:58:34:830, j
12:58:38:080, j
12:58:39:830, j
12:58:41:080, j
12:58:42:830, j
12:58:45:828, j
12:59:26:580, j
12:59:28:828, j
13:00:12:080, j
13:00:28:080, j
13:00:30:580, j
13:00:43:580, j
13:01:46:830, j
13:01:48:080, j
13:02:12:830, j
13:03:27:330, j
13:03:39:078, k
13:04:36:830, j
13:05:34:830, k
13:05:37:580, j
13:06:00:080, j
13:06:34:330, j
13:06:48:578, j
13:08:03:580, j
13:08:06:328, j
13:08:07:830, j
13:08:10:082, j
13:09:17:080, j
13:10:13:080, j
13:10:51:078, j
13:10:54:330, j
13:10:55:080, j
13:10:57:078, j
13:10:59:330, j
13:11:01:078, j
13:11:04:330, j
13:11:52:578, j
13:11:55:582, j
13:12:36:328, j
13:12:38:330, j
13:12:40:828, k
13:12:40:828, b
13:12:49:328, j
13:12:49:328, b
13:13:04:580, j
13:13:06:328, j
13:13:11:330, j
13:13:13:828, j
13:13:18:330, j
13:13:19:830, j
13:13:32:330, l
13:13:33:830, l
13:13:33:830, b
13:14:17:830, j
13:15:14:080, j
13:15:54:830, j
13:15:58:580, j
13:16:01:580, j
13:16:03:078, j
13:16:46:830, j
13:16:48:828, j
13:16:57:328, j
13:17:14:330, j
13:17:18:328, j
13:17:24:580, j
13:17:26:830, j
13:17:37:330, j
13:17:40:080, j
13:18:40:080, j
13:19:00:080, j
13:19:04:830, j
13:19:13:080, j
13:19:16:080, j
13:19:40:080, j
13:19:55:080, j
13:20:27:828, j
13:20:29:330, j
13:20:39:328, j
13:20:48:578, j
13:22:03:580, j
13:22:20:578, j
13:22:28:580, j
13:22:30:250, j
13:22:52:580, k
13:23:37:830, j
13:24:18:330, j
13:24:22:578, j
13:24:25:580, k
13:24:27:080, j
13:24:30:080, j
13:24:31:830, j
13:24:38:080, j
13:25:08:830, j
13:25:19:330, j
13:25:21:828, j
13:25:32:328, j
13:25:32:328, d
13:27:34:580, j
13:27:37:830, j
13:27:45:330, j
13:27:50:080, j
13:28:18:830, j
13:28:46:080, j
13:29:12:580, j
13:29:14:330, j
13:29:14:330, b
13:29:17:078, j
13:30:20:580, j
13:30:34:080, j
13:31:32:828, j
13:32:22:330, j
13:32:23:578, j
13:32:23:578, b
13:32:31:580, j
13:32:53:080, j
13:32:55:580, j
13:33:26:580, j
13:33:30:082, j
13:33:31:580, j
13:33:34:078, j
13:33:45:578, j
13:33:50:830, j
13:34:13:830, j
13:34:33:580, j
13:34:33:580, b
13:34:37:830, j
13:34:41:080, j
13:34:41:080, b
13:34:44:080, j
13:34:48:330, j
13:34:50:830, j
13:35:17:080, j
13:35:20:328, j
13:35:20:328, b
13:35:39:330, j
13:36:08:330, j
13:36:30:582, j
13:36:32:080, j
13:36:33:580, j
13:36:54:580, j
13:36:57:580, j
13:36:59:330, j
13:37:46:830, j
13:37:48:578, j
13:37:48:578, b
13:38:28:578, j
13:38:31:580, j
13:38:31:580, b
13:38:35:580, j
13:38:37:080, j
13:38:40:078, j
13:38:51:328, j
13:39:23:078, j
13:39:55:580, j
13:40:01:580, j
13:40:31:580, r
13:41:11:078, j
13:41:11:078, b
13:41:14:330, j
13:41:14:330, b
13:41:39:330, j
13:41:39:330, b
13:41:54:830, j
13:42:02:328, j
13:42:15:330, j
13:42:19:830, j
13:42:27:580, j
13:42:31:580, j
13:43:06:330, j
13:43:06:330, b
13:43:09:080, j
13:43:09:080, b
13:43:11:330, j
13:43:11:330, b
13:43:13:330, j
