09:10:14:903, x
09:33:41:256, j
09:34:34:014, j
09:34:36:514, k
09:35:25:256, k
09:35:38:514, k
09:35:45:016, k
09:37:05:760, j
09:38:28:256, k
09:43:53:756, k
09:44:47:508, k
09:44:52:008, j
09:47:31:758, j
09:48:40:766, j
09:49:28:512, j
09:49:48:510, j
09:50:12:012, k
09:50:47:764, k
09:51:50:260, j
09:53:02:014, j
09:53:42:512, k
09:55:43:264, k
10:00:12:760, k
10:00:21:512, k
10:01:00:256, k
10:01:02:014, j
10:02:20:514, k
10:02:45:256, j
10:02:48:256, j
10:03:26:514, j
10:05:49:014, j
10:05:55:764, j
10:07:16:016, k
10:07:16:016, b
10:08:35:514, j
10:10:00:516, t
10:12:42:018, j
10:15:30:516, j
10:15:39:014, k
10:16:49:510, k
10:17:01:512, k
10:18:39:012, k
10:18:43:260, j
10:18:44:762, j
10:19:15:758, k
10:20:53:510, k
10:20:56:008, k
10:21:01:012, j
10:21:03:012, j
10:21:38:264, k
10:21:43:258, j
10:22:01:514, k
10:22:07:256, j
10:22:15:006, k
10:25:04:264, k
10:25:17:766, k
10:28:05:266, j
10:28:18:516, j
10:28:27:010, j
10:28:52:766, j
10:28:56:014, j
10:33:37:016, k
10:36:05:516, k
10:36:20:258, k
10:36:57:256, k
10:38:54:510, k
10:46:32:901, l
10:46:58:256, j
10:49:10:014, k
10:51:33:008, l
10:51:33:250, l
10:51:36:262, j
10:51:41:512, j
10:52:37:010, k
10:56:27:514, j
10:56:49:514, k
10:57:22:510, k
11:01:41:266, j
11:03:01:016, j
11:03:05:256, j
11:04:32:010, k
11:06:02:012, k
11:06:04:516, k
11:06:18:014, k
11:06:22:268, k
11:09:19:014, k
11:15:05:262, j
11:15:14:256, j
11:15:29:758, j
11:15:30:014, j
11:16:43:256, k
11:17:12:016, k
11:17:15:264, k
11:17:22:762, k
11:17:49:258, k
11:19:10:758, j
11:20:08:508, k
11:21:09:014, j
11:21:13:512, l
11:21:13:652, l
11:21:19:008, j
11:22:18:758, k
11:22:32:266, k
11:22:54:258, k
11:26:21:018, j
11:28:13:518, k
11:28:19:008, k
11:28:23:764, k
11:29:37:516, j
11:30:13:508, j
11:30:31:764, k
11:30:34:516, j
11:31:41:758, k
11:34:52:514, j
11:35:03:518, j
11:35:08:014, j
11:35:09:510, j
11:35:11:262, k
11:35:13:514, j
11:35:16:514, j
11:35:41:512, k
11:38:36:766, j
11:40:01:508, j
11:42:10:760, k
11:44:01:264, j
11:44:22:264, j
11:44:27:514, j
11:44:57:758, k
11:45:38:512, k
11:47:23:514, j
11:48:00:756, k
11:49:45:514, k
11:49:49:514, j
11:49:55:258, j
11:50:47:014, k
11:51:01:764, j
11:51:45:512, k
11:52:45:262, k
11:52:48:012, j
11:56:11:758, j
11:57:00:014, k
11:58:10:510, k
11:58:16:268, k
11:58:56:268, k
12:04:20:262, j
12:04:23:514, l
12:04:42:764, j
12:08:10:766, k
12:08:48:016, j
12:11:22:016, k
12:11:24:764, k
12:11:29:014, j
12:11:32:756, j
12:12:37:766, j
12:15:22:014, j
12:16:47:256, k
12:17:44:518, k
12:18:10:016, k
12:19:56:514, k
12:20:39:514, j
12:20:46:756, j
12:21:34:264, k
12:23:41:764, j
12:23:46:264, k
12:24:19:764, k
12:24:22:764, j
12:25:22:006, k
12:25:26:758, k
12:25:31:756, j
12:26:33:014, k
12:26:39:258, j
12:28:11:264, j
12:33:36:014, k
12:36:00:260, j
12:36:45:512, j
12:36:53:758, j
12:38:14:264, k
12:38:20:760, k
12:40:11:258, k
12:42:10:512, k
12:42:33:514, k
12:42:49:518, j
12:45:52:258, j
12:46:04:268, j
12:47:35:518, k
12:47:40:014, k
12:47:44:262, k
12:48:46:016, j
12:54:15:256, k
12:54:17:762, j
12:56:13:014, k
12:56:18:762, k
12:56:23:516, j
12:57:56:514, j
12:58:50:756, j
13:02:18:766, k
13:03:16:256, k
13:04:56:016, j
13:04:56:266, k
13:06:42:764, k
13:07:13:768, k
13:10:46:008, k
13:15:45:014, j
13:16:14:403, l
13:16:15:762, l
13:19:57:764, j
13:21:47:258, k
13:21:55:014, k
13:21:58:512, j
13:24:07:010, k
13:24:11:516, k
13:24:15:016, k
13:24:20:764, k
