08:46:17:300, t
08:47:52:400, j
08:48:50:000, j
08:49:57:200, k
08:50:09:200, k
08:51:25:200, k
08:51:30:800, k
08:54:01:300, b
08:54:01:800, k
08:54:53:200, k
08:55:08:100, j
08:56:37:800, b
08:56:38:200, k
08:57:35:600, k
08:57:48:200, k
08:57:51:200, j
08:58:58:200, k
08:59:08:700, k
09:00:43:400, j
09:00:57:100, j
09:01:05:200, j
09:04:48:000, b
09:04:48:600, j
09:05:23:800, k
09:06:13:100, k
09:06:21:000, k
09:06:30:600, k
09:06:34:000, k
09:06:53:800, j
09:09:28:100, j
09:09:53:700, j
09:10:32:300, k
09:12:18:600, j
09:13:59:800, k
09:14:18:900, j
09:17:58:500, k
09:18:01:300, j
09:18:05:100, j
09:18:14:300, b
09:18:14:900, k
09:19:24:300, k
09:19:37:100, k
09:21:43:400, j
09:21:54:800, k
09:23:24:700, j
09:25:44:100, k
09:25:49:900, b
09:25:50:500, k
09:26:53:500, j
09:28:23:700, k
09:28:41:300, k
09:35:16:000, j
09:35:45:800, b
09:35:46:500, k
09:36:25:100, b
09:36:25:500, k
09:36:56:400, b
09:36:57:600, j
09:37:14:100, k
09:37:33:900, k
09:37:41:800, k
09:37:46:500, k
09:37:50:300, k
09:37:55:000, b
09:37:55:600, k
09:40:28:400, k
09:40:42:100, k
09:44:03:000, k
09:44:38:900, k
09:45:04:800, k
09:47:55:000, j
09:48:24:300, k
09:49:31:700, k
09:49:38:000, b
09:49:38:400, k
09:52:03:000, j
09:52:05:100, j
09:55:45:400, k
09:58:40:100, k
09:58:59:200, k
09:59:05:700, j
09:59:13:700, j
10:01:24:500, k
10:02:04:100, k
10:03:39:100, k
10:06:14:700, j
10:06:28:000, j
10:06:52:100, k
10:06:58:900, k
10:08:15:200, k
10:09:20:800, k
10:09:46:800, j
10:09:49:600, j
10:09:52:900, j
10:11:22:500, j
10:13:10:000, j
10:13:15:000, j
10:15:47:600, k
10:16:29:600, j
10:18:15:600, b
10:18:16:100, k
10:18:20:800, k
10:19:55:600, j
10:21:18:900, b
10:21:19:400, k
10:22:41:200, k
10:22:45:400, k
10:22:50:600, k
10:22:54:500, j
10:23:02:000, k
10:23:05:600, k
10:23:11:200, k
10:26:26:700, j
10:27:13:100, k
10:28:09:300, k
10:28:39:400, k
10:30:39:000, k
10:31:15:400, j
10:31:38:800, j
10:36:43:200, k
10:37:51:300, j
10:38:55:900, k
10:39:30:800, k
10:39:33:800, j
10:39:35:800, j
10:41:19:100, k
