09:15:15:200, b
09:15:15:400, j
09:15:38:000, b
09:15:38:300, j
09:16:28:000, k
09:16:45:300, j
09:17:36:500, k
09:17:50:000, j
09:19:42:900, k
09:19:47:100, k
09:19:50:200, k
09:21:17:500, j
09:21:26:700, j
09:22:01:800, b
09:22:02:300, j
09:23:43:900, k
09:23:56:500, b
09:23:57:000, k
09:25:15:000, k
09:26:52:600, k
09:26:54:800, j
09:28:09:400, k
09:28:18:000, k
09:29:08:700, j
09:29:39:000, k
09:29:43:600, j
09:30:57:700, k
09:31:05:800, j
09:31:07:800, j
09:31:21:200, k
09:31:25:500, k
09:34:15:700, k
09:34:18:700, k
09:34:20:700, k
09:35:10:700, k
09:35:14:800, j
09:37:36:200, j
09:38:28:200, j
09:39:19:100, j
09:40:46:100, k
09:40:51:100, b
09:40:51:600, k
09:40:54:300, j
09:41:05:100, j
09:41:52:700, b
09:41:53:200, k
09:43:00:300, j
09:45:41:000, j
09:45:48:600, b
09:45:49:000, j
09:45:51:300, b
09:45:51:600, j
09:46:07:600, b
09:46:08:100, k
09:46:13:300, b
09:46:13:900, j
09:46:51:300, k
09:46:58:100, k
09:47:23:000, k
09:47:27:500, k
09:48:18:800, k
09:48:23:700, k
09:48:29:500, k
09:48:52:600, k
09:48:59:500, t
09:49:19:900, j
09:50:01:500, j
09:51:03:800, b
09:51:04:300, l
09:51:49:400, j
09:52:24:000, k
09:53:38:600, j
09:55:24:200, j
09:55:26:300, j
09:55:28:400, j
09:56:36:300, k
09:56:46:100, k
09:57:34:800, j
09:57:46:900, k
09:58:29:000, k
09:58:40:100, k
09:58:47:500, k
10:00:41:600, k
10:01:09:500, k
10:01:15:100, j
10:02:18:600, k
10:03:29:900, j
10:05:28:100, l
10:05:47:300, k
10:05:53:200, j
10:06:04:700, k
10:06:55:300, k
10:08:46:500, j
10:09:29:000, k
10:11:35:400, j
10:11:50:400, b
10:11:50:900, k
10:17:21:100, j
10:17:26:200, j
10:17:41:700, k
10:18:05:200, j
10:18:06:800, k
10:18:49:300, k
10:22:27:800, j
10:22:29:200, j
10:22:30:700, k
10:23:47:600, k
10:23:54:600, k
10:24:09:500, k
10:24:13:100, j
10:27:01:400, j
10:28:18:500, j
10:29:10:100, k
10:29:15:000, k
10:29:18:900, k
10:29:33:200, j
10:29:36:300, j
10:30:12:400, k
10:34:25:700, j
10:34:27:300, j
10:34:42:800, k
10:34:45:100, j
10:34:46:500, j
10:34:47:600, j
10:34:50:500, j
10:34:52:500, j
10:35:58:500, b
10:35:59:000, k
10:36:56:500, j
10:37:36:400, k
10:38:09:800, k
10:38:47:900, k
10:39:15:900, k
10:39:44:200, b
10:39:44:700, k
10:40:00:600, b
10:40:01:400, k
10:40:05:600, b
10:40:06:400, k
10:40:12:300, k
10:40:35:600, k
10:40:46:700, k
10:44:16:300, j
10:44:17:900, j
10:44:32:900, j
10:45:40:600, b
10:45:41:000, k
10:49:33:800, b
10:49:34:200, j
10:50:05:900, j
10:51:15:700, k
10:52:01:800, k
10:54:00:000, k
10:55:17:200, j
10:55:54:400, j
10:55:57:200, j
10:56:00:400, j
10:56:02:300, j
10:56:04:200, j
10:58:11:800, k
10:58:17:200, k
10:58:20:600, j
10:59:45:200, j
11:02:37:000, k
11:02:44:700, j
11:02:48:200, j
11:02:52:900, k
11:05:07:200, j
11:07:43:700, k
11:07:58:200, j
11:09:24:500, k
11:09:52:200, k
11:12:11:700, k
11:12:47:800, k
11:15:54:500, k
11:17:02:800, j
11:20:11:300, j
11:20:32:500, j
11:22:26:500, k
11:22:37:700, k
11:22:42:300, j
11:22:54:000, k
11:22:59:500, k
11:23:03:700, j
11:23:59:900, b
11:24:00:300, k
11:24:02:900, b
11:24:03:300, j
11:24:43:200, b
11:24:43:600, j
11:25:05:300, j
11:25:28:700, k
11:26:27:400, k
11:26:30:800, j
11:27:13:400, k
11:34:45:500, j
11:36:17:300, k
11:36:21:400, j
11:37:31:100, k
11:38:47:700, j
11:41:08:200, j
11:41:20:800, j
11:41:30:100, j
11:41:31:100, j
11:41:32:700, j
11:43:04:200, k
11:43:28:300, b
11:43:28:800, k
11:44:16:500, k
11:48:43:000, k
11:48:50:800, k
11:52:38:300, k
11:53:42:100, k
11:53:47:000, j
11:54:14:500, k
11:54:19:600, k
11:54:21:700, j
11:54:23:800, k
11:54:34:400, k
11:54:39:800, j
11:54:42:800, j
11:54:50:000, j
11:55:58:000, b
11:55:58:800, k
11:56:06:400, b
11:56:07:200, k
11:57:08:100, k
11:57:22:000, j
11:59:38:200, j
12:00:48:600, j
12:02:11:500, k
12:02:57:500, j
12:05:19:500, j
12:06:16:200, j
12:06:29:300, k
12:06:33:200, k
12:06:37:700, k
12:07:56:200, j
12:11:12:500, j
12:11:44:300, j
12:12:25:100, k
12:16:10:400, b
12:16:10:700, l
12:16:12:700, b
12:16:13:000, l
12:16:16:900, l
12:16:20:200, b
12:16:20:600, l
12:17:03:100, k
12:17:19:400, j
12:17:30:300, j
12:17:32:200, b
12:17:32:600, l
12:17:44:300, k
12:17:46:800, j
12:18:55:600, j
12:19:07:200, k
12:19:13:200, k
12:19:16:500, k
12:19:30:400, j
12:19:50:100, k
12:19:53:700, j
12:19:59:800, b
12:20:00:300, j
12:20:42:000, k
12:22:33:500, k
12:23:21:400, b
12:23:21:900, k
12:24:29:900, j
12:25:51:900, k
12:27:30:800, k
12:29:38:000, j
12:34:10:000, b
12:34:10:700, j
12:34:50:400, k
12:34:55:400, j
12:34:58:700, j
12:35:15:200, k
