00:00:32:402, j
00:00:49:902, k
00:01:07:402, k
00:01:20:402, k
00:01:41:904, j
00:02:16:654, k
00:03:02:900, j
00:04:46:153, k
00:06:53:901, k
00:08:40:400, k
00:09:24:903, k
00:13:17:402, k
00:13:23:652, k
00:13:26:652, k
00:13:31:400, j
00:13:33:901, k
00:16:25:384, j
00:21:40:135, j
00:21:41:384, j
00:22:05:634, k
00:22:12:384, k
00:22:12:384, b
00:27:51:636, t
00:28:02:385, j
00:29:30:636, k
00:30:01:634, k
00:30:28:886, j
00:34:09:884, k
00:35:25:134, k
00:35:25:134, b
00:37:10:886, k
00:37:10:886, b
00:37:15:386, k
00:41:22:636, j
00:41:36:636, j
00:43:41:136, k
00:44:32:386, k
00:44:36:136, k
00:44:56:138, j
00:44:57:016, j
00:44:57:016, b
00:45:05:266, j
00:45:05:266, b
00:45:27:516, k
00:45:30:516, j
00:46:00:264, j
00:46:00:264, b
00:47:04:764, k
00:50:51:266, j
00:50:53:016, j
00:50:54:514, j
00:50:54:514, b
00:51:42:514, j
00:51:42:514, b
00:52:12:266, j
00:52:36:766, k
00:53:11:266, k
00:53:11:266, b
00:53:14:014, k
00:53:14:014, b
00:57:05:266, j
00:58:07:766, k
00:58:11:266, k
00:58:14:264, k
00:59:49:516, k
01:02:28:202, j
01:02:37:700, j
01:02:52:950, j
01:03:13:948, j
01:03:13:948, b
01:03:23:700, k
01:03:23:700, b
01:05:41:700, k
01:05:46:450, k
01:05:50:950, k
01:10:44:950, j
01:10:44:950, b
01:10:46:200, k
01:11:28:950, k
01:11:28:950, b
01:11:44:950, k
01:11:49:450, k
01:12:04:448, k
01:13:21:948, k
01:14:21:700, k
01:14:27:450, k
01:16:22:950, j
01:17:02:950, k
01:17:48:698, k
01:17:55:450, j
01:22:49:950, k
01:22:56:200, k
01:23:21:700, k
01:23:28:200, k
01:23:56:952, k
01:24:44:700, k
01:24:44:700, b
01:25:29:200, k
01:27:25:200, j
01:29:40:948, k
01:30:02:700, k
01:31:37:698, k
01:32:40:610, j
01:33:05:364, j
01:34:39:610, j
01:34:57:360, j
01:35:04:362, k
01:35:14:110, k
01:35:53:612, k
01:35:56:360, k
01:39:05:612, j
01:39:05:612, b
01:39:34:862, k
01:43:38:860, k
01:43:38:860, b
01:44:04:610, k
