"07/07/25 17:18:23","SR-12_Boxculvert_Mon_July_7_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","7/7/2025   2:00:00 PM","7/7/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","39","2.2","41.0","46.0","0","22","10","5","2","0","--","--","23.1","22.6","07/07/25 14:00:00","900","0","0","2","5","12","11","5","2","2","0","0","0","0","0","0","39","0"
"LANE_02","41","1.6","52.4","56.0","0","29","10","0","1","1","--","--","22.0","21.6","07/07/25 14:00:00","900","0","0","0","0","0","2","11","17","11","0","0","0","0","0","0","41","0"

"LANE_01","41","2.2","42.3","49.5","0","19","16","3","3","0","--","--","22.0","21.5","07/07/25 14:15:00","900","0","0","0","4","12","14","6","3","1","1","0","0","0","0","0","41","0"
"LANE_02","34","1.5","51.1","56.0","0","18","9","6","1","0","--","--","26.5","26.1","07/07/25 14:15:00","900","0","0","0","1","0","3","8","13","8","1","0","0","0","0","0","34","0"

"LANE_01","37","1.9","44.5","50.3","0","16","16","4","1","0","--","--","24.3","23.9","07/07/25 14:30:00","900","0","0","1","4","2","12","11","4","2","1","0","0","0","0","0","37","0"
"LANE_02","42","1.7","51.1","58.0","0","24","16","2","0","0","--","--","21.4","21.1","07/07/25 14:30:00","900","0","0","0","0","2","8","6","10","15","1","0","0","0","0","0","42","0"

"LANE_01","47","2.6","39.2","45.5","0","23","18","5","1","0","--","--","19.1","18.6","07/07/25 14:45:00","900","0","1","1","9","16","11","4","4","1","0","0","0","0","0","0","47","0"
"LANE_02","29","1.1","53.4","58.5","0","14","15","0","0","0","--","--","31.0","30.7","07/07/25 14:45:00","900","0","0","0","0","0","2","6","9","9","2","1","0","0","0","0","29","0"

"LANE_01","32","1.8","44.0","51.0","0","7","21","2","2","0","--","--","28.1","27.6","07/07/25 15:00:00","900","0","0","0","2","9","7","7","5","1","1","0","0","0","0","0","32","0"
"LANE_02","52","2.1","50.8","57.0","0","28","22","2","0","0","--","--","17.3","16.9","07/07/25 15:00:00","900","0","0","0","0","1","11","10","18","9","3","0","0","0","0","0","52","0"

"LANE_01","40","2.3","41.8","48.0","0","10","25","3","2","0","--","--","22.5","22.0","07/07/25 15:15:00","900","0","0","1","3","11","9","13","3","0","0","0","0","0","0","0","40","0"
"LANE_02","36","1.3","55.2","60.0","0","22","14","0","0","0","--","--","25.0","24.7","07/07/25 15:15:00","900","0","0","0","0","0","0","2","16","13","4","1","0","0","0","0","36","0"

"LANE_01","42","2.1","43.3","51.0","0","18","20","3","1","0","--","--","21.4","21.0","07/07/25 15:30:00","900","0","0","0","2","12","13","6","8","0","1","0","0","0","0","0","42","0"
"LANE_02","43","1.7","53.5","57.7","0","29","10","3","1","0","--","--","20.9","20.6","07/07/25 15:30:00","900","0","0","0","0","0","1","7","21","12","2","0","0","0","0","0","43","0"

"LANE_01","48","2.6","43.6","50.0","0","21","22","1","4","0","--","--","18.8","18.3","07/07/25 15:45:00","900","0","1","0","5","11","11","13","4","1","1","0","0","1","0","0","48","0"
