"07/08/25 17:19:01","SR-12_Boxculvert_Tue_July_8_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","7/8/2025   11:15:00 AM","7/8/2025   5:15:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","49","2.1","47.1","57.0","0","36","12","0","1","0","--","--","18.4","18.0","07/08/25 11:30:00","900","0","0","2","0","9","9","11","6","9","3","0","0","0","0","0","49","0"
"LANE_02","36","1.4","49.9","55.3","0","26","8","2","0","0","--","--","25.0","24.6","07/08/25 11:30:00","900","0","0","0","0","0","4","14","12","6","0","0","0","0","0","0","36","0"

"LANE_01","34","1.6","44.2","52.5","1","23","6","4","0","0","--","--","26.5","26.1","07/08/25 11:45:00","900","0","0","0","2","9","7","7","7","2","0","0","0","0","0","0","34","0"
"LANE_02","36","1.5","50.4","54.7","0","25","8","2","1","0","--","--","25.0","24.6","07/08/25 11:45:00","900","0","0","0","0","0","3","13","16","4","0","0","0","0","0","0","36","0"

"LANE_01","63","3.4","44.2","50.0","0","25","29","7","1","1","--","--","14.3","13.8","07/08/25 12:00:00","900","0","0","0","2","13","21","18","9","0","0","0","0","0","0","0","63","0"
"LANE_02","40","2.0","49.6","54.7","0","20","13","4","2","1","--","--","22.5","22.1","07/08/25 12:00:00","900","0","0","0","0","0","7","14","14","5","0","0","0","0","0","0","40","0"

"LANE_01","59","4.4","40.1","50.7","0","32","14","5","4","4","--","--","15.3","14.6","07/08/25 12:15:00","900","0","3","3","17","12","2","11","7","4","0","0","0","0","0","0","59","0"
"LANE_02","36","1.6","47.8","55.0","0","19","15","1","1","0","--","--","25.0","24.6","07/08/25 12:15:00","900","0","0","0","0","6","7","11","7","5","0","0","0","0","0","0","36","0"

"LANE_01","70","3.7","43.2","51.5","0","35","28","2","5","0","--","--","12.9","12.4","07/08/25 12:30:00","900","0","0","1","5","22","17","12","9","4","0","0","0","0","0","0","70","0"
"LANE_02","27","1.1","50.4","55.0","0","21","4","2","0","0","--","--","33.3","33.0","07/08/25 12:30:00","900","0","0","0","0","0","3","9","11","4","0","0","0","0","0","0","27","0"

"LANE_01","63","4.2","40.0","48.0","0","23","28","5","5","2","--","--","14.3","13.7","07/08/25 12:45:00","900","0","0","1","14","17","17","11","3","0","0","0","0","0","0","0","63","0"
"LANE_02","30","1.2","52.7","58.0","0","17","10","3","0","0","--","--","30.0","29.6","07/08/25 12:45:00","900","0","0","0","1","0","0","7","14","7","1","0","0","0","0","0","30","0"

"LANE_01","40","1.9","45.9","52.5","0","19","17","2","2","0","--","--","22.5","22.1","07/08/25 13:00:00","900","0","0","0","1","10","3","16","8","1","1","0","0","0","0","0","40","0"
"LANE_02","33","1.8","51.0","57.0","0","17","10","2","1","3","--","--","27.3","26.8","07/08/25 13:00:00","900","0","0","0","0","0","5","11","10","6","1","0","0","0","0","0","33","0"

"LANE_01","33","1.5","46.4","52.0","0","16","16","1","0","0","--","--","27.3","26.9","07/08/25 13:15:00","900","0","0","0","1","5","8","9","7","2","1","0","0","0","0","0","33","0"
"LANE_02","37","1.9","51.9","57.7","0","15","13","6","1","2","--","--","24.3","23.9","07/08/25 13:15:00","900","0","0","0","0","0","2","13","7","12","3","0","0","0","0","0","37","0"

"LANE_01","50","2.5","47.6","54.8","0","26","18","2","4","0","--","--","18.0","17.5","07/08/25 13:30:00","900","0","0","0","4","3","9","14","14","6","0","0","0","0","0","0","50","0"
"LANE_02","41","1.9","48.8","55.0","0","24","12","2","3","0","--","--","22.0","21.5","07/08/25 13:30:00","900","0","0","0","1","5","1","13","15","6","0","0","0","0","0","0","41","0"

"LANE_01","44","2.7","44.9","53.0","0","22","15","1","5","1","--","--","20.5","19.9","07/08/25 13:45:00","900","0","0","1","2","11","8","11","6","5","0","0","0","0","0","0","44","0"
"LANE_02","42","1.8","49.6","56.8","0","26","12","3","1","0","--","--","21.4","21.0","07/08/25 13:45:00","900","0","0","0","1","0","11","9","12","9","0","0","0","0","0","0","42","0"

"LANE_01","55","3.8","42.2","52.0","0","17","26","4","6","2","--","--","16.4","15.7","07/08/25 14:00:00","900","0","0","4","8","11","8","14","5","5","0","0","0","0","0","0","55","0"
"LANE_02","28","1.0","51.6","57.0","0","19","7","2","0","0","--","--","32.1","31.8","07/08/25 14:00:00","900","0","0","0","0","1","1","8","11","7","0","0","0","0","0","0","28","0"

"LANE_01","43","2.6","43.7","52.0","0","17","15","9","2","0","--","--","20.9","20.4","07/08/25 14:15:00","900","0","0","1","5","8","11","8","6","4","0","0","0","0","0","0","43","0"
"LANE_02","45","2.1","49.8","57.3","0","22","16","5","2","0","--","--","20.0","19.6","07/08/25 14:15:00","900","0","0","0","0","3","8","13","10","9","2","0","0","0","0","0","45","0"

"LANE_01","42","2.3","42.7","49.0","0","16","19","5","2","0","--","--","21.4","20.9","07/08/25 14:30:00","900","0","0","1","5","6","14","11","3","1","1","0","0","0","0","0","42","0"
"LANE_02","52","2.5","49.3","54.3","0","37","9","2","2","2","--","--","17.3","16.9","07/08/25 14:30:00","900","0","0","0","0","3","8","16","19","4","2","0","0","0","0","0","52","0"

"LANE_01","42","2.2","44.0","50.0","0","20","16","5","0","1","--","--","21.4","21.0","07/08/25 14:45:00","900","0","0","0","2","7","14","13","6","0","0","0","0","0","0","0","42","0"
"LANE_02","44","2.0","47.4","54.7","0","28","14","1","1","0","--","--","20.5","20.0","07/08/25 14:45:00","900","0","0","0","4","4","6","12","13","4","0","1","0","0","0","0","44","0"

"LANE_01","36","1.9","42.0","50.0","0","18","16","2","0","0","--","--","25.0","24.5","07/08/25 15:00:00","900","1","0","0","6","6","8","10","4","1","0","0","0","0","0","0","36","0"
"LANE_02","45","2.0","48.1","54.0","0","29","12","3","1","0","--","--","20.0","19.6","07/08/25 15:00:00","900","0","0","0","0","2","11","19","7","4","2","0","0","0","0","0","45","0"

"LANE_01","43","2.1","47.1","56.5","0","14","26","1","1","1","--","--","20.9","20.5","07/08/25 15:15:00","900","0","0","0","2","6","5","17","5","8","0","0","0","0","0","0","43","0"
"LANE_02","53","2.2","50.9","55.4","0","30","16","6","1","0","--","--","17.0","16.6","07/08/25 15:15:00","900","0","0","0","0","0","4","18","21","10","0","0","0","0","0","0","53","0"

"LANE_01","51","2.8","43.1","53.0","0","21","25","3","2","0","--","--","17.6","17.2","07/08/25 15:30:00","900","0","0","5","7","6","11","10","5","5","2","0","0","0","0","0","51","0"
"LANE_02","43","1.8","50.2","55.0","0","26","14","2","1","0","--","--","20.9","20.6","07/08/25 15:30:00","900","0","0","0","0","0","4","16","17","6","0","0","0","0","0","0","43","0"

"LANE_01","32","1.8","44.8","50.5","0","18","8","2","3","1","--","--","28.1","27.6","07/08/25 15:45:00","900","0","0","0","1","7","8","9","6","1","0","0","0","0","0","0","32","0"
"LANE_02","61","2.7","48.7","53.0","0","34","20","6","1","0","--","--","14.8","14.4","07/08/25 15:45:00","900","0","0","0","0","2","10","29","12","6","2","0","0","0","0","0","61","0"

"LANE_01","39","2.2","41.0","49.0","0","19","15","3","2","0","--","--","23.1","22.6","07/08/25 16:00:00","900","0","0","0","10","10","8","6","4","1","0","0","0","0","0","0","39","0"
"LANE_02","43","1.8","51.2","57.7","0","19","20","4","0","0","--","--","20.9","20.5","07/08/25 16:00:00","900","0","0","0","0","0","7","12","11","11","2","0","0","0","0","0","43","0"

"LANE_01","37","1.9","45.7","51.0","0","11","21","5","0","0","--","--","24.3","23.9","07/08/25 16:15:00","900","0","0","0","2","2","12","13","5","3","0","0","0","0","0","0","37","0"
"LANE_02","55","2.7","48.9","54.6","0","25","23","4","1","2","--","--","16.4","15.9","07/08/25 16:15:00","900","0","0","0","0","2","11","23","13","3","3","0","0","0","0","0","55","0"

"LANE_01","32","2.7","37.0","45.5","0","13","13","2","1","3","--","--","28.1","27.4","07/08/25 16:30:00","900","0","1","7","7","6","5","3","1","2","0","0","0","0","0","0","32","0"
"LANE_02","45","1.7","53.4","57.3","0","27","17","1","0","0","--","--","20.0","19.7","07/08/25 16:30:00","900","0","0","0","0","0","2","10","17","13","2","1","0","0","0","0","45","0"

