"07/09/25 17:07:13","SR-12_Boxculvert_Wed_July_9_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/9/2025   8:00:00 AM","7/9/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","21","1.0","42.9","52.0","0","13","6","2","--","--","--","--","42.9","42.4","07/09/25 08:00:00","900","0","1","0","3","3","5","3","4","2","0","0","0","0","0","0","21","0"
"LANE_02","23","0.9","48.8","55.0","0","16","5","2","--","--","--","--","39.1","38.8","07/09/25 08:00:00","900","0","0","0","1","0","6","6","7","3","0","0","0","0","0","0","23","0"

"LANE_01","32","1.7","47.0","57.3","0","15","13","4","--","--","--","--","28.1","27.6","07/09/25 08:15:00","900","0","1","0","2","7","3","6","4","6","3","0","0","0","0","0","32","0"
"LANE_02","27","1.6","50.6","56.0","0","12","6","9","--","--","--","--","33.3","32.8","07/09/25 08:15:00","900","0","0","0","0","1","4","8","7","3","3","1","0","0","0","0","27","0"

"LANE_01","22","1.0","48.9","58.5","0","12","7","3","--","--","--","--","40.9","40.5","07/09/25 08:30:00","900","0","0","1","0","2","3","6","3","6","1","0","0","0","0","0","22","0"
"LANE_02","25","1.2","51.6","55.0","0","13","6","6","--","--","--","--","36.0","35.6","07/09/25 08:30:00","900","0","0","0","0","0","2","5","14","4","0","0","0","0","0","0","25","0"

"LANE_01","25","0.9","53.4","60.5","0","15","9","1","--","--","--","--","36.0","35.7","07/09/25 08:45:00","900","0","0","0","0","0","2","4","12","2","3","1","1","0","0","0","25","0"
"LANE_02","40","2.0","50.4","55.7","0","19","11","10","--","--","--","--","22.5","22.1","07/09/25 08:45:00","900","0","0","0","0","0","5","16","11","5","3","0","0","0","0","0","40","0"

"LANE_01","14","0.5","50.1","56.8","0","10","4","0","--","--","--","--","64.3","63.9","07/09/25 09:00:00","900","0","0","0","0","1","2","3","3","5","0","0","0","0","0","0","14","0"
"LANE_02","31","1.2","51.8","57.3","0","22","4","5","--","--","--","--","29.0","28.7","07/09/25 09:00:00","900","0","0","0","1","0","3","7","9","10","1","0","0","0","0","0","31","0"

"LANE_01","24","1.1","43.6","48.5","0","15","7","2","--","--","--","--","37.5","37.1","07/09/25 09:15:00","900","0","1","0","1","3","8","8","2","1","0","0","0","0","0","0","24","0"
"LANE_02","34","1.4","51.1","58.0","0","22","9","3","--","--","--","--","26.5","26.1","07/09/25 09:15:00","900","0","0","0","0","0","4","15","5","8","2","0","0","0","0","0","34","0"

"LANE_01","30","1.3","47.3","57.5","0","19","11","0","--","--","--","--","30.0","29.6","07/09/25 09:30:00","900","0","1","0","5","0","7","4","7","3","1","2","0","0","0","0","30","0"
"LANE_02","42","1.8","50.8","56.5","0","25","11","6","--","--","--","--","21.4","21.0","07/09/25 09:30:00","900","0","0","0","0","0","7","14","12","8","1","0","0","0","0","0","42","0"

"LANE_01","23","1.3","40.6","51.0","0","12","7","4","--","--","--","--","39.1","38.6","07/09/25 09:45:00","900","0","0","2","4","7","3","3","3","1","0","0","0","0","0","0","23","0"
"LANE_02","39","1.6","52.0","58.8","0","26","8","5","--","--","--","--","23.1","22.7","07/09/25 09:45:00","900","0","0","0","0","3","4","9","8","11","2","1","1","0","0","0","39","0"

"LANE_01","35","1.6","47.1","55.5","0","22","8","5","--","--","--","--","25.7","25.3","07/09/25 10:00:00","900","0","0","0","0","7","9","9","4","4","2","0","0","0","0","0","35","0"
"LANE_02","47","1.7","51.9","58.5","0","35","10","2","--","--","--","--","19.2","18.8","07/09/25 10:00:00","900","0","0","0","0","1","5","14","11","12","4","0","0","0","0","0","47","0"

"LANE_01","31","1.3","44.3","52.3","1","21","8","1","--","--","--","--","29.0","28.6","07/09/25 10:15:00","900","0","2","2","0","3","9","5","10","0","0","0","0","0","0","0","31","0"
"LANE_02","48","2.0","48.2","54.0","0","36","8","4","--","--","--","--","18.8","18.4","07/09/25 10:15:00","900","0","0","0","1","4","9","13","14","5","1","1","0","0","0","0","48","0"

"LANE_01","43","1.9","43.7","54.0","0","30","10","3","--","--","--","--","20.9","20.5","07/09/25 10:30:00","900","0","0","2","5","7","12","6","8","3","0","0","0","0","0","0","43","0"
"LANE_02","43","1.8","49.4","56.3","0","31","6","6","--","--","--","--","20.9","20.5","07/09/25 10:30:00","900","0","0","0","0","2","8","12","14","6","1","0","0","0","0","0","43","0"

"LANE_01","41","2.1","43.8","51.0","0","25","12","4","--","--","--","--","22.0","21.5","07/09/25 10:45:00","900","0","2","2","1","3","11","15","5","0","2","0","0","0","0","0","41","0"
"LANE_02","65","2.9","49.7","55.5","0","46","12","7","--","--","--","--","13.8","13.4","07/09/25 10:45:00","900","0","0","0","0","1","14","20","18","10","1","1","0","0","0","0","65","0"

"LANE_01","36","1.7","44.2","50.3","0","24","8","4","--","--","--","--","25.0","24.6","07/09/25 11:00:00","900","0","0","1","4","1","13","11","4","2","0","0","0","0","0","0","36","0"
"LANE_02","52","2.1","50.8","57.0","0","37","11","4","--","--","--","--","17.3","16.9","07/09/25 11:00:00","900","0","0","0","0","0","6","22","13","8","2","1","0","0","0","0","52","0"

"LANE_01","48","2.5","40.7","48.0","0","26","18","4","--","--","--","--","18.8","18.3","07/09/25 11:15:00","900","0","0","5","8","11","8","11","3","1","1","0","0","0","0","0","48","0"
"LANE_02","48","2.0","47.4","55.0","0","32","13","3","--","--","--","--","18.8","18.4","07/09/25 11:15:00","900","0","0","0","0","5","17","11","8","6","0","1","0","0","0","0","48","0"

"LANE_01","40","1.9","41.4","50.5","1","33","3","3","--","--","--","--","22.5","22.1","07/09/25 11:30:00","900","0","1","5","3","5","13","6","6","1","0","0","0","0","0","0","40","0"
"LANE_02","39","1.6","52.4","58.0","0","29","4","6","--","--","--","--","23.1","22.7","07/09/25 11:30:00","900","0","0","0","0","0","2","11","15","8","3","0","0","0","0","0","39","0"

"LANE_01","36","2.0","42.4","54.0","0","21","8","7","--","--","--","--","25.0","24.5","07/09/25 11:45:00","900","0","2","2","3","9","6","6","4","2","1","1","0","0","0","0","36","0"
"LANE_02","50","2.2","48.9","54.5","0","32","12","6","--","--","--","--","18.0","17.6","07/09/25 11:45:00","900","0","0","0","0","1","11","17","16","5","0","0","0","0","0","0","50","0"

"LANE_01","40","2.3","39.8","49.0","0","21","13","6","--","--","--","--","22.5","22.0","07/09/25 12:00:00","900","0","2","2","5","12","10","4","2","3","0","0","0","0","0","0","40","0"
"LANE_02","25","1.0","52.9","57.0","0","17","5","3","--","--","--","--","36.0","35.7","07/09/25 12:00:00","900","0","0","0","0","0","1","6","11","5","2","0","0","0","0","0","25","0"

"LANE_01","44","2.5","40.3","50.0","0","29","9","6","--","--","--","--","20.5","19.9","07/09/25 12:15:00","900","0","5","1","5","9","10","7","5","1","1","0","0","0","0","0","44","0"
"LANE_02","36","1.6","50.5","56.0","0","26","4","6","--","--","--","--","25.0","24.6","07/09/25 12:15:00","900","0","0","1","0","1","5","9","12","6","1","0","1","0","0","0","36","0"

"LANE_01","40","2.0","40.1","47.0","0","30","8","2","--","--","--","--","22.5","22.1","07/09/25 12:30:00","900","0","1","3","7","11","8","6","2","2","0","0","0","0","0","0","40","0"
"LANE_02","28","1.1","52.4","56.7","0","20","4","4","--","--","--","--","32.1","31.8","07/09/25 12:30:00","900","0","0","0","0","0","2","7","10","7","2","0","0","0","0","0","28","0"

"LANE_01","44","2.1","43.6","54.0","0","32","7","5","--","--","--","--","20.5","20.0","07/09/25 12:45:00","900","0","0","4","7","6","7","6","7","5","2","0","0","0","0","0","44","0"
"LANE_02","35","1.4","49.4","56.0","0","20","12","3","--","--","--","--","25.7","25.4","07/09/25 12:45:00","900","0","0","0","0","2","5","15","7","5","1","0","0","0","0","0","35","0"

"LANE_01","44","2.5","43.3","54.0","0","27","13","4","--","--","--","--","20.5","19.9","07/09/25 13:00:00","900","0","5","3","1","5","4","8","13","2","1","2","0","0","0","0","44","0"
"LANE_02","46","1.7","53.8","59.3","0","31","10","5","--","--","--","--","19.6","19.2","07/09/25 13:00:00","900","0","0","0","0","0","2","9","16","15","4","0","0","0","0","0","46","0"

"LANE_01","53","3.1","41.6","52.8","0","31","14","8","--","--","--","--","17.0","16.5","07/09/25 13:15:00","900","0","3","7","1","11","7","10","11","1","2","0","0","0","0","0","53","0"
"LANE_02","40","1.6","50.4","55.0","0","26","11","3","--","--","--","--","22.5","22.1","07/09/25 13:15:00","900","0","0","0","0","0","7","8","19","5","1","0","0","0","0","0","40","0"

"LANE_01","42","2.0","46.8","54.0","0","29","8","5","--","--","--","--","21.4","21.0","07/09/25 13:30:00","900","0","0","1","0","4","13","10","9","3","1","1","0","0","0","0","42","0"
"LANE_02","37","1.4","51.0","56.4","0","26","8","3","--","--","--","--","24.3","24.0","07/09/25 13:30:00","900","0","0","0","0","1","7","10","9","7","2","1","0","0","0","0","37","0"

"LANE_01","38","2.0","42.7","51.5","0","22","10","6","--","--","--","--","23.7","23.2","07/09/25 13:45:00","900","0","0","4","4","4","11","7","6","2","0","0","0","0","0","0","38","0"
"LANE_02","40","1.7","50.2","55.7","0","28","6","6","--","--","--","--","22.5","22.1","07/09/25 13:45:00","900","0","0","1","1","0","4","12","14","5","3","0","0","0","0","0","40","0"

"LANE_01","42","1.8","47.5","56.5","0","29","11","2","--","--","--","--","21.4","21.0","07/09/25 14:00:00","900","0","0","1","3","2","5","17","6","7","1","0","0","0","0","0","42","0"
"LANE_02","43","1.6","51.8","56.5","0","32","7","4","--","--","--","--","20.9","20.6","07/09/25 14:00:00","900","0","0","0","0","0","4","10","18","10","1","0","0","0","0","0","43","0"

"LANE_01","44","2.2","48.5","55.5","0","23","11","10","--","--","--","--","20.5","20.0","07/09/25 14:15:00","900","0","0","1","0","7","7","8","13","5","2","0","1","0","0","0","44","0"
"LANE_02","44","1.6","53.4","59.0","0","33","8","3","--","--","--","--","20.5","20.1","07/09/25 14:15:00","900","0","0","0","0","0","4","8","13","15","3","1","0","0","0","0","44","0"

"LANE_01","43","2.0","42.3","52.0","1","29","13","0","--","--","--","--","20.9","20.5","07/09/25 14:30:00","900","0","2","4","2","8","10","7","8","2","0","0","0","0","0","0","43","0"
"LANE_02","50","2.0","52.5","61.0","1","32","13","4","--","--","--","--","18.0","17.6","07/09/25 14:30:00","900","0","1","0","1","0","8","9","4","18","8","1","0","0","0","0","50","0"

"LANE_01","50","2.6","43.8","55.5","0","29","15","6","--","--","--","--","18.0","17.5","07/09/25 14:45:00","900","0","2","3","6","4","9","10","7","9","0","0","0","0","0","0","50","0"
"LANE_02","33","1.2","52.2","58.0","0","24","6","3","--","--","--","--","27.3","26.9","07/09/25 14:45:00","900","0","0","0","0","0","4","9","8","9","2","1","0","0","0","0","33","0"

