"07/10/25 16:57:54","SR-12_Boxculvert_Thur_July_10_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/10/2025   8:00:00 AM","7/10/2025   4:30:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","31","1.4","55.5","62.3","0","18","5","8","--","--","--","--","29.0","28.6","07/10/25 08:30:00","900","0","0","0","0","0","0","8","7","11","3","1","0","0","1","0","31","0"
"LANE_02","15","0.7","53.7","60.0","0","8","3","4","--","--","--","--","60.0","59.6","07/10/25 08:30:00","900","0","0","0","1","0","1","2","2","7","2","0","0","0","0","0","14","1"

"LANE_01","19","0.7","56.8","64.3","0","9","10","0","--","--","--","--","47.4","47.1","07/10/25 08:45:00","900","0","0","0","0","1","0","1","6","4","6","0","1","0","0","0","19","0"
"LANE_02","26","1.0","54.3","59.3","0","15","9","2","--","--","--","--","34.6","34.3","07/10/25 08:45:00","900","0","0","0","0","0","0","5","11","8","0","2","0","0","0","0","26","0"

"LANE_01","20","1.1","48.1","58.0","0","10","7","3","--","--","--","--","45.0","44.5","07/10/25 09:00:00","900","0","0","1","0","2","5","6","1","2","3","0","0","0","0","0","20","0"
"LANE_02","30","1.3","54.4","60.5","0","18","8","4","--","--","--","--","30.0","29.6","07/10/25 09:00:00","900","0","0","0","0","0","2","2","15","6","5","0","0","0","0","0","30","0"

"LANE_01","44","2.5","47.7","56.5","0","19","16","9","--","--","--","--","20.5","19.9","07/10/25 09:15:00","900","0","0","2","3","5","5","9","7","10","3","0","0","0","0","0","44","0"
"LANE_02","16","0.7","54.7","63.0","0","9","4","3","--","--","--","--","56.3","55.9","07/10/25 09:15:00","900","0","0","0","0","0","2","2","4","4","3","0","1","0","0","0","16","0"

