"07/10/25 16:35:17","SR-12_Boxculvert_Wed_July_10_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","7/10/2025   8:00:00 AM","7/10/2025   4:30:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","22","1.1","46.1","54.5","0","11","9","1","0","1","--","--","40.9","40.4","07/10/25 08:15:00","900","0","0","0","0","5","3","8","4","2","0","0","0","0","0","0","22","0"
"LANE_02","11","0.5","52.7","59.0","0","9","1","0","1","0","--","--","81.8","81.4","07/10/25 08:15:00","900","0","0","0","0","0","2","3","1","3","2","0","0","0","0","0","11","0"

"LANE_01","34","2.0","47.8","55.0","0","16","10","4","2","2","--","--","26.5","25.9","07/10/25 08:30:00","900","0","0","0","2","3","7","8","9","5","0","0","0","0","0","0","34","0"
"LANE_02","22","0.9","52.8","58.0","0","15","3","3","1","0","--","--","40.9","40.5","07/10/25 08:30:00","900","0","0","0","0","1","1","2","12","5","0","1","0","0","0","0","22","0"

"LANE_01","21","0.8","51.6","58.0","0","11","9","1","0","0","--","--","42.9","42.5","07/10/25 08:45:00","900","0","0","0","0","0","3","5","8","2","3","0","0","0","0","0","21","0"
"LANE_02","35","1.3","52.1","57.5","0","21","12","2","0","0","--","--","25.7","25.4","07/10/25 08:45:00","900","0","0","0","0","1","2","9","13","9","1","0","0","0","0","0","35","0"

"LANE_01","20","1.2","45.4","50.0","0","8","8","2","1","1","--","--","45.0","44.5","07/10/25 09:00:00","900","0","0","0","0","3","6","8","2","1","0","0","0","0","0","0","20","0"
"LANE_02","35","1.6","53.6","59.0","0","20","10","3","0","2","--","--","25.7","25.3","07/10/25 09:00:00","900","0","0","0","0","0","1","9","12","8","4","1","0","0","0","0","35","0"

"LANE_01","38","2.0","45.1","51.0","0","19","13","4","2","0","--","--","23.7","23.2","07/10/25 09:15:00","900","0","0","0","0","4","20","6","7","1","0","0","0","0","0","0","38","0"
"LANE_02","21","0.7","52.9","56.5","0","17","3","1","0","0","--","--","42.9","42.5","07/10/25 09:15:00","900","0","0","0","0","0","1","3","11","5","1","0","0","0","0","0","21","0"

"LANE_01","34","2.1","45.6","57.0","0","19","10","0","2","3","--","--","26.5","25.9","07/10/25 09:30:00","900","0","0","0","3","5","12","4","3","4","2","1","0","0","0","0","34","0"
"LANE_02","40","1.9","52.5","58.0","0","25","8","2","4","1","--","--","22.5","22.1","07/10/25 09:30:00","900","0","0","0","0","0","2","13","9","15","1","0","0","0","0","0","40","0"

"LANE_01","28","1.2","47.8","57.0","0","15","11","2","0","0","--","--","32.1","31.7","07/10/25 09:45:00","900","0","0","0","2","4","3","7","6","5","1","0","0","0","0","0","28","0"
"LANE_02","50","2.3","50.5","57.0","0","35","8","2","4","1","--","--","18.0","17.6","07/10/25 09:45:00","900","0","0","0","0","1","8","12","20","6","2","0","1","0","0","0","50","0"

"LANE_01","40","1.7","47.9","54.0","0","23","16","0","1","0","--","--","22.5","22.1","07/10/25 10:00:00","900","0","0","0","0","4","9","13","11","2","1","0","0","0","0","0","40","0"
"LANE_02","45","2.0","49.6","53.5","0","25","14","4","0","2","--","--","20.0","19.6","07/10/25 10:00:00","900","0","0","0","0","3","3","14","20","5","0","0","0","0","0","0","45","0"

"LANE_01","33","2.0","45.6","51.0","0","22","5","2","1","3","--","--","27.3","26.7","07/10/25 10:15:00","900","0","0","0","0","2","17","8","4","2","0","0","0","0","0","0","33","0"
"LANE_02","26","1.1","53.6","59.0","0","15","9","0","2","0","--","--","34.6","34.3","07/10/25 10:15:00","900","0","0","0","0","0","1","2","15","5","3","0","0","0","0","0","26","0"

"LANE_01","35","1.5","46.8","54.8","0","24","9","1","1","0","--","--","25.7","25.3","07/10/25 10:30:00","900","0","0","1","0","4","12","6","8","4","0","0","0","0","0","0","35","0"
"LANE_02","54","2.3","50.9","57.7","0","38","9","4","3","0","--","--","16.7","16.3","07/10/25 10:30:00","900","0","0","0","0","3","5","12","23","7","4","0","0","0","0","0","54","0"

"LANE_01","39","2.2","42.1","48.7","0","19","14","2","4","0","--","--","23.1","22.6","07/10/25 10:45:00","900","0","0","3","4","7","7","15","3","0","0","0","0","0","0","0","39","0"
"LANE_02","46","1.9","51.3","55.0","0","34","5","4","3","0","--","--","19.6","19.2","07/10/25 10:45:00","900","0","0","0","0","0","5","8","26","6","1","0","0","0","0","0","46","0"

"LANE_01","36","1.7","46.5","55.3","0","22","11","0","2","1","--","--","25.0","24.6","07/10/25 11:00:00","900","0","0","0","1","6","8","11","4","5","1","0","0","0","0","0","36","0"
"LANE_02","50","3.0","47.6","51.7","0","25","11","5","4","5","--","--","18.0","17.5","07/10/25 11:00:00","900","0","0","0","0","2","10","24","14","0","0","0","0","0","0","0","50","0"

"LANE_01","45","2.1","46.4","52.0","0","22","17","5","1","0","--","--","20.0","19.6","07/10/25 11:15:00","900","0","0","0","5","3","9","14","9","3","2","0","0","0","0","0","45","0"
"LANE_02","43","1.6","53.9","58.0","0","30","8","4","1","0","--","--","20.9","20.6","07/10/25 11:15:00","900","0","0","0","0","0","1","8","18","11","4","1","0","0","0","0","43","0"

"LANE_01","44","2.0","44.9","50.5","0","24","16","3","1","0","--","--","20.5","20.0","07/10/25 11:30:00","900","0","0","0","0","8","16","12","5","3","0","0","0","0","0","0","44","0"
"LANE_02","54","2.3","47.5","53.8","0","36","11","6","1","0","--","--","16.7","16.3","07/10/25 11:30:00","900","0","0","0","0","7","12","16","13","5","1","0","0","0","0","0","54","0"

"LANE_01","40","2.0","43.6","49.7","0","23","10","7","0","0","--","--","22.5","22.0","07/10/25 11:45:00","900","0","1","0","1","10","10","13","4","1","0","0","0","0","0","0","40","0"
"LANE_02","43","1.8","48.9","59.0","0","30","8","4","1","0","--","--","20.9","20.6","07/10/25 11:45:00","900","0","0","0","0","4","11","13","4","6","4","1","0","0","0","0","43","0"

"LANE_01","41","1.9","45.1","50.8","0","28","9","3","1","0","--","--","22.0","21.5","07/10/25 12:00:00","900","0","0","0","3","9","5","15","7","1","1","0","0","0","0","0","41","0"
"LANE_02","37","1.4","52.9","57.0","0","25","10","2","0","0","--","--","24.3","24.0","07/10/25 12:00:00","900","0","0","0","0","0","3","8","12","11","2","1","0","0","0","0","37","0"

"LANE_01","47","2.3","43.3","48.0","0","27","13","7","0","0","--","--","19.1","18.7","07/10/25 12:15:00","900","0","0","0","2","12","15","14","3","1","0","0","0","0","0","0","47","0"
"LANE_02","29","1.2","52.9","62.0","0","19","7","0","3","0","--","--","31.0","30.7","07/10/25 12:15:00","900","0","0","0","0","0","0","11","11","1","6","0","0","0","0","0","29","0"

"LANE_01","57","2.7","44.3","52.0","0","34","19","4","0","0","--","--","15.8","15.4","07/10/25 12:30:00","900","0","0","2","2","9","19","11","11","3","0","0","0","0","0","0","57","0"
"LANE_02","41","1.6","50.5","55.3","0","29","8","3","1","0","--","--","22.0","21.6","07/10/25 12:30:00","900","0","0","0","0","0","5","13","16","4","3","0","0","0","0","0","41","0"

"LANE_01","32","1.6","47.5","57.0","0","20","8","3","0","1","--","--","28.1","27.7","07/10/25 12:45:00","900","0","0","0","3","2","9","6","6","3","3","0","0","0","0","0","32","0"
"LANE_02","34","1.4","51.4","54.7","0","21","7","5","1","0","--","--","26.5","26.1","07/10/25 12:45:00","900","0","0","0","0","0","4","4","22","4","0","0","0","0","0","0","34","0"

"LANE_01","43","2.1","46.4","54.0","0","24","16","2","0","1","--","--","20.9","20.5","07/10/25 13:00:00","900","0","0","1","1","9","2","18","6","5","1","0","0","0","0","0","43","0"
"LANE_02","37","1.4","51.4","57.3","0","26","8","3","0","0","--","--","24.3","24.0","07/10/25 13:00:00","900","0","0","0","0","0","4","10","12","9","2","0","0","0","0","0","37","0"

"LANE_01","34","1.9","41.8","49.0","0","23","7","1","2","1","--","--","26.5","26.0","07/10/25 13:15:00","900","0","0","0","2","14","10","4","3","0","1","0","0","0","0","0","34","0"
"LANE_02","34","1.4","49.4","53.5","0","25","5","3","1","0","--","--","26.5","26.1","07/10/25 13:15:00","900","0","0","0","0","1","4","13","13","3","0","0","0","0","0","0","34","0"

"LANE_01","40","2.3","46.0","56.5","0","17","15","4","3","1","--","--","22.5","22.0","07/10/25 13:30:00","900","0","0","0","1","11","8","9","4","5","1","1","0","0","0","0","40","0"
"LANE_02","31","1.2","53.1","59.0","0","20","10","1","0","0","--","--","29.0","28.7","07/10/25 13:30:00","900","0","0","0","0","0","4","5","9","12","1","0","0","0","0","0","31","0"

"LANE_01","46","2.8","41.8","48.0","0","23","15","4","3","1","--","--","19.6","19.0","07/10/25 13:45:00","900","0","0","0","2","18","15","5","5","1","0","0","0","0","0","0","46","0"
"LANE_02","39","1.4","52.9","58.0","0","29","9","0","0","1","--","--","23.1","22.7","07/10/25 13:45:00","900","0","0","0","0","0","5","5","14","12","3","0","0","0","0","0","39","0"

"LANE_01","47","2.3","45.6","51.7","0","26","15","3","3","0","--","--","19.1","18.7","07/10/25 14:00:00","900","0","0","0","0","11","9","13","13","1","0","0","0","0","0","0","47","0"
"LANE_02","29","1.4","49.9","57.0","0","20","6","1","0","2","--","--","31.0","30.6","07/10/25 14:00:00","900","0","0","0","0","0","7","10","6","3","3","0","0","0","0","0","29","0"

"LANE_01","33","1.8","45.7","55.0","0","19","8","3","2","1","--","--","27.3","26.8","07/10/25 14:15:00","900","0","0","0","1","6","11","7","3","3","2","0","0","0","0","0","33","0"
"LANE_02","38","1.5","51.7","57.3","0","32","3","1","1","1","--","--","23.7","23.3","07/10/25 14:15:00","900","0","0","0","0","0","4","12","12","8","2","0","0","0","0","0","38","0"

"LANE_01","34","1.7","47.5","56.0","0","22","8","3","0","1","--","--","26.5","26.0","07/10/25 14:30:00","900","0","0","0","4","3","6","8","6","4","1","2","0","0","0","0","34","0"
"LANE_02","36","1.4","49.4","56.5","1","27","6","2","0","0","--","--","25.0","24.6","07/10/25 14:30:00","900","1","0","0","0","2","3","10","11","9","0","0","0","0","0","0","36","0"

"LANE_01","58","3.2","42.5","49.3","0","33","16","5","3","1","--","--","15.5","15.0","07/10/25 14:45:00","900","0","0","1","9","11","16","14","5","1","1","0","0","0","0","0","58","0"
"LANE_02","42","1.5","50.3","55.3","0","30","11","1","0","0","--","--","21.4","21.1","07/10/25 14:45:00","900","0","0","0","0","0","4","17","14","7","0","0","0","0","0","0","42","0"

"LANE_01","55","3.1","43.1","49.0","0","30","14","8","2","1","--","--","16.4","15.9","07/10/25 15:00:00","900","0","0","0","2","17","13","18","5","0","0","0","0","0","0","0","55","0"
"LANE_02","35","1.6","50.5","57.0","0","18","12","3","1","1","--","--","25.7","25.3","07/10/25 15:00:00","900","0","0","0","0","0","6","12","7","8","2","0","0","0","0","0","35","0"

"LANE_01","44","2.4","45.0","54.0","0","19","17","4","4","0","--","--","20.5","20.0","07/10/25 15:15:00","900","0","0","0","3","12","9","7","8","3","2","0","0","0","0","0","44","0"
"LANE_02","49","2.3","49.6","55.5","0","28","14","5","0","2","--","--","18.4","18.0","07/10/25 15:15:00","900","0","0","0","0","0","9","21","10","7","1","1","0","0","0","0","49","0"

"LANE_01","48","2.3","45.8","52.0","0","30","13","2","3","0","--","--","18.8","18.3","07/10/25 15:30:00","900","0","0","0","0","11","13","11","8","4","1","0","0","0","0","0","48","0"
"LANE_02","30","1.2","49.4","59.0","1","22","6","1","0","0","--","--","30.0","29.6","07/10/25 15:30:00","900","1","0","0","0","0","5","11","5","4","4","0","0","0","0","0","30","0"

"LANE_01","33","1.5","46.6","54.0","0","17","13","1","2","0","--","--","27.3","26.9","07/10/25 15:45:00","900","0","0","0","1","3","10","11","5","3","0","0","0","0","0","0","33","0"
"LANE_02","30","1.1","53.7","58.0","0","23","6","0","0","1","--","--","30.0","29.7","07/10/25 15:45:00","900","0","0","0","0","0","0","5","16","6","3","0","0","0","0","0","30","0"

"LANE_01","35","2.1","43.6","52.0","0","12","14","7","1","1","--","--","25.7","25.2","07/10/25 16:00:00","900","0","0","1","4","8","9","5","6","1","1","0","0","0","0","0","35","0"
"LANE_02","45","1.7","53.4","57.0","0","31","11","3","0","0","--","--","20.0","19.7","07/10/25 16:00:00","900","0","0","0","0","0","0","6","26","13","0","0","0","0","0","0","45","0"

"LANE_01","43","2.5","41.1","52.0","0","28","11","1","2","1","--","--","20.9","20.4","07/10/25 16:15:00","900","0","0","7","5","8","7","9","3","3","1","0","0","0","0","0","43","0"
"LANE_02","39","1.7","49.5","57.0","0","25","10","2","2","0","--","--","23.1","22.7","07/10/25 16:15:00","900","0","0","0","1","5","6","8","9","8","1","0","0","1","0","0","39","0"

"LANE_01","49","2.4","46.5","53.5","0","32","11","3","1","2","--","--","18.4","17.9","07/10/25 16:30:00","900","0","0","0","0","8","8","22","6","4","1","0","0","0","0","0","49","0"
"LANE_02","42","1.5","52.9","57.7","0","37","4","0","1","0","--","--","21.4","21.1","07/10/25 16:30:00","900","0","0","0","0","0","2","11","10","17","2","0","0","0","0","0","42","0"

Total Bins:  34
