"07/11/25 12:11:54","SR-12_Boxculvert_Fri_July_11_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/11/2025   8:30:00 AM","7/11/2025   12:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","24","1.3","52.0","59.0","0","8","11","5","--","--","--","--","37.5","37.0","07/11/25 08:30:00","900","0","0","0","2","1","3","5","4","6","2","0","0","0","0","1","24","0"
"LANE_02","33","1.4","56.9","64.5","0","15","13","5","--","--","--","--","27.3","26.9","07/11/25 08:30:00","900","0","0","0","0","0","1","2","11","10","5","4","0","0","0","0","33","0"

"LANE_01","20","0.9","53.7","65.0","0","9","9","2","--","--","--","--","45.0","44.6","07/11/25 08:45:00","900","0","0","2","0","4","0","0","5","3","3","2","0","1","0","0","20","0"
"LANE_02","44","2.2","50.4","57.5","0","22","11","11","--","--","--","--","20.5","20.0","07/11/25 08:45:00","900","0","0","0","0","4","5","13","8","10","4","0","0","0","0","0","44","0"

"LANE_01","18","1.0","50.6","59.0","0","10","6","2","--","--","--","--","50.0","49.5","07/11/25 09:00:00","900","0","0","1","0","2","2","4","1","5","1","1","0","1","0","0","18","0"
"LANE_02","31","1.3","53.8","60.0","0","22","4","5","--","--","--","--","29.0","28.6","07/11/25 09:00:00","900","0","0","0","0","1","6","3","7","9","2","2","1","0","0","0","31","0"

"LANE_01","29","1.3","49.5","60.0","0","20","6","3","--","--","--","--","31.0","30.6","07/11/25 09:15:00","900","0","0","0","3","3","4","8","5","2","3","0","0","0","1","0","29","0"
"LANE_02","37","1.4","54.9","62.3","0","27","7","3","--","--","--","--","24.3","24.0","07/11/25 09:15:00","900","0","0","1","0","0","1","6","9","11","7","2","0","0","0","0","37","0"

"LANE_01","25","1.2","50.6","59.3","0","15","8","2","--","--","--","--","36.0","35.6","07/11/25 09:30:00","900","0","0","1","0","2","2","5","8","5","2","0","0","0","0","0","25","0"
"LANE_02","33","1.4","55.3","61.0","0","21","9","3","--","--","--","--","27.3","26.9","07/11/25 09:30:00","900","0","0","0","0","0","0","5","11","11","5","1","0","0","0","0","33","0"

"LANE_01","39","1.7","49.1","57.3","1","22","14","2","--","--","--","--","23.1","22.7","07/11/25 09:45:00","900","0","1","1","0","2","6","9","11","6","3","0","0","0","0","0","39","0"
"LANE_02","46","1.9","54.4","62.0","0","31","10","5","--","--","--","--","19.6","19.2","07/11/25 09:45:00","900","0","0","0","0","1","1","12","14","7","9","1","1","0","0","0","46","0"

"LANE_01","28","1.2","46.8","54.5","0","17","9","2","--","--","--","--","32.1","31.8","07/11/25 10:00:00","900","0","0","0","1","5","6","4","8","2","2","0","0","0","0","0","28","0"
"LANE_02","36","1.6","54.9","61.7","0","26","4","6","--","--","--","--","25.0","24.6","07/11/25 10:00:00","900","0","0","0","1","2","1","2","9","12","8","1","0","0","0","0","36","0"

"LANE_01","41","1.7","49.8","62.0","0","27","11","3","--","--","--","--","22.0","21.6","07/11/25 10:15:00","900","0","0","2","4","6","3","5","3","8","6","3","0","1","0","0","41","0"
"LANE_02","44","1.8","51.9","59.0","0","29","10","5","--","--","--","--","20.5","20.1","07/11/25 10:15:00","900","0","0","0","0","0","6","13","11","8","6","0","0","0","0","0","44","0"

"LANE_01","41","1.8","47.7","58.0","1","21","16","3","--","--","--","--","22.0","21.6","07/11/25 10:30:00","900","0","0","1","4","3","5","13","6","4","2","2","1","0","0","0","41","0"
"LANE_02","50","2.1","50.5","56.5","0","36","7","7","--","--","--","--","18.0","17.6","07/11/25 10:30:00","900","0","0","0","0","0","7","18","17","7","1","0","0","0","0","0","50","0"

"LANE_01","49","2.8","42.9","57.5","3","23","19","4","--","--","--","--","18.4","17.9","07/11/25 10:45:00","900","1","3","3","7","10","7","5","4","4","2","1","0","0","1","1","49","0"
"LANE_02","47","2.2","51.9","58.0","1","26","11","9","--","--","--","--","19.2","18.7","07/11/25 10:45:00","900","0","0","0","0","1","5","11","16","11","3","0","0","0","0","0","47","0"

"LANE_01","44","2.1","49.8","58.0","0","22","18","4","--","--","--","--","20.5","20.0","07/11/25 11:00:00","900","0","0","0","1","6","11","8","8","5","2","1","0","0","0","2","44","0"
"LANE_02","49","2.2","50.3","59.0","0","31","12","6","--","--","--","--","18.4","18.0","07/11/25 11:00:00","900","0","0","0","0","2","9","14","14","4","3","2","1","0","0","0","49","0"

"LANE_01","39","1.8","53.0","61.0","0","24","7","8","--","--","--","--","23.1","22.7","07/11/25 11:15:00","900","0","0","1","0","2","2","9","8","10","2","4","1","0","0","0","39","0"
"LANE_02","40","1.7","54.7","61.0","0","27","5","8","--","--","--","--","22.5","22.1","07/11/25 11:15:00","900","0","0","0","0","0","0","9","14","8","7","2","0","0","0","0","40","0"

"LANE_01","48","2.0","54.2","64.0","0","26","18","4","--","--","--","--","18.8","18.4","07/11/25 11:30:00","900","0","0","1","3","2","0","8","6","13","10","4","0","1","0","0","48","0"
