"07/15/25 17:03:04","US_6_Tue_July_15_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/15/2025   10:30:00 AM","7/15/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","42","2.0","58.3","71.0","0","17","10","15","--","--","--","--","21.4","21.0","07/15/25 10:30:00","900","0","0","1","1","1","0","6","6","6","8","6","4","3","0","0","42","0"
"LANE_02","59","2.9","66.5","75.0","0","24","14","21","--","--","--","--","15.3","14.8","07/15/25 10:30:00","900","0","0","0","0","0","0","5","3","4","7","17","14","9","0","0","59","0"

"LANE_01","61","2.8","63.1","73.3","0","33","12","16","--","--","--","--","14.8","14.3","07/15/25 10:45:00","900","0","0","0","0","0","0","4","9","12","14","7","10","4","1","0","61","0"
"LANE_02","54","2.8","64.6","73.5","0","22","13","19","--","--","--","--","16.7","16.2","07/15/25 10:45:00","900","0","0","0","0","0","0","1","9","6","8","14","11","5","0","0","54","0"

"LANE_01","43","1.9","68.8","76.5","0","21","8","14","--","--","--","--","20.9","20.5","07/15/25 11:00:00","900","0","0","0","0","0","0","1","1","1","5","16","11","8","0","0","43","0"
"LANE_02","49","2.2","70.9","77.7","0","17","18","14","--","--","--","--","18.4","18.0","07/15/25 11:00:00","900","0","0","0","0","0","0","0","1","1","5","15","14","11","2","0","49","0"

"LANE_01","66","3.4","63.4","73.0","0","31","11","24","--","--","--","--","13.6","13.2","07/15/25 11:15:00","900","0","0","0","0","0","2","3","4","13","16","9","17","2","0","0","66","0"
"LANE_02","51","1.9","70.0","78.0","0","27","12","12","--","--","--","--","17.6","17.3","07/15/25 11:15:00","900","0","0","0","0","0","0","0","0","2","13","12","13","11","0","0","51","0"

