"07/16/25 17:21:11","US_6_Wed_July_16_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","7/16/2025   10:00:00 AM","7/16/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","51","2.0","65.7","72.0","0","29","12","3","4","3","--","--","17.6","17.3","07/16/25 10:00:00","900","0","0","0","0","0","0","0","1","8","21","10","8","3","0","0","51","0"
"LANE_02","47","1.8","64.2","70.0","0","28","10","4","3","2","--","--","19.1","18.8","07/16/25 10:00:00","900","0","0","0","0","0","0","2","4","4","12","18","5","2","0","0","47","0"

"LANE_01","51","2.6","65.4","75.7","0","29","4","2","8","8","--","--","17.6","17.2","07/16/25 10:30:00","900","0","0","0","0","0","0","2","7","7","9","8","8","6","4","0","51","0"
"LANE_02","45","2.2","61.0","70.8","0","19","13","4","6","3","--","--","20.0","19.6","07/16/25 10:30:00","900","0","0","0","0","0","4","7","4","3","5","11","9","2","0","0","45","0"

"LANE_01","66","3.3","65.6","71.5","0","33","8","5","14","6","--","--","13.6","13.2","07/16/25 10:45:00","900","0","0","0","0","0","0","2","1","8","21","20","8","5","1","0","66","0"
"LANE_02","56","2.6","67.6","71.7","0","26","11","5","6","8","--","--","16.1","15.7","07/16/25 10:45:00","900","0","0","0","0","0","0","0","0","3","18","21","12","1","0","1","56","0"

"LANE_01","60","2.7","68.8","75.0","0","25","18","5","6","6","--","--","15.0","14.6","07/16/25 11:00:00","900","0","0","0","0","0","0","0","2","5","8","17","19","7","2","0","60","0"
"LANE_02","50","2.0","66.5","74.3","0","29","7","6","5","3","--","--","18.0","17.6","07/16/25 11:00:00","900","0","0","0","0","0","0","0","0","7","17","12","9","4","0","1","50","0"

"LANE_01","33","1.5","69.5","77.3","0","16","7","4","1","5","--","--","27.3","26.9","07/16/25 11:15:00","900","0","0","0","0","0","0","0","2","0","7","9","8","5","1","1","33","0"
"LANE_02","59","2.7","65.0","74.7","0","32","7","6","10","4","--","--","15.3","14.8","07/16/25 11:15:00","900","0","0","0","0","0","4","4","3","6","3","15","16","7","1","0","59","0"

"LANE_01","67","2.8","65.9","73.3","0","29","19","8","4","7","--","--","13.4","13.1","07/16/25 11:30:00","900","0","0","0","0","0","0","2","3","8","20","15","12","3","4","0","67","0"
"LANE_02","74","3.1","65.8","70.7","0","41","13","4","13","3","--","--","12.2","11.8","07/16/25 11:30:00","900","0","0","0","0","0","0","0","3","4","25","26","15","1","0","0","74","0"

