"07/17/25 17:23:46","US_6_Thur_July_17_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/17/2025   10:00:00 AM","7/17/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","64","2.9","63.6","78.3","0","24","27","13","--","--","--","--","14.1","13.7","07/17/25 10:00:00","900","0","0","2","1","5","4","0","2","6","6","11","12","14","1","0","64","0"
"LANE_02","61","3.0","69.5","77.7","0","22","20","19","--","--","--","--","14.8","14.3","07/17/25 10:00:00","900","0","0","0","1","0","0","0","2","5","9","12","18","13","0","1","61","0"

"LANE_01","54","2.4","66.4","74.0","0","31","10","13","--","--","--","--","16.7","16.3","07/17/25 10:15:00","900","0","0","0","1","0","0","1","1","6","13","15","11","6","0","0","54","0"
"LANE_02","61","2.3","74.7","82.0","0","36","7","18","--","--","--","--","14.8","14.4","07/17/25 10:15:00","900","0","0","0","0","0","0","0","0","1","1","11","22","22","4","0","61","0"

"LANE_01","50","1.8","71.1","78.8","0","26","12","12","--","--","--","--","18.0","17.7","07/17/25 10:30:00","900","0","0","0","0","0","0","0","0","8","6","7","10","15","3","1","50","0"
"LANE_02","52","1.9","74.9","81.7","0","26","16","10","--","--","--","--","17.3","17.0","07/17/25 10:30:00","900","0","0","0","0","0","0","0","0","0","2","7","21","19","3","0","52","0"

"LANE_01","65","2.9","69.1","77.5","0","28","17","20","--","--","--","--","13.8","13.4","07/17/25 10:45:00","900","0","0","0","0","0","1","0","4","7","7","12","15","18","1","0","65","0"
"LANE_02","63","2.6","71.4","78.0","0","32","13","18","--","--","--","--","14.3","13.9","07/17/25 10:45:00","900","0","0","0","0","0","0","0","0","2","10","17","15","17","0","2","63","0"

"LANE_01","54","2.3","70.1","80.0","0","29","12","13","--","--","--","--","16.7","16.3","07/17/25 11:00:00","900","0","1","0","0","0","0","1","2","4","6","11","11","13","4","1","54","0"
"LANE_02","48","1.7","72.3","80.7","0","27","13","8","--","--","--","--","18.8","18.4","07/17/25 11:00:00","900","0","0","0","0","0","0","0","0","3","6","6","19","12","1","1","48","0"

"LANE_01","54","2.3","70.5","78.5","0","28","12","14","--","--","--","--","16.7","16.3","07/17/25 11:15:00","900","0","0","0","0","0","0","1","0","4","10","11","15","11","1","1","54","0"
"LANE_02","88","3.7","71.4","79.0","0","34","28","26","--","--","--","--","10.2","9.8","07/17/25 11:15:00","900","0","0","0","0","0","0","0","0","7","6","25","28","17","5","0","88","0"

"LANE_01","59","2.8","69.1","75.3","0","25","16","18","--","--","--","--","15.3","14.8","07/17/25 11:30:00","900","0","0","0","0","0","0","0","1","4","7","22","14","10","1","0","59","0"
"LANE_02","74","2.7","71.3","78.5","0","42","16","16","--","--","--","--","12.2","11.8","07/17/25 11:30:00","900","0","0","0","0","0","0","0","0","2","10","23","18","20","1","0","74","0"

"LANE_01","65","2.6","71.2","78.5","0","36","14","15","--","--","--","--","13.8","13.5","07/17/25 11:45:00","900","0","0","0","0","0","1","0","0","3","8","16","19","15","2","1","65","0"
"LANE_02","74","2.6","72.6","81.0","0","41","18","15","--","--","--","--","12.2","11.8","07/17/25 11:45:00","900","0","0","0","0","0","0","0","1","4","8","11","23","25","1","1","74","0"

"LANE_01","53","2.1","66.8","74.6","0","26","16","11","--","--","--","--","17.0","16.6","07/17/25 12:00:00","900","0","0","0","0","0","0","0","4","9","6","14","15","5","0","0","53","0"
"LANE_02","77","2.8","71.4","78.0","0","50","11","16","--","--","--","--","11.7","11.4","07/17/25 12:00:00","900","0","0","0","0","0","0","0","1","1","7","28","22","17","1","0","77","0"

"LANE_01","55","2.0","74.1","81.0","0","26","20","9","--","--","--","--","16.4","16.0","07/17/25 12:15:00","900","0","0","0","0","0","0","0","0","0","2","17","10","24","1","1","55","0"
"LANE_02","59","2.4","71.9","79.0","0","26","15","18","--","--","--","--","15.3","14.9","07/17/25 12:15:00","900","0","0","0","0","0","0","0","0","0","7","17","19","14","2","0","59","0"

"LANE_01","75","2.8","70.3","79.3","0","45","17","13","--","--","--","--","12.0","11.7","07/17/25 12:30:00","900","0","0","0","0","0","0","1","0","2","15","18","20","18","1","0","75","0"
"LANE_02","84","2.8","70.7","77.0","0","54","19","11","--","--","--","--","10.7","10.4","07/17/25 12:30:00","900","0","0","0","0","0","0","0","0","6","10","27","22","15","3","1","84","0"

"LANE_01","71","3.1","67.8","77.0","0","31","18","22","--","--","--","--","12.7","12.3","07/17/25 12:45:00","900","0","0","0","0","0","1","2","1","8","11","21","11","15","1","0","71","0"
"LANE_02","71","2.6","72.4","79.0","0","41","17","13","--","--","--","--","12.7","12.3","07/17/25 12:45:00","900","0","0","0","0","0","0","0","0","0","7","17","28","16","3","0","71","0"

"LANE_01","76","3.5","67.8","75.7","0","33","20","23","--","--","--","--","11.8","11.4","07/17/25 13:00:00","900","0","0","0","0","1","0","1","1","12","11","20","17","12","1","0","76","0"
"LANE_02","102","3.7","71.8","77.6","0","51","23","28","--","--","--","--","8.8","8.5","07/17/25 13:00:00","900","0","0","0","0","0","0","1","1","1","9","26","36","25","2","1","102","0"

"LANE_01","72","3.3","64.3","77.0","0","38","18","16","--","--","--","--","12.5","12.1","07/17/25 13:15:00","900","0","4","5","1","0","0","1","0","1","12","15","17","15","1","0","72","0"
"LANE_02","81","3.5","68.6","76.0","0","44","10","27","--","--","--","--","11.1","10.7","07/17/25 13:15:00","900","0","0","0","0","0","0","0","0","6","21","24","17","13","0","0","81","0"

"LANE_01","71","3.4","64.0","73.8","2","34","14","21","--","--","--","--","12.7","12.2","07/17/25 13:30:00","900","1","0","1","4","1","1","3","1","1","13","16","22","6","1","0","71","0"
"LANE_02","69","3.1","68.2","74.0","0","38","9","22","--","--","--","--","13.0","12.6","07/17/25 13:30:00","900","0","0","0","0","0","0","1","1","6","10","24","19","8","0","0","69","0"

"LANE_01","65","3.1","65.4","74.5","1","28","13","23","--","--","--","--","13.8","13.4","07/17/25 13:45:00","900","0","0","1","0","0","1","2","2","7","19","12","12","9","0","0","65","0"
"LANE_02","55","2.2","69.0","76.8","0","31","6","18","--","--","--","--","16.4","16.0","07/17/25 13:45:00","900","0","0","0","0","0","0","0","1","5","14","10","14","10","0","1","55","0"

"LANE_01","83","3.7","69.4","77.0","0","40","20","23","--","--","--","--","10.8","10.4","07/17/25 14:00:00","900","0","0","0","0","0","1","1","6","1","11","21","23","17","2","0","83","0"
"LANE_02","70","2.8","72.0","78.0","0","36","16","18","--","--","--","--","12.9","12.5","07/17/25 14:00:00","900","0","0","0","0","0","0","0","0","4","5","18","20","22","1","0","70","0"

"LANE_01","84","3.0","71.3","80.0","0","46","22","16","--","--","--","--","10.7","10.4","07/17/25 14:15:00","900","0","0","0","0","0","0","0","1","7","10","22","17","22","3","2","84","0"
"LANE_02","74","3.1","70.3","76.3","0","38","15","21","--","--","--","--","12.2","11.8","07/17/25 14:15:00","900","0","0","0","0","0","0","0","0","3","14","21","19","16","0","1","74","0"

"LANE_01","54","2.2","69.6","77.7","0","27","15","12","--","--","--","--","16.7","16.3","07/17/25 14:30:00","900","0","0","0","0","0","0","1","0","6","7","10","16","14","0","0","54","0"
"LANE_02","93","3.1","71.3","79.5","0","51","28","14","--","--","--","--","9.7","9.4","07/17/25 14:30:00","900","0","0","0","0","0","0","2","1","1","7","25","31","24","1","1","93","0"

"LANE_01","65","2.8","69.1","76.7","1","33","14","17","--","--","--","--","13.8","13.5","07/17/25 14:45:00","900","0","0","0","0","0","2","0","3","3","12","15","16","11","3","0","65","0"
"LANE_02","64","2.5","69.7","75.7","0","34","14","16","--","--","--","--","14.1","13.7","07/17/25 14:45:00","900","0","0","0","0","0","0","0","0","3","12","17","20","12","0","0","64","0"

"LANE_01","66","3.9","62.4","79.0","0","35","11","20","--","--","--","--","13.6","13.1","07/17/25 15:00:00","900","0","3","3","5","3","0","1","3","1","5","10","13","17","2","0","66","0"
