"07/18/25 16:54:40","US_6_Fri_July_18_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/18/2025   10:00:00 AM","7/18/2025   4:45:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","68","3.2","67.8","77.0","0","29","16","23","--","--","--","--","13.2","12.8","07/18/25 10:00:00","900","0","0","0","1","0","0","2","0","7","12","20","14","12","0","0","68","0"
"LANE_02","53","1.9","76.1","84.0","0","27","15","11","--","--","--","--","17.0","16.7","07/18/25 10:00:00","900","0","0","0","0","0","0","0","0","1","1","8","14","22","6","1","53","0"

"LANE_01","65","2.7","70.9","78.5","0","30","18","17","--","--","--","--","13.8","13.5","07/18/25 10:15:00","900","0","0","0","0","0","0","0","1","4","7","17","18","16","2","0","65","0"
"LANE_02","55","2.1","73.0","79.3","0","26","14","15","--","--","--","--","16.4","16.0","07/18/25 10:15:00","900","0","0","0","0","0","0","0","0","0","4","18","11","21","1","0","55","0"

"LANE_01","55","1.9","72.2","78.0","0","32","16","7","--","--","--","--","16.4","16.1","07/18/25 10:30:00","900","0","0","0","0","0","0","0","0","0","6","13","15","20","1","0","55","0"
"LANE_02","66","2.9","69.6","79.0","0","33","8","25","--","--","--","--","13.6","13.2","07/18/25 10:30:00","900","0","0","0","0","0","0","0","1","8","13","14","14","11","5","0","66","0"

"LANE_01","45","2.4","68.8","76.5","0","19","7","19","--","--","--","--","20.0","19.5","07/18/25 10:45:00","900","0","0","0","0","0","0","0","2","1","13","10","10","8","1","0","45","0"
"LANE_02","72","2.5","72.8","79.5","0","40","19","13","--","--","--","--","12.5","12.2","07/18/25 10:45:00","900","0","0","0","0","0","0","0","0","1","8","13","24","25","1","0","72","0"

"LANE_01","68","2.8","69.9","77.8","2","34","14","18","--","--","--","--","13.2","12.9","07/18/25 11:00:00","900","0","0","2","0","0","0","0","1","6","8","14","13","23","1","0","68","0"
"LANE_02","81","2.6","73.4","80.8","0","47","21","13","--","--","--","--","11.1","10.8","07/18/25 11:00:00","900","0","0","0","0","0","0","0","0","1","7","19","27","23","3","1","81","0"

"LANE_01","55","2.1","72.5","78.7","0","26","15","14","--","--","--","--","16.4","16.0","07/18/25 11:15:00","900","0","0","0","0","0","0","0","0","1","5","10","23","15","0","1","55","0"
"LANE_02","64","2.5","72.0","76.5","0","35","13","16","--","--","--","--","14.1","13.7","07/18/25 11:15:00","900","0","0","0","0","0","0","0","0","1","7","12","27","16","1","0","64","0"

"LANE_01","71","2.8","68.2","76.5","0","39","17","15","--","--","--","--","12.7","12.3","07/18/25 11:30:00","900","0","0","0","0","0","1","3","2","4","14","14","17","16","0","0","71","0"
