"07/18/25 16:58:46","US_6_Fri_July_18_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","7/18/2025   10:00:00 AM","7/18/2025   4:45:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","70","3.0","70.6","77.5","0","36","16","2","7","9","--","--","12.9","12.5","07/18/25 10:15:00","900","0","0","0","0","0","0","0","1","4","8","16","21","19","1","0","70","0"
"LANE_02","56","2.1","69.2","74.5","0","29","15","5","6","1","--","--","16.1","15.7","07/18/25 10:15:00","900","0","0","0","0","0","0","0","0","1","13","18","17","5","2","0","56","0"

"LANE_01","54","2.0","68.3","75.5","0","32","12","2","3","5","--","--","16.7","16.3","07/18/25 10:30:00","900","0","0","0","0","0","0","0","3","3","9","17","13","8","1","0","54","0"
"LANE_02","61","2.9","63.9","72.5","0","31","5","11","13","1","--","--","14.8","14.3","07/18/25 10:30:00","900","1","0","0","0","0","0","0","7","6","17","17","8","4","1","0","61","0"

"LANE_01","49","2.4","67.9","74.7","0","24","6","3","9","7","--","--","18.4","17.9","07/18/25 10:45:00","900","0","0","0","0","0","0","0","1","5","9","17","11","3","2","1","49","0"
"LANE_02","70","2.6","69.0","74.8","0","40","15","7","5","3","--","--","12.9","12.5","07/18/25 10:45:00","900","0","0","0","0","0","0","0","0","2","20","16","23","6","3","0","70","0"

"LANE_01","68","2.8","68.7","77.5","0","37","12","4","11","4","--","--","13.2","12.9","07/18/25 11:00:00","900","0","0","0","0","0","0","0","1","7","15","11","18","12","4","0","68","0"
"LANE_02","83","2.7","68.7","74.0","0","58","11","10","3","1","--","--","10.8","10.6","07/18/25 11:00:00","900","0","0","0","0","0","0","0","0","4","20","21","29","8","1","0","83","0"

"LANE_01","48","1.8","70.5","77.0","0","28","7","5","5","3","--","--","18.8","18.4","07/18/25 11:15:00","900","0","0","0","0","0","0","0","0","2","6","16","14","6","4","0","48","0"
"LANE_02","70","2.7","67.8","72.7","0","46","8","4","8","4","--","--","12.9","12.5","07/18/25 11:15:00","900","0","0","0","0","0","0","0","3","1","11","34","15","6","0","0","70","0"

"LANE_01","72","2.8","66.7","75.3","0","39","17","8","4","4","--","--","12.5","12.1","07/18/25 11:30:00","900","0","0","0","0","0","0","2","4","6","14","24","10","9","3","0","72","0"
"LANE_02","69","3.0","68.9","74.8","0","38","11","4","11","5","--","--","13.0","12.7","07/18/25 11:30:00","900","0","0","0","0","0","0","0","0","0","19","23","18","8","1","0","69","0"

"LANE_01","61","2.3","70.3","75.5","0","35","13","3","6","4","--","--","14.8","14.4","07/18/25 11:45:00","900","0","0","0","0","0","0","0","0","2","9","16","23","9","1","1","61","0"
"LANE_02","81","3.2","67.5","73.8","0","46","13","9","11","2","--","--","11.1","10.8","07/18/25 11:45:00","900","0","0","0","0","0","0","0","0","7","22","24","22","5","1","0","81","0"

"LANE_01","73","2.5","70.8","77.7","0","43","14","8","6","2","--","--","12.3","12.0","07/18/25 12:00:00","900","0","0","0","0","0","0","0","0","4","11","17","23","11","6","1","73","0"
"LANE_02","67","3.1","66.1","74.0","0","38","8","4","11","6","--","--","13.4","13.0","07/18/25 12:00:00","900","0","0","0","0","0","4","3","1","2","11","22","17","6","1","0","67","0"

"LANE_01","80","3.6","65.9","74.7","0","38","19","6","12","5","--","--","11.3","10.8","07/18/25 12:15:00","900","0","0","0","0","0","0","3","2","15","12","26","11","7","4","0","80","0"
"LANE_02","83","3.3","67.9","73.8","0","52","12","5","10","4","--","--","10.8","10.5","07/18/25 12:15:00","900","0","0","0","0","0","0","0","0","6","20","29","20","8","0","0","83","0"

"LANE_01","82","3.2","67.0","75.3","0","47","20","5","4","6","--","--","11.0","10.6","07/18/25 12:30:00","900","0","0","0","0","0","0","3","5","7","17","17","19","13","1","0","82","0"
"LANE_02","71","2.8","69.0","74.0","0","40","10","6","13","2","--","--","12.7","12.3","07/18/25 12:30:00","900","0","0","0","0","0","0","0","0","0","14","31","18","7","1","0","71","0"

"LANE_01","59","2.6","65.9","75.0","0","34","7","5","8","5","--","--","15.3","14.9","07/18/25 12:45:00","900","0","0","0","0","2","4","0","3","4","6","14","17","9","0","0","59","0"
"LANE_02","73","2.8","68.5","75.5","0","40","16","5","10","2","--","--","12.3","12.0","07/18/25 12:45:00","900","0","0","0","0","0","0","0","2","5","17","19","18","11","1","0","73","0"

"LANE_01","72","2.7","69.2","76.0","0","45","11","5","8","3","--","--","12.5","12.2","07/18/25 13:00:00","900","0","0","0","0","0","0","0","0","7","11","20","16","16","2","0","72","0"
"LANE_02","82","3.3","67.6","73.5","0","47","10","11","11","3","--","--","11.0","10.6","07/18/25 13:00:00","900","0","0","0","0","0","0","0","1","8","18","25","24","6","0","0","82","0"

"LANE_01","74","2.6","71.2","77.6","0","45","16","2","8","3","--","--","12.2","11.8","07/18/25 13:15:00","900","0","0","0","0","0","0","0","0","0","10","21","25","13","4","1","74","0"
"LANE_02","78","3.2","64.8","71.8","0","43","14","8","12","1","--","--","11.5","11.2","07/18/25 13:15:00","900","0","0","0","0","0","0","2","7","6","17","30","12","4","0","0","78","0"

"LANE_01","71","3.1","67.6","76.0","0","31","20","5","8","7","--","--","12.7","12.3","07/18/25 13:30:00","900","0","0","0","0","0","0","0","5","8","18","9","18","9","4","0","71","0"
"LANE_02","80","3.3","67.0","72.2","0","44","15","5","15","1","--","--","11.3","10.9","07/18/25 13:30:00","900","0","0","0","0","0","0","0","0","5","24","29","18","3","0","1","80","0"

"LANE_01","79","3.0","67.6","75.8","0","39","20","12","6","2","--","--","11.4","11.1","07/18/25 13:45:00","900","0","0","0","0","0","0","0","5","7","11","28","13","14","1","0","79","0"
"LANE_02","70","2.5","69.4","75.0","0","44","13","4","7","2","--","--","12.9","12.5","07/18/25 13:45:00","900","0","0","0","0","0","0","0","0","0","13","29","18","9","1","0","70","0"

"LANE_01","112","4.5","65.7","73.3","0","63","25","7","12","5","--","--","8.0","7.7","07/18/25 14:00:00","900","0","0","0","0","0","0","2","7","15","25","34","18","10","1","0","112","0"
"LANE_02","89","2.9","68.5","75.0","0","62","17","3","5","2","--","--","10.1","9.8","07/18/25 14:00:00","900","0","0","0","0","0","0","0","1","3","19","31","22","11","2","0","89","0"

"LANE_01","68","2.5","71.9","80.6","0","35","15","10","1","7","--","--","13.2","12.9","07/18/25 14:15:00","900","0","0","0","0","0","1","0","0","3","10","14","15","12","9","4","68","0"
"LANE_02","82","3.2","67.8","72.5","0","49","15","3","11","4","--","--","11.0","10.6","07/18/25 14:15:00","900","0","0","0","0","0","0","0","0","3","24","31","18","4","1","1","82","0"

"LANE_01","75","2.4","72.2","79.7","1","42","23","2","5","2","--","--","12.0","11.7","07/18/25 14:30:00","900","0","0","0","0","0","0","0","0","1","9","19","20","16","9","1","75","0"
"LANE_02","93","3.7","65.8","73.0","0","56","18","7","10","2","--","--","9.7","9.3","07/18/25 14:30:00","900","0","0","0","0","0","0","1","1","14","28","26","15","8","0","0","93","0"

"LANE_01","90","3.5","67.8","73.0","0","47","21","10","7","5","--","--","10.0","9.6","07/18/25 14:45:00","900","0","0","0","0","0","0","0","0","8","18","36","20","5","2","1","90","0"
"LANE_02","72","2.7","68.4","75.3","0","46","13","2","7","4","--","--","12.5","12.2","07/18/25 14:45:00","900","0","0","0","0","0","0","0","1","5","16","21","17","9","3","0","72","0"

"LANE_01","78","2.7","69.8","76.4","0","42","19","12","1","4","--","--","11.5","11.2","07/18/25 15:00:00","900","0","0","0","0","0","2","0","0","2","12","20","22","17","3","0","78","0"
"LANE_02","72","2.7","66.8","72.3","0","43","14","5","8","2","--","--","12.5","12.2","07/18/25 15:00:00","900","0","0","0","0","0","0","0","5","3","16","20","25","3","0","0","72","0"

"LANE_01","94","3.4","68.9","76.3","0","57","20","5","6","6","--","--","9.6","9.3","07/18/25 15:15:00","900","0","0","0","0","0","0","0","2","8","15","23","26","17","2","1","94","0"
"LANE_02","86","3.5","67.2","73.6","0","49","12","10","12","3","--","--","10.5","10.1","07/18/25 15:15:00","900","0","0","0","0","0","0","1","6","3","18","28","22","5","3","0","86","0"

"LANE_01","72","2.8","68.3","75.7","0","41","16","3","7","5","--","--","12.5","12.1","07/18/25 15:30:00","900","0","0","0","0","0","0","3","4","7","7","15","23","10","3","0","72","0"
"LANE_02","75","2.7","70.1","75.0","0","49","12","3","7","4","--","--","12.0","11.7","07/18/25 15:30:00","900","0","0","0","0","0","0","0","0","0","9","31","24","10","1","0","75","0"

"LANE_01","83","2.6","68.9","77.5","0","50","24","6","1","2","--","--","10.8","10.6","07/18/25 15:45:00","900","0","0","0","0","0","0","1","0","9","20","10","24","16","2","1","83","0"
"LANE_02","64","2.4","69.0","73.3","0","37","14","3","6","4","--","--","14.1","13.7","07/18/25 15:45:00","900","0","0","0","0","0","0","0","1","2","11","20","23","6","1","0","64","0"

"LANE_01","72","2.9","68.9","76.3","0","37","17","2","12","4","--","--","12.5","12.1","07/18/25 16:00:00","900","0","0","0","0","0","0","0","1","9","11","20","16","12","2","1","72","0"
"LANE_02","72","3.1","69.8","74.7","0","41","9","6","9","7","--","--","12.5","12.1","07/18/25 16:00:00","900","0","0","0","0","0","0","0","0","1","9","32","20","8","2","0","72","0"

"LANE_01","54","2.2","67.9","74.0","0","31","9","3","7","4","--","--","16.7","16.3","07/18/25 16:15:00","900","0","0","0","0","0","0","1","1","3","10","16","19","4","0","0","54","0"
"LANE_02","74","2.5","69.7","75.0","0","49","14","1","9","1","--","--","12.2","11.9","07/18/25 16:15:00","900","0","0","0","0","0","0","0","1","4","12","22","24","6","5","0","74","0"

