"07/29/25 17:45:32","I-70_Tue_July_29_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/29/2025   11:30:00 AM","7/29/2025   5:30:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","45","2.4","70.4","79.5","0","16","10","19","--","--","--","--","20.0","19.5","07/29/25 11:30:00","900","0","0","0","0","0","0","1","2","6","7","4","9","12","2","2","45","0"
"LANE_02","16","0.7","80.6","89.0","0","7","3","6","--","--","--","--","56.3","55.8","07/29/25 11:30:00","900","0","0","0","0","0","0","0","0","0","2","2","2","4","4","2","16","0"

"LANE_01","23","1.6","65.1","76.0","0","7","2","14","--","--","--","--","39.1","38.5","07/29/25 11:45:00","900","0","0","1","0","0","0","4","0","0","4","6","4","4","0","0","23","0"
"LANE_02","15","0.6","76.6","82.0","0","4","8","3","--","--","--","--","60.0","59.6","07/29/25 11:45:00","900","0","0","0","0","0","0","0","0","0","1","2","4","6","0","2","15","0"

"LANE_01","39","2.2","69.0","79.5","1","17","5","16","--","--","--","--","23.1","22.6","07/29/25 12:00:00","900","1","0","0","0","0","0","0","1","5","4","10","4","13","1","0","39","0"
"LANE_02","14","0.4","75.2","83.0","1","10","2","1","--","--","--","--","64.3","64.0","07/29/25 12:00:00","900","0","0","0","0","0","0","0","0","0","1","5","0","7","1","0","14","0"

"LANE_01","33","1.6","73.2","83.7","0","14","5","14","--","--","--","--","27.3","26.8","07/29/25 12:15:00","900","0","0","0","0","0","1","0","1","1","4","5","7","11","2","1","33","0"
"LANE_02","14","0.3","82.4","90.0","0","10","4","0","--","--","--","--","64.3","64.1","07/29/25 12:15:00","900","0","0","0","0","0","0","0","0","0","0","1","2","6","3","2","14","0"

"LANE_01","57","3.1","72.9","85.0","0","26","10","21","--","--","--","--","15.8","15.3","07/29/25 12:30:00","900","0","0","0","0","0","1","0","1","5","7","6","10","18","7","2","57","0"
"LANE_02","13","0.3","80.7","88.0","0","10","3","0","--","--","--","--","69.2","69.0","07/29/25 12:30:00","900","0","0","0","0","0","0","0","0","0","0","1","2","6","2","2","13","0"

"LANE_01","45","2.5","70.7","80.0","1","21","3","20","--","--","--","--","20.0","19.5","07/29/25 12:45:00","900","0","0","2","0","0","0","0","0","6","8","7","6","13","2","1","45","0"
"LANE_02","12","0.4","79.7","85.0","0","6","4","2","--","--","--","--","75.0","74.7","07/29/25 12:45:00","900","0","0","0","0","0","0","0","0","0","0","2","0","8","2","0","12","0"

"LANE_01","30","1.8","68.9","81.0","0","11","4","15","--","--","--","--","30.0","29.5","07/29/25 13:00:00","900","0","0","0","0","0","0","2","0","4","6","5","4","6","1","2","30","0"
"LANE_02","18","0.5","78.6","82.0","0","11","5","2","--","--","--","--","50.0","49.8","07/29/25 13:00:00","900","0","0","0","0","0","0","0","0","0","0","1","4","10","2","1","18","0"

"LANE_01","37","2.1","70.8","81.0","0","19","3","15","--","--","--","--","24.3","23.8","07/29/25 13:15:00","900","0","0","0","0","0","0","0","1","5","7","6","5","11","1","1","37","0"
"LANE_02","14","0.3","75.6","83.0","0","10","4","0","--","--","--","--","64.3","64.1","07/29/25 13:15:00","900","0","0","0","0","0","0","0","0","0","2","1","1","10","0","0","14","0"

"LANE_01","53","2.5","70.7","82.5","2","22","13","16","--","--","--","--","17.0","16.5","07/29/25 13:30:00","900","0","1","1","0","0","0","1","4","2","5","7","12","16","1","3","53","0"
"LANE_02","8","0.2","79.4","91.0","0","5","3","0","--","--","--","--","112.5","112.3","07/29/25 13:30:00","900","0","0","0","0","0","0","0","0","0","1","0","2","3","0","2","8","0"

"LANE_01","39","2.2","70.5","81.0","0","18","2","19","--","--","--","--","23.1","22.6","07/29/25 13:45:00","900","0","0","0","0","0","0","1","0","3","8","8","6","12","1","0","39","0"
"LANE_02","13","0.3","81.7","88.0","0","11","2","0","--","--","--","--","69.2","69.0","07/29/25 13:45:00","900","0","0","0","0","0","0","0","0","0","1","2","2","4","2","2","13","0"

"LANE_01","42","2.5","71.1","81.0","0","15","6","21","--","--","--","--","21.4","20.9","07/29/25 14:00:00","900","0","0","0","0","0","0","1","3","1","5","14","5","10","2","1","42","0"
"LANE_02","13","0.3","80.6","84.0","0","12","1","0","--","--","--","--","69.2","69.0","07/29/25 14:00:00","900","0","0","0","0","0","0","0","0","0","0","1","2","8","0","2","13","0"

"LANE_01","36","1.2","75.9","84.0","0","22","10","4","--","--","--","--","25.0","24.7","07/29/25 14:15:00","900","0","0","0","0","0","0","0","0","2","3","4","7","18","1","1","36","0"
