"07/29/25 17:59:44","I-70_Tue_July_29_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","7/29/2025   11:30:00 AM","7/29/2025   5:30:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","18","1.4","60.4","70.5","0","5","2","1","6","4","--","--","50.0","49.3","07/29/25 11:45:00","900","0","0","0","0","0","1","3","3","1","3","3","3","1","0","0","18","0"
"LANE_02","23","1.0","66.2","76.0","0","13","4","3","0","3","--","--","39.1","38.8","07/29/25 11:45:00","900","0","0","0","0","0","0","1","2","1","5","5","5","4","0","0","23","0"

"LANE_01","38","2.4","63.2","74.0","0","18","3","2","10","5","--","--","23.7","23.1","07/29/25 12:00:00","900","1","0","0","0","0","0","1","4","6","9","7","5","3","2","0","38","0"
"LANE_02","13","0.4","69.5","76.0","0","8","4","0","1","0","--","--","69.2","69.0","07/29/25 12:00:00","900","0","0","0","0","0","0","0","1","0","3","2","3","3","0","1","13","0"

"LANE_01","35","1.8","66.8","77.0","0","19","3","5","3","5","--","--","25.7","25.3","07/29/25 12:15:00","900","0","0","0","0","0","0","1","1","6","9","6","3","8","1","0","35","0"
"LANE_02","16","0.4","75.3","85.0","0","10","6","0","0","0","--","--","56.3","56.0","07/29/25 12:15:00","900","0","0","0","0","0","0","0","0","1","1","3","2","4","3","2","16","0"

"LANE_01","49","3.2","67.1","80.0","0","20","8","3","9","9","--","--","18.4","17.8","07/29/25 12:30:00","900","0","0","0","1","0","2","0","2","6","10","7","9","5","4","3","49","0"
"LANE_02","17","0.6","76.9","84.5","0","10","4","0","2","1","--","--","52.9","52.6","07/29/25 12:30:00","900","0","0","0","0","1","0","0","0","0","2","1","3","4","4","2","17","0"

"LANE_01","49","2.7","64.3","75.0","0","26","4","4","9","6","--","--","18.4","17.9","07/29/25 12:45:00","900","0","0","0","0","1","0","0","5","10","10","10","6","5","1","1","49","0"
"LANE_02","12","0.3","72.5","81.0","0","8","4","0","0","0","--","--","75.0","74.8","07/29/25 12:45:00","900","0","0","0","0","0","0","0","1","1","1","2","1","3","3","0","12","0"

"LANE_01","34","2.1","66.3","76.0","0","12","6","3","6","7","--","--","26.5","25.9","07/29/25 13:00:00","900","0","0","0","0","0","1","2","1","6","8","3","6","3","3","1","34","0"
"LANE_02","21","0.6","73.5","78.0","0","16","1","4","0","0","--","--","42.9","42.6","07/29/25 13:00:00","900","0","0","0","0","0","0","0","0","0","2","3","7","8","1","0","21","0"

"LANE_01","34","1.9","66.9","77.3","0","18","3","1","8","4","--","--","26.5","26.0","07/29/25 13:15:00","900","0","0","0","0","0","1","1","4","0","6","9","6","4","3","0","34","0"
"LANE_02","13","0.3","76.0","81.0","0","8","5","0","0","0","--","--","69.2","69.0","07/29/25 13:15:00","900","0","0","0","0","0","0","0","0","0","2","0","3","5","2","1","13","0"

"LANE_01","49","2.5","66.4","75.7","0","24","10","1","11","3","--","--","18.4","17.9","07/29/25 13:30:00","900","0","0","0","0","0","0","1","4","10","8","7","10","5","3","1","49","0"
"LANE_02","10","0.3","66.9","77.0","0","7","3","0","0","0","--","--","90.0","89.8","07/29/25 13:30:00","900","0","0","0","0","0","1","0","0","0","3","3","1","1","1","0","10","0"

"LANE_01","43","2.7","65.7","77.5","0","18","5","5","11","4","--","--","20.9","20.4","07/29/25 13:45:00","900","0","0","0","0","1","0","4","4","4","4","9","7","7","1","2","43","0"
"LANE_02","18","0.6","71.7","82.0","0","11","5","1","0","1","--","--","50.0","49.7","07/29/25 13:45:00","900","0","0","0","0","0","1","0","1","0","2","4","2","3","4","1","18","0"

"LANE_01","44","2.6","63.3","71.0","0","21","3","3","10","7","--","--","20.5","19.9","07/29/25 14:00:00","900","0","0","0","1","2","0","1","3","11","8","11","4","2","0","1","44","0"
"LANE_02","14","0.4","72.9","80.0","0","11","1","1","0","1","--","--","64.3","64.0","07/29/25 14:00:00","900","0","0","0","0","0","0","0","1","1","1","2","2","4","2","1","14","0"

"LANE_01","36","1.6","67.7","77.0","0","16","13","1","2","4","--","--","25.0","24.6","07/29/25 14:15:00","900","0","0","0","0","0","0","2","2","3","6","8","7","4","3","1","36","0"
"LANE_02","8","0.2","71.7","87.0","0","6","1","1","0","0","--","--","112.5","112.2","07/29/25 14:15:00","900","0","0","0","0","0","0","0","0","2","0","3","1","0","0","2","8","0"

"LANE_01","41","1.8","68.3","77.7","0","22","10","1","5","3","--","--","22.0","21.6","07/29/25 14:30:00","900","0","0","0","0","0","0","1","3","4","6","9","5","11","2","0","41","0"
"LANE_02","9","0.3","79.1","84.0","0","8","0","0","0","1","--","--","100.0","99.7","07/29/25 14:30:00","900","0","0","0","0","0","0","0","0","0","0","0","2","2","4","1","9","0"

"LANE_01","35","1.7","68.7","78.0","0","17","8","2","2","6","--","--","25.7","25.3","07/29/25 14:45:00","900","0","0","0","0","0","0","0","1","7","4","8","6","7","0","2","35","0"
"LANE_02","19","0.6","71.7","78.0","0","14","4","0","0","1","--","--","47.4","47.1","07/29/25 14:45:00","900","0","0","0","0","0","0","1","0","0","3","2","6","5","1","1","19","0"

"LANE_01","50","2.7","66.4","79.0","0","29","6","4","3","8","--","--","18.0","17.5","07/29/25 15:00:00","900","0","0","0","0","2","0","5","2","4","9","4","11","7","5","1","50","0"
"LANE_02","9","0.2","66.9","76.0","0","7","2","0","0","0","--","--","100.0","99.8","07/29/25 15:00:00","900","0","0","0","0","0","0","1","0","1","1","2","2","2","0","0","9","0"

"LANE_01","37","2.0","69.1","77.0","0","16","7","2","2","10","--","--","24.3","23.8","07/29/25 15:15:00","900","0","0","0","0","0","0","1","0","6","4","6","7","11","2","0","37","0"
"LANE_02","13","0.3","73.7","83.0","0","7","6","0","0","0","--","--","69.2","69.0","07/29/25 15:15:00","900","0","0","0","0","0","0","0","0","1","0","4","2","2","3","1","13","0"

"LANE_01","41","1.8","68.4","77.3","0","25","7","1","5","3","--","--","22.0","21.6","07/29/25 15:30:00","900","0","0","0","0","0","1","1","1","4","8","5","10","8","2","1","41","0"
"LANE_02","14","0.4","74.5","83.0","0","11","2","0","1","0","--","--","64.3","64.0","07/29/25 15:30:00","900","0","0","0","0","1","0","2","0","0","0","0","3","1","5","2","14","0"

"LANE_01","46","2.2","69.6","77.7","0","24","9","1","7","5","--","--","19.6","19.1","07/29/25 15:45:00","900","0","0","0","0","0","0","2","1","4","6","8","10","11","4","0","46","0"
"LANE_02","15","0.5","72.1","82.5","0","10","3","0","1","1","--","--","60.0","59.7","07/29/25 15:45:00","900","0","0","0","0","0","0","0","0","2","1","3","3","2","3","1","15","0"

"LANE_01","37","1.7","67.2","77.0","0","20","9","2","2","4","--","--","24.3","23.9","07/29/25 16:00:00","900","0","0","0","0","0","0","0","4","4","8","5","9","2","4","1","37","0"
"LANE_02","13","0.3","73.2","77.0","0","12","1","0","0","0","--","--","69.2","69.0","07/29/25 16:00:00","900","0","0","0","0","0","0","0","0","0","1","3","3","6","0","0","13","0"

"LANE_01","31","1.8","64.6","75.0","0","13","7","0","5","6","--","--","29.0","28.5","07/29/25 16:15:00","900","0","0","0","0","0","2","4","2","2","6","3","7","1","4","0","31","0"
"LANE_02","13","0.5","66.4","79.0","0","8","2","2","0","1","--","--","69.2","68.9","07/29/25 16:15:00","900","0","0","0","0","0","0","2","1","1","2","2","0","4","1","0","13","0"

"LANE_01","36","1.5","67.5","79.5","0","17","9","4","3","3","--","--","25.0","24.6","07/29/25 16:30:00","900","0","0","0","0","0","1","2","1","3","8","6","5","6","4","0","36","0"
"LANE_02","12","0.5","72.6","81.0","0","7","2","0","1","2","--","--","75.0","74.6","07/29/25 16:30:00","900","0","0","0","0","0","0","0","0","1","1","2","4","1","3","0","12","0"

"LANE_01","26","1.2","70.1","81.0","0","11","8","2","3","2","--","--","34.6","34.2","07/29/25 16:45:00","900","0","0","0","0","0","0","1","1","1","3","10","4","1","2","3","26","0"
"LANE_02","12","0.4","81.1","84.0","0","7","1","1","2","1","--","--","75.0","74.7","07/29/25 16:45:00","900","0","0","0","0","0","0","0","0","0","0","1","5","1","3","2","12","0"

"LANE_01","39","1.8","68.8","78.0","0","20","9","2","4","4","--","--","23.1","22.7","07/29/25 17:00:00","900","0","0","0","0","0","1","1","1","3","7","6","9","7","4","0","39","0"
"LANE_02","12","0.4","79.6","83.0","0","8","2","0","0","2","--","--","75.0","74.7","07/29/25 17:00:00","900","0","0","0","0","0","0","0","0","0","1","0","1","4","4","2","12","0"

"LANE_01","38","2.3","67.7","78.5","0","14","5","4","7","8","--","--","23.7","23.1","07/29/25 17:15:00","900","0","0","0","0","0","1","0","4","4","4","10","3","7","5","0","38","0"
"LANE_02","17","0.5","72.9","83.0","0","9","4","3","1","0","--","--","52.9","52.7","07/29/25 17:15:00","900","0","0","0","0","0","0","0","0","1","4","1","5","1","3","2","17","0"

"LANE_01","36","1.9","66.9","79.7","0","14","11","3","5","3","--","--","25.0","24.5","07/29/25 17:30:00","900","0","0","0","0","1","1","0","5","3","5","8","1","8","3","1","36","0"
"LANE_02","11","0.5","74.1","81.0","0","7","1","1","1","1","--","--","81.8","81.4","07/29/25 17:30:00","900","0","0","0","0","0","0","0","0","1","0","3","2","1","4","0","11","0"

Total Bins:  24
