"07/30/25 17:17:40","I-70_Wed_July_30_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","7/30/2025   10:00:00 AM","7/30/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","30","1.8","64.4","74.3","0","9","7","1","10","3","--","--","30.0","29.5","07/30/25 10:15:00","900","0","0","0","0","0","0","2","4","3","10","4","5","1","0","1","30","0"
"LANE_02","13","0.8","63.5","77.0","0","4","5","1","1","2","--","--","69.2","68.7","07/30/25 10:15:00","900","0","0","2","0","0","0","0","1","1","1","1","3","2","0","2","13","0"

"LANE_01","22","1.4","65.0","78.0","0","10","2","1","5","4","--","--","40.9","40.4","07/30/25 10:30:00","900","0","0","0","0","0","1","1","4","1","3","6","1","3","2","0","22","0"
"LANE_02","5","0.1","69.8","77.0","0","3","2","0","0","0","--","--","180.0","179.8","07/30/25 10:30:00","900","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","5","0"

"LANE_01","37","1.7","69.1","76.0","0","19","8","1","6","3","--","--","24.3","23.9","07/30/25 10:45:00","900","0","0","0","0","0","0","0","3","1","8","6","10","7","2","0","37","0"
"LANE_02","12","0.3","80.4","85.0","0","8","3","1","0","0","--","--","75.0","74.8","07/30/25 10:45:00","900","0","0","0","0","0","0","0","0","0","0","1","2","2","5","2","12","0"

"LANE_01","36","2.0","67.2","76.0","0","10","9","5","9","3","--","--","25.0","24.5","07/30/25 11:00:00","900","0","0","0","0","0","1","1","2","1","11","8","6","3","2","1","36","0"
"LANE_02","11","0.3","75.5","81.0","0","7","4","0","0","0","--","--","81.8","81.6","07/30/25 11:00:00","900","0","0","0","0","0","0","0","1","0","1","0","1","5","2","1","11","0"

"LANE_01","47","2.6","67.7","76.5","0","19","10","2","7","9","--","--","19.1","18.6","07/30/25 11:15:00","900","0","0","0","0","1","0","1","1","3","13","9","6","11","2","0","47","0"
"LANE_02","15","0.5","79.6","83.0","0","7","5","2","0","1","--","--","60.0","59.7","07/30/25 11:15:00","900","0","0","0","0","0","0","0","0","0","1","2","3","4","3","2","15","0"

"LANE_01","41","2.4","66.8","77.0","0","12","12","2","10","5","--","--","22.0","21.4","07/30/25 11:30:00","900","0","0","0","0","1","1","0","3","7","4","6","7","10","2","0","41","0"
"LANE_02","12","0.3","76.9","83.0","0","8","3","1","0","0","--","--","75.0","74.8","07/30/25 11:30:00","900","0","0","0","0","0","0","0","0","1","0","1","3","1","4","2","12","0"

"LANE_01","38","2.3","63.7","74.0","0","18","5","1","9","5","--","--","23.7","23.1","07/30/25 11:45:00","900","0","0","0","0","0","1","3","4","5","7","6","7","4","1","0","38","0"
"LANE_02","8","0.6","75.9","83.0","0","3","3","0","0","2","--","--","112.5","111.8","07/30/25 11:45:00","900","0","0","0","0","0","0","0","0","0","0","0","5","1","2","0","8","0"

"LANE_01","36","2.1","66.8","82.0","0","14","6","2","11","3","--","--","25.0","24.5","07/30/25 12:00:00","900","0","0","0","0","0","0","2","6","2","8","4","4","3","6","1","36","0"
"LANE_02","15","0.4","75.6","79.0","0","10","4","1","0","0","--","--","60.0","59.8","07/30/25 12:00:00","900","0","0","0","0","0","0","0","0","0","2","2","4","5","1","1","15","0"

"LANE_01","36","2.1","67.3","80.0","0","14","7","2","8","5","--","--","25.0","24.5","07/30/25 12:15:00","900","0","0","0","0","2","1","1","3","0","6","5","7","6","3","2","36","0"
"LANE_02","14","0.3","77.8","81.7","0","10","4","0","0","0","--","--","64.3","64.1","07/30/25 12:15:00","900","0","0","0","0","0","0","0","0","0","0","1","2","6","5","0","14","0"

"LANE_01","51","2.6","68.0","79.5","0","23","10","4","9","5","--","--","17.6","17.2","07/30/25 12:30:00","900","0","0","0","0","0","0","2","4","9","7","5","8","9","5","2","51","0"
