"08/01/25 17:05:17","I-70_Fri_Aug_1_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","8/1/2025   11:00:00 AM","8/1/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","46","2.3","72.7","85.0","0","17","10","19","--","--","--","--","19.6","19.1","08/01/25 11:00:00","900","0","0","0","0","0","0","0","2","4","6","11","4","12","4","3","46","0"
"LANE_02","12","0.4","80.5","84.0","0","8","3","1","--","--","--","--","75.0","74.7","08/01/25 11:00:00","900","0","0","0","0","0","0","0","0","0","1","0","0","9","1","1","12","0"

"LANE_01","29","1.6","71.5","84.0","0","8","6","15","--","--","--","--","31.0","30.6","08/01/25 11:15:00","900","0","0","0","0","0","0","0","2","4","3","4","8","5","1","2","29","0"
"LANE_02","13","0.5","79.3","86.0","0","6","5","2","--","--","--","--","69.2","68.9","08/01/25 11:15:00","900","0","0","0","0","0","0","0","0","0","1","2","3","4","2","1","13","0"

"LANE_01","33","1.8","73.5","84.5","0","10","7","16","--","--","--","--","27.3","26.8","08/01/25 11:30:00","900","0","0","0","0","0","0","1","3","2","4","3","5","11","0","4","33","0"
"LANE_02","12","0.3","75.2","85.0","0","9","3","0","--","--","--","--","75.0","74.8","08/01/25 11:30:00","900","0","0","0","0","0","0","0","0","0","2","1","4","3","2","0","12","0"

"LANE_01","40","1.8","72.7","85.0","0","20","11","9","--","--","--","--","22.5","22.1","08/01/25 11:45:00","900","0","0","0","0","0","1","3","2","2","3","4","4","15","3","3","40","0"
"LANE_02","16","0.4","78.4","89.0","0","11","4","1","--","--","--","--","56.3","56.0","08/01/25 11:45:00","900","0","0","0","0","0","0","0","0","2","0","0","4","5","3","2","16","0"

"LANE_01","49","2.1","70.0","83.0","0","19","17","13","--","--","--","--","18.4","18.0","08/01/25 12:00:00","900","0","0","0","1","1","1","1","0","4","7","3","15","12","2","2","49","0"
"LANE_02","15","0.4","79.5","89.0","0","8","6","1","--","--","--","--","60.0","59.8","08/01/25 12:00:00","900","0","0","0","0","0","0","0","0","0","0","2","3","7","1","2","15","0"

"LANE_01","39","1.7","71.8","83.5","0","13","16","10","--","--","--","--","23.1","22.7","08/01/25 12:15:00","900","0","0","0","0","0","0","0","3","3","7","4","8","9","2","3","39","0"
"LANE_02","12","0.3","79.6","82.0","0","6","5","1","--","--","--","--","75.0","74.8","08/01/25 12:15:00","900","0","0","0","0","0","0","0","0","0","0","0","3","7","0","2","12","0"

"LANE_01","49","2.3","72.2","82.0","0","21","11","17","--","--","--","--","18.4","17.9","08/01/25 12:30:00","900","0","0","0","0","0","0","2","2","5","4","6","11","14","3","2","49","0"
"LANE_02","22","0.7","81.2","87.0","0","11","6","5","--","--","--","--","40.9","40.6","08/01/25 12:30:00","900","0","0","0","0","0","0","0","0","0","1","3","6","6","3","3","22","0"

"LANE_01","50","2.2","73.7","86.0","0","19","16","15","--","--","--","--","18.0","17.6","08/01/25 12:45:00","900","0","0","0","0","0","1","0","0","4","9","9","5","13","3","6","50","0"
"LANE_02","24","0.6","80.9","89.0","0","14","9","1","--","--","--","--","37.5","37.3","08/01/25 12:45:00","900","0","0","0","0","0","0","0","0","0","3","3","1","11","2","4","24","0"

"LANE_01","46","2.2","74.3","85.0","0","20","12","14","--","--","--","--","19.6","19.1","08/01/25 13:00:00","900","0","0","0","0","0","1","1","1","2","6","8","7","13","2","5","46","0"
