"08/01/25 17:38:00","I-70_Fri_Aug_1_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","8/1/2025   11:00:00 AM","8/1/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","38","1.9","69.9","79.0","0","16","8","4","8","2","--","--","23.7","23.2","08/01/25 11:00:00","900","0","0","0","0","0","0","3","2","1","5","6","7","10","3","1","38","0"
"LANE_02","9","0.3","71.9","78.0","0","7","1","0","1","0","--","--","100.0","99.7","08/01/25 11:00:00","900","0","0","0","0","0","0","1","0","0","1","0","1","6","0","0","9","0"

"LANE_01","46","2.5","70.0","81.4","0","15","11","7","7","6","--","--","19.6","19.1","08/01/25 11:15:00","900","0","0","0","0","0","0","0","4","5","6","13","4","4","7","3","46","0"
"LANE_02","12","0.4","67.1","74.0","0","10","1","0","0","1","--","--","75.0","74.7","08/01/25 11:15:00","900","0","0","0","0","0","0","0","2","3","2","1","2","0","1","1","12","0"

"LANE_01","37","2.1","70.9","81.0","0","11","8","3","10","5","--","--","24.3","23.8","08/01/25 11:30:00","900","0","0","0","0","0","1","1","2","2","5","8","3","6","6","3","37","0"
"LANE_02","11","0.4","67.3","77.0","0","7","3","0","1","0","--","--","81.8","81.5","08/01/25 11:30:00","900","0","0","0","0","1","0","0","0","1","2","1","2","4","0","0","11","0"

"LANE_01","36","1.7","67.1","78.5","0","22","7","2","1","4","--","--","25.0","24.6","08/01/25 11:45:00","900","0","0","0","0","0","0","3","2","5","4","7","5","9","1","0","36","0"
"LANE_02","20","0.5","71.5","81.0","0","15","4","1","0","0","--","--","45.0","44.8","08/01/25 11:45:00","900","0","0","0","0","0","0","1","1","1","1","3","5","3","5","0","20","0"

"LANE_01","42","1.9","68.2","79.5","0","16","15","2","5","4","--","--","21.4","21.0","08/01/25 12:00:00","900","0","0","0","0","0","0","1","4","2","10","8","5","7","4","1","42","0"
"LANE_02","13","0.4","70.7","79.0","0","5","6","1","1","0","--","--","69.2","68.9","08/01/25 12:00:00","900","0","0","0","0","0","0","1","0","0","3","1","3","3","1","1","13","0"

"LANE_01","44","2.0","66.4","74.4","0","20","12","3","4","5","--","--","20.5","20.0","08/01/25 12:15:00","900","0","0","0","0","0","0","0","3","6","12","7","12","2","2","0","44","0"
"LANE_02","11","0.3","77.3","83.0","0","9","2","0","0","0","--","--","81.8","81.6","08/01/25 12:15:00","900","0","0","0","0","0","0","0","0","0","0","2","2","2","5","0","11","0"

"LANE_01","39","2.4","68.0","77.0","0","16","5","3","7","8","--","--","23.1","22.5","08/01/25 12:30:00","900","0","0","0","0","0","0","0","3","4","8","6","8","8","2","0","39","0"
"LANE_02","26","0.8","74.0","82.0","1","14","7","3","1","0","--","--","34.6","34.3","08/01/25 12:30:00","900","0","0","0","0","0","0","0","0","1","5","2","7","6","3","2","26","0"

"LANE_01","61","2.6","70.6","80.5","0","28","18","4","7","4","--","--","14.8","14.4","08/01/25 12:45:00","900","0","0","0","0","0","2","0","3","5","9","8","13","11","5","5","61","0"
"LANE_02","22","0.7","69.3","79.0","0","12","8","1","1","0","--","--","40.9","40.6","08/01/25 12:45:00","900","0","0","0","0","0","0","0","1","4","3","3","4","5","2","0","22","0"

"LANE_01","46","2.4","69.3","80.0","0","20","11","3","7","5","--","--","19.6","19.1","08/01/25 13:00:00","900","0","0","0","0","0","1","1","3","3","9","6","7","9","3","4","46","0"
"LANE_02","23","0.6","70.8","78.7","0","20","2","0","1","0","--","--","39.1","38.9","08/01/25 13:00:00","900","0","0","0","0","0","0","1","0","3","2","2","5","8","2","0","23","0"

"LANE_01","43","2.1","66.3","75.5","0","24","7","2","6","4","--","--","20.9","20.5","08/01/25 13:15:00","900","0","0","0","0","2","0","0","2","4","6","14","8","6","1","0","43","0"
"LANE_02","21","0.7","72.4","79.0","0","14","4","0","1","2","--","--","42.9","42.5","08/01/25 13:15:00","900","0","0","0","0","0","0","0","1","2","2","3","3","7","2","1","21","0"

"LANE_01","36","2.0","67.6","78.3","0","18","7","2","2","7","--","--","25.0","24.5","08/01/25 13:30:00","900","0","0","0","0","0","1","0","4","3","7","4","10","4","3","0","36","0"
"LANE_02","16","0.5","75.6","81.0","0","13","1","0","1","1","--","--","56.3","56.0","08/01/25 13:30:00","900","0","0","0","0","0","0","0","0","0","2","0","4","7","2","1","16","0"

"LANE_01","45","2.4","69.0","80.0","0","16","9","7","5","8","--","--","20.0","19.5","08/01/25 13:45:00","900","0","0","0","0","0","1","1","2","7","4","8","10","5","3","4","45","0"
"LANE_02","11","0.4","75.4","81.0","0","6","3","1","0","1","--","--","81.8","81.5","08/01/25 13:45:00","900","0","0","0","0","0","0","0","0","0","0","2","4","2","3","0","11","0"

"LANE_01","46","2.8","65.2","75.5","0","14","14","3","6","9","--","--","19.6","19.0","08/01/25 14:00:00","900","0","0","0","0","1","0","4","2","2","11","13","5","6","2","0","46","0"
"LANE_02","28","0.9","69.2","77.5","0","20","5","1","1","1","--","--","32.1","31.9","08/01/25 14:00:00","900","0","0","0","0","0","0","0","3","0","6","3","8","7","1","0","28","0"

"LANE_01","48","1.8","67.8","77.0","0","23","17","4","1","3","--","--","18.8","18.4","08/01/25 14:15:00","900","0","0","0","0","0","0","3","2","5","5","10","9","14","0","0","48","0"
"LANE_02","19","0.6","68.1","77.0","0","15","3","0","0","1","--","--","47.4","47.1","08/01/25 14:15:00","900","0","0","0","0","0","0","2","0","1","4","2","5","5","0","0","19","0"

"LANE_01","46","1.9","65.6","77.0","0","28","9","2","4","3","--","--","19.6","19.2","08/01/25 14:30:00","900","0","0","0","0","1","1","4","1","6","7","6","8","10","2","0","46","0"
"LANE_02","22","0.7","68.9","76.5","0","15","5","1","0","1","--","--","40.9","40.6","08/01/25 14:30:00","900","0","0","0","0","0","1","1","1","0","2","4","7","5","1","0","22","0"

"LANE_01","44","2.8","67.3","76.0","0","17","7","3","9","8","--","--","20.5","19.9","08/01/25 14:45:00","900","0","0","0","0","0","0","1","6","2","9","6","8","9","2","1","44","0"
"LANE_02","20","0.6","66.9","75.3","0","16","1","3","0","0","--","--","45.0","44.7","08/01/25 14:45:00","900","0","0","0","0","0","0","0","2","3","2","5","4","4","0","0","20","0"

"LANE_01","61","2.8","69.3","79.0","0","29","19","2","4","7","--","--","14.8","14.3","08/01/25 15:00:00","900","0","0","0","0","0","1","3","3","5","6","11","8","16","4","4","61","0"
"LANE_02","16","0.7","65.3","80.0","0","8","6","0","2","0","--","--","56.3","55.9","08/01/25 15:00:00","900","0","0","0","0","0","2","3","0","1","1","1","1","5","1","1","16","0"

"LANE_01","49","2.8","64.6","74.6","0","19","12","4","6","8","--","--","18.4","17.9","08/01/25 15:15:00","900","0","0","0","0","0","0","4","8","5","6","9","12","3","1","1","49","0"
"LANE_02","23","0.8","68.7","76.5","0","19","3","0","0","1","--","--","39.1","38.8","08/01/25 15:15:00","900","0","0","0","0","0","0","1","1","2","3","3","7","5","1","0","23","0"

"LANE_01","49","2.6","66.7","78.0","0","22","10","5","7","5","--","--","18.4","17.9","08/01/25 15:30:00","900","0","0","0","0","0","3","4","3","2","6","11","7","7","4","2","49","0"
"LANE_02","26","1.0","64.8","76.0","0","17","6","0","2","1","--","--","34.6","34.3","08/01/25 15:30:00","900","0","0","0","0","1","1","1","2","2","5","3","5","5","1","0","26","0"

"LANE_01","56","2.8","67.6","78.0","0","20","15","8","6","7","--","--","16.1","15.6","08/01/25 15:45:00","900","0","0","0","0","1","1","2","0","4","13","11","12","7","4","1","56","0"
"LANE_02","29","0.9","70.8","79.7","0","18","7","3","0","1","--","--","31.0","30.8","08/01/25 15:45:00","900","0","0","0","0","0","0","0","1","2","3","7","8","5","2","1","29","0"

"LANE_01","51","2.1","71.6","80.5","0","23","17","2","3","6","--","--","17.6","17.3","08/01/25 16:00:00","900","0","0","0","0","0","0","1","1","3","6","9","13","9","5","4","51","0"
"LANE_02","17","0.5","70.1","77.0","0","13","3","1","0","0","--","--","52.9","52.7","08/01/25 16:00:00","900","0","0","0","0","0","0","1","0","0","4","1","5","6","0","0","17","0"

"LANE_01","33","1.7","66.6","76.0","0","15","8","4","2","4","--","--","27.3","26.8","08/01/25 16:15:00","900","0","0","0","0","0","0","2","4","0","6","6","9","4","2","0","33","0"
"LANE_02","12","0.3","69.7","82.0","0","10","2","0","0","0","--","--","75.0","74.8","08/01/25 16:15:00","900","0","0","0","0","0","0","1","0","1","4","0","1","2","3","0","12","0"

"LANE_01","40","1.6","69.9","79.7","0","22","9","2","3","4","--","--","22.5","22.1","08/01/25 16:30:00","900","0","0","0","0","0","0","1","1","4","5","9","8","7","4","1","40","0"
"LANE_02","9","0.3","69.8","78.0","0","7","1","0","1","0","--","--","100.0","99.7","08/01/25 16:30:00","900","0","0","0","0","0","0","0","0","1","2","1","2","2","1","0","9","0"

"LANE_01","47","2.0","69.8","80.0","0","22","11","4","5","5","--","--","19.1","18.8","08/01/25 16:45:00","900","0","0","0","0","0","0","2","2","6","5","7","8","10","5","2","47","0"
"LANE_02","26","0.7","72.1","78.0","0","18","6","1","1","0","--","--","34.6","34.4","08/01/25 16:45:00","900","0","0","0","0","0","0","0","0","1","3","3","10","7","2","0","26","0"

"LANE_01","34","1.8","66.8","77.0","0","20","3","3","2","6","--","--","26.5","26.0","08/01/25 17:00:00","900","1","0","0","0","0","1","0","2","1","7","6","8","6","2","0","34","0"
"LANE_02","10","0.3","68.5","77.0","0","8","2","0","0","0","--","--","90.0","89.8","08/01/25 17:00:00","900","0","0","0","0","0","0","0","0","2","2","1","2","3","0","0","10","0"

Total Bins:  25
