"08/05/25 17:42:40","US-191_Tue_Aug_5_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","8/5/2025   10:15:00 AM","8/5/2025   5:30:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","13","1.4","48.0","55.0","0","4","2","7","--","--","--","--","69.2","68.2","08/05/25 10:15:00","900","0","0","0","0","0","4","5","2","2","0","0","0","0","0","0","13","0"
"LANE_02","15","1.3","59.5","65.0","0","3","2","10","--","--","--","--","60.0","59.2","08/05/25 10:15:00","900","0","0","0","0","0","0","1","2","3","7","1","1","0","0","0","15","0"

"LANE_01","15","1.9","51.4","59.0","0","3","1","11","--","--","--","--","60.0","58.9","08/05/25 10:30:00","900","0","0","0","0","2","3","1","6","1","1","0","0","1","0","0","15","0"
"LANE_02","15","1.3","54.4","69.0","0","3","3","9","--","--","--","--","60.0","59.2","08/05/25 10:30:00","900","0","0","0","0","0","3","2","5","2","0","1","2","0","0","0","15","0"

"LANE_01","12","1.6","51.6","55.0","0","2","0","10","--","--","--","--","75.0","73.8","08/05/25 10:45:00","900","0","0","0","0","0","2","2","6","1","1","0","0","0","0","0","12","0"
"LANE_02","10","1.0","64.5","71.0","0","1","1","8","--","--","--","--","90.0","89.1","08/05/25 10:45:00","900","0","0","0","0","0","0","0","0","2","4","2","2","0","0","0","10","0"

"LANE_01","17","2.0","53.8","58.0","0","1","2","14","--","--","--","--","52.9","51.9","08/05/25 11:00:00","900","0","0","0","0","0","1","5","6","3","1","0","0","1","0","0","17","0"
"LANE_02","17","1.8","61.9","69.5","0","3","1","13","--","--","--","--","52.9","52.0","08/05/25 11:00:00","900","0","0","0","0","0","0","0","3","4","5","3","2","0","0","0","17","0"

"LANE_01","9","1.0","53.5","58.0","0","1","2","6","--","--","--","--","100.0","99.0","08/05/25 11:15:00","900","0","0","0","0","0","0","2","3","4","0","0","0","0","0","0","9","0"
"LANE_02","16","1.7","55.3","62.0","0","1","3","12","--","--","--","--","56.3","55.3","08/05/25 11:15:00","900","0","0","0","0","0","0","3","5","5","2","1","0","0","0","0","16","0"

"LANE_01","7","0.6","53.8","66.0","0","1","3","3","--","--","--","--","128.6","127.8","08/05/25 11:30:00","900","0","0","0","1","0","1","0","2","0","1","2","0","0","0","0","7","0"
"LANE_02","9","0.9","62.8","67.5","0","1","1","7","--","--","--","--","100.0","99.1","08/05/25 11:30:00","900","0","0","0","0","0","0","0","1","2","2","4","0","0","0","0","9","0"

"LANE_01","15","1.7","48.2","52.0","0","2","3","10","--","--","--","--","60.0","59.0","08/05/25 11:45:00","900","0","0","0","0","1","2","8","2","1","1","0","0","0","0","0","15","0"
"LANE_02","20","1.8","58.2","61.0","0","2","6","12","--","--","--","--","45.0","44.2","08/05/25 11:45:00","900","0","0","0","0","0","0","0","5","9","3","3","0","0","0","0","20","0"

"LANE_01","15","1.6","48.0","56.0","0","4","1","10","--","--","--","--","60.0","59.1","08/05/25 12:00:00","900","0","1","0","0","1","2","2","6","2","0","1","0","0","0","0","15","0"
"LANE_02","10","1.0","56.0","62.0","0","3","0","7","--","--","--","--","90.0","89.1","08/05/25 12:00:00","900","0","0","0","0","0","0","2","2","2","4","0","0","0","0","0","10","0"

"LANE_01","12","1.2","50.7","59.5","0","2","3","7","--","--","--","--","75.0","74.1","08/05/25 12:15:00","900","0","0","0","0","1","4","2","0","4","0","1","0","0","0","0","12","0"
"LANE_02","13","0.9","62.5","66.0","0","5","3","5","--","--","--","--","69.2","68.6","08/05/25 12:15:00","900","0","0","0","0","0","0","0","0","4","6","2","1","0","0","0","13","0"

"LANE_01","13","1.6","49.8","55.0","0","1","3","9","--","--","--","--","69.2","68.1","08/05/25 12:30:00","900","0","0","0","0","1","2","3","5","2","0","0","0","0","0","0","13","0"
"LANE_02","22","2.2","62.4","68.5","0","3","2","17","--","--","--","--","40.9","40.0","08/05/25 12:30:00","900","0","1","0","0","0","0","0","0","3","7","9","2","0","0","0","22","0"

"LANE_01","10","1.1","55.8","65.0","0","0","3","7","--","--","--","--","90.0","89.0","08/05/25 12:45:00","900","0","0","0","0","0","0","1","6","1","1","0","1","0","0","0","10","0"
"LANE_02","16","1.6","64.5","69.0","0","1","3","12","--","--","--","--","56.3","55.3","08/05/25 12:45:00","900","0","1","0","0","0","0","0","0","2","6","6","1","0","0","0","16","0"

"LANE_01","11","1.0","48.1","56.0","0","3","2","6","--","--","--","--","81.8","81.0","08/05/25 13:00:00","900","0","0","0","1","2","0","3","2","3","0","0","0","0","0","0","11","0"
"LANE_02","6","0.6","69.2","71.0","0","0","1","5","--","--","--","--","150.0","149.1","08/05/25 13:00:00","900","0","0","0","0","0","0","0","0","0","1","3","2","0","0","0","6","0"

"LANE_01","9","0.9","50.7","54.0","0","1","2","6","--","--","--","--","100.0","99.1","08/05/25 13:15:00","900","0","0","0","0","0","1","1","6","1","0","0","0","0","0","0","9","0"
"LANE_02","7","0.7","54.5","62.0","0","0","3","4","--","--","--","--","128.6","127.7","08/05/25 13:15:00","900","0","0","0","0","0","1","1","0","3","2","0","0","0","0","0","7","0"

"LANE_01","11","1.1","50.3","57.0","0","2","3","6","--","--","--","--","81.8","80.9","08/05/25 13:30:00","900","0","0","0","0","0","3","4","1","2","0","1","0","0","0","0","11","0"
"LANE_02","11","1.0","62.3","69.0","0","1","2","8","--","--","--","--","81.8","81.0","08/05/25 13:30:00","900","0","0","0","0","0","0","0","0","4","4","2","1","0","0","0","11","0"

"LANE_01","8","0.8","51.8","61.0","0","4","0","4","--","--","--","--","112.5","111.6","08/05/25 13:45:00","900","0","0","0","0","1","0","3","2","0","1","1","0","0","0","0","8","0"
"LANE_02","21","2.4","53.7","63.0","0","4","3","14","--","--","--","--","42.9","41.8","08/05/25 13:45:00","900","0","0","0","0","0","4","6","0","4","5","2","0","0","0","0","21","0"

"LANE_01","11","1.1","49.8","55.0","0","5","1","5","--","--","--","--","81.8","80.9","08/05/25 14:00:00","900","0","0","0","0","0","4","1","4","1","1","0","0","0","0","0","11","0"
"LANE_02","7","0.6","63.2","69.0","0","2","1","4","--","--","--","--","128.6","127.9","08/05/25 14:00:00","900","0","0","0","0","0","0","0","0","4","1","1","0","1","0","0","7","0"

"LANE_01","22","2.6","48.0","58.0","0","7","4","11","--","--","--","--","40.9","39.9","08/05/25 14:15:00","900","0","0","0","0","5","3","6","4","1","2","0","1","0","0","0","22","0"
"LANE_02","22","1.8","57.9","64.0","0","4","3","15","--","--","--","--","40.9","40.2","08/05/25 14:15:00","900","0","0","0","0","1","0","1","4","6","9","1","0","0","0","0","22","0"

"LANE_01","21","1.7","56.2","66.5","0","6","7","8","--","--","--","--","42.9","42.1","08/05/25 14:30:00","900","0","0","0","0","0","1","4","4","5","3","3","1","0","0","0","21","0"
"LANE_02","12","0.7","58.2","60.0","0","4","4","4","--","--","--","--","75.0","74.5","08/05/25 14:30:00","900","0","0","0","0","0","0","0","2","8","1","1","0","0","0","0","12","0"

"LANE_01","18","1.7","52.3","57.5","0","5","4","9","--","--","--","--","50.0","49.1","08/05/25 14:45:00","900","0","0","0","0","0","3","5","4","4","1","1","0","0","0","0","18","0"
"LANE_02","8","0.7","61.6","67.0","0","0","4","4","--","--","--","--","112.5","111.7","08/05/25 14:45:00","900","0","0","0","0","0","0","0","1","1","2","4","0","0","0","0","8","0"

"LANE_01","18","1.5","54.6","59.7","0","2","8","8","--","--","--","--","50.0","49.3","08/05/25 15:00:00","900","0","0","0","0","0","0","1","10","5","2","0","0","0","0","0","18","0"
"LANE_02","13","0.9","71.6","79.0","0","3","2","8","--","--","--","--","69.2","68.6","08/05/25 15:00:00","900","0","0","0","0","0","0","0","0","0","0","7","3","3","0","0","13","0"

"LANE_01","15","1.2","55.7","60.0","0","3","7","5","--","--","--","--","60.0","59.3","08/05/25 15:15:00","900","0","0","1","0","1","0","2","2","7","0","0","1","0","0","1","15","0"
"LANE_02","27","1.9","60.7","66.5","0","9","4","14","--","--","--","--","33.3","32.7","08/05/25 15:15:00","900","0","0","0","0","0","0","1","5","6","8","5","2","0","0","0","27","0"

"LANE_01","19","1.6","48.4","56.0","0","5","6","8","--","--","--","--","47.4","46.6","08/05/25 15:30:00","900","0","0","0","0","3","6","1","4","3","2","0","0","0","0","0","19","0"
"LANE_02","8","0.6","55.1","62.0","0","3","2","3","--","--","--","--","112.5","111.8","08/05/25 15:30:00","900","0","0","0","1","0","0","0","2","2","3","0","0","0","0","0","8","0"

