"08/06/25 18:02:36","US-191_Wed_Aug_6_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","8/6/2025   10:15:00 AM","8/6/2025   5:30:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","13","1.0","49.0","53.0","0","2","6","5","--","--","--","--","69.2","68.6","08/06/25 10:15:00","900","0","0","0","0","1","2","5","3","1","1","0","0","0","0","0","13","0"
"LANE_02","18","1.1","60.0","67.0","0","5","7","6","--","--","--","--","50.0","49.5","08/06/25 10:15:00","900","0","0","0","0","0","0","1","4","4","5","2","2","0","0","0","18","0"

"LANE_01","24","2.5","52.4","61.0","0","3","5","16","--","--","--","--","37.5","36.6","08/06/25 10:30:00","900","0","0","0","0","0","5","6","4","4","4","0","1","0","0","0","24","0"
"LANE_02","20","1.5","56.7","64.0","0","5","5","10","--","--","--","--","45.0","44.3","08/06/25 10:30:00","900","0","0","0","0","0","1","2","6","3","7","1","0","0","0","0","20","0"

"LANE_01","5","0.6","51.8","58.0","0","0","1","4","--","--","--","--","180.0","178.9","08/06/25 10:45:00","900","0","0","0","0","0","1","1","1","2","0","0","0","0","0","0","5","0"
"LANE_02","17","1.6","54.9","63.0","0","5","2","10","--","--","--","--","52.9","52.1","08/06/25 10:45:00","900","0","0","0","0","1","3","3","1","4","2","1","1","1","0","0","17","0"

"LANE_01","11","0.9","51.1","54.0","0","6","0","5","--","--","--","--","81.8","81.1","08/06/25 11:00:00","900","0","0","0","0","0","0","4","6","1","0","0","0","0","0","0","11","0"
"LANE_02","8","0.6","62.8","68.0","0","0","3","5","--","--","--","--","112.5","111.8","08/06/25 11:00:00","900","0","0","0","0","0","0","0","2","1","1","3","0","1","0","0","8","0"

"LANE_01","10","1.2","49.4","58.0","0","1","0","9","--","--","--","--","90.0","88.9","08/06/25 11:15:00","900","0","0","0","0","0","3","3","1","2","1","0","0","0","0","0","10","0"
"LANE_02","7","0.7","50.9","54.0","0","1","1","5","--","--","--","--","128.6","127.7","08/06/25 11:15:00","900","0","0","0","0","0","1","1","4","1","0","0","0","0","0","0","7","0"

"LANE_01","22","2.1","55.3","63.5","0","5","4","13","--","--","--","--","40.9","40.1","08/06/25 11:30:00","900","0","0","0","0","0","2","3","8","4","3","1","1","0","0","0","22","0"
"LANE_02","11","0.9","57.0","61.0","0","2","3","6","--","--","--","--","81.8","81.1","08/06/25 11:30:00","900","0","0","0","0","0","0","0","5","2","3","0","1","0","0","0","11","0"

"LANE_01","19","1.3","55.0","60.5","0","4","8","7","--","--","--","--","47.4","46.8","08/06/25 11:45:00","900","0","0","0","0","0","1","6","3","5","3","0","0","0","1","0","19","0"
"LANE_02","17","1.5","57.6","62.7","0","5","3","9","--","--","--","--","52.9","52.1","08/06/25 11:45:00","900","0","0","0","0","0","1","0","5","4","6","1","0","0","0","0","17","0"

"LANE_01","16","1.7","53.4","60.5","0","2","3","11","--","--","--","--","56.3","55.3","08/06/25 12:00:00","900","0","0","0","0","0","2","4","3","4","2","1","0","0","0","0","16","0"
"LANE_02","11","1.1","58.2","64.0","0","2","1","8","--","--","--","--","81.8","80.9","08/06/25 12:00:00","900","0","0","0","0","0","0","1","3","3","3","1","0","0","0","0","11","0"

"LANE_01","10","0.9","46.5","51.0","0","4","2","4","--","--","--","--","90.0","89.2","08/06/25 12:15:00","900","0","1","0","0","0","1","6","1","0","1","0","0","0","0","0","10","0"
"LANE_02","16","1.8","50.8","59.0","0","3","0","13","--","--","--","--","56.3","55.2","08/06/25 12:15:00","900","0","0","0","0","1","1","7","3","2","2","0","0","0","0","0","16","0"

"LANE_01","17","1.8","54.8","62.0","0","2","6","9","--","--","--","--","52.9","52.0","08/06/25 12:30:00","900","0","0","0","0","0","0","5","7","1","1","3","0","0","0","0","17","0"
"LANE_02","10","0.9","57.9","61.0","0","2","2","6","--","--","--","--","90.0","89.2","08/06/25 12:30:00","900","0","0","0","0","0","1","0","1","6","1","0","1","0","0","0","10","0"

"LANE_01","10","1.2","50.9","59.0","0","2","0","8","--","--","--","--","90.0","88.9","08/06/25 12:45:00","900","0","0","0","0","0","1","5","2","1","0","1","0","0","0","0","10","0"
"LANE_02","4","0.2","61.8","65.0","0","1","2","1","--","--","--","--","225.0","224.5","08/06/25 12:45:00","900","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","4","0"

"LANE_01","13","1.3","52.5","64.5","0","3","4","6","--","--","--","--","69.2","68.3","08/06/25 13:00:00","900","0","0","0","0","1","2","3","2","1","3","1","0","0","0","0","13","0"
"LANE_02","17","1.4","63.9","69.0","0","1","5","11","--","--","--","--","52.9","52.2","08/06/25 13:00:00","900","0","0","0","0","0","0","0","1","3","5","7","1","0","0","0","17","0"

