"08/07/25 17:49:31","US-191_Thur_Aug_7_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","8/7/2025   10:00:00 AM","8/7/2025   5:45:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","18","1.8","51.4","57.5","0","3","3","1","4","7","--","--","50.0","49.1","08/07/25 10:15:00","900","0","0","0","0","0","2","6","4","5","1","0","0","0","0","0","18","0"
"LANE_02","20","1.4","53.9","57.7","0","9","4","0","3","4","--","--","45.0","44.4","08/07/25 10:15:00","900","0","0","0","0","0","0","5","7","7","0","1","0","0","0","0","20","0"

"LANE_01","19","2.4","51.2","57.0","0","3","1","2","3","10","--","--","47.4","46.2","08/07/25 10:30:00","900","0","0","0","1","0","3","4","6","4","1","0","0","0","0","0","19","0"
"LANE_02","17","1.6","51.1","57.0","0","4","2","2","2","7","--","--","52.9","52.1","08/07/25 10:30:00","900","0","0","0","0","0","2","6","5","3","1","0","0","0","0","0","17","0"

"LANE_01","13","1.5","50.0","55.0","0","3","3","0","0","7","--","--","69.2","68.2","08/07/25 10:45:00","900","0","0","0","0","0","3","3","5","1","1","0","0","0","0","0","13","0"
"LANE_02","11","0.8","54.4","59.5","0","2","6","0","0","3","--","--","81.8","81.1","08/07/25 10:45:00","900","0","0","0","0","0","0","3","2","5","1","0","0","0","0","0","11","0"

"LANE_01","14","1.5","50.2","58.0","0","2","3","2","2","5","--","--","64.3","63.3","08/07/25 11:00:00","900","0","0","0","1","2","1","3","1","4","2","0","0","0","0","0","14","0"
"LANE_02","17","1.5","59.4","65.5","0","5","1","0","3","8","--","--","52.9","52.2","08/07/25 11:00:00","900","0","0","0","0","0","0","2","1","4","6","4","0","0","0","0","17","0"

"LANE_01","18","1.1","53.4","58.0","0","8","5","1","0","4","--","--","50.0","49.4","08/07/25 11:15:00","900","0","0","0","0","0","1","3","5","9","0","0","0","0","0","0","18","0"
"LANE_02","11","1.0","57.2","62.0","0","3","1","2","1","4","--","--","81.8","81.0","08/07/25 11:15:00","900","0","0","0","0","0","0","0","3","6","2","0","0","0","0","0","11","0"

"LANE_01","14","1.7","46.5","52.5","0","2","2","1","2","7","--","--","64.3","63.2","08/07/25 11:30:00","900","0","0","0","0","0","6","4","4","0","0","0","0","0","0","0","14","0"
"LANE_02","27","1.9","59.8","65.0","0","8","7","3","2","7","--","--","33.3","32.7","08/07/25 11:30:00","900","0","0","0","0","0","0","1","5","8","9","3","1","0","0","0","27","0"

"LANE_01","17","1.6","50.8","54.5","0","4","6","0","0","7","--","--","52.9","52.1","08/07/25 11:45:00","900","0","0","0","0","0","0","10","5","1","1","0","0","0","0","0","17","0"
"LANE_02","18","1.6","58.4","63.5","0","4","4","0","3","7","--","--","50.0","49.2","08/07/25 11:45:00","900","0","0","0","0","0","0","2","3","3","10","0","0","0","0","0","18","0"

"LANE_01","10","1.2","51.2","58.0","0","1","2","1","0","6","--","--","90.0","89.0","08/07/25 12:00:00","900","0","0","0","0","0","2","2","4","2","0","0","0","0","0","0","10","0"
"LANE_02","14","1.1","58.7","65.0","0","2","5","1","0","6","--","--","64.3","63.6","08/07/25 12:00:00","900","0","0","0","0","0","1","0","4","1","6","2","0","0","0","0","14","0"

"LANE_01","19","2.4","50.2","56.0","0","3","0","0","6","10","--","--","47.4","46.2","08/07/25 12:15:00","900","0","0","0","0","1","3","6","5","2","2","0","0","0","0","0","19","0"
"LANE_02","18","1.5","59.1","62.0","0","7","0","1","3","7","--","--","50.0","49.3","08/07/25 12:15:00","900","0","0","0","0","0","0","0","1","11","6","0","0","0","0","0","18","0"

"LANE_01","17","2.0","49.8","53.0","0","4","3","0","1","9","--","--","52.9","51.9","08/07/25 12:30:00","900","0","0","0","0","0","1","8","7","1","0","0","0","0","0","0","17","0"
"LANE_02","16","1.2","55.2","63.0","0","6","2","1","3","4","--","--","56.3","55.6","08/07/25 12:30:00","900","0","1","0","0","0","0","2","3","6","2","2","0","0","0","0","16","0"

"LANE_01","16","2.2","44.8","52.0","0","3","2","0","3","8","--","--","56.3","55.0","08/07/25 12:45:00","900","0","0","0","0","5","4","3","2","2","0","0","0","0","0","0","16","0"
"LANE_02","17","1.6","58.2","64.0","0","3","3","2","1","8","--","--","52.9","52.1","08/07/25 12:45:00","900","0","0","0","0","0","0","2","5","1","6","2","1","0","0","0","17","0"

"LANE_01","20","2.0","45.7","53.0","0","4","5","2","2","7","--","--","45.0","44.1","08/07/25 13:00:00","900","0","0","0","0","4","6","3","6","1","0","0","0","0","0","0","20","0"
"LANE_02","20","2.1","60.0","64.0","0","6","0","0","2","12","--","--","45.0","44.1","08/07/25 13:00:00","900","0","0","0","0","0","0","0","3","7","8","1","1","0","0","0","20","0"

"LANE_01","12","1.3","48.8","52.5","0","4","2","0","0","6","--","--","75.0","74.0","08/07/25 13:15:00","900","0","0","0","0","0","3","2","6","0","1","0","0","0","0","0","12","0"
"LANE_02","14","1.2","58.0","64.0","0","3","4","1","0","6","--","--","64.3","63.5","08/07/25 13:15:00","900","0","0","0","0","0","0","1","4","4","4","1","0","0","0","0","14","0"

"LANE_01","18","1.8","50.1","55.5","0","3","6","1","0","8","--","--","50.0","49.1","08/07/25 13:30:00","900","0","0","0","0","1","2","7","4","3","1","0","0","0","0","0","18","0"
"LANE_02","25","2.1","58.5","60.5","0","7","6","0","2","10","--","--","36.0","35.3","08/07/25 13:30:00","900","0","0","0","1","0","0","1","6","12","4","0","0","0","0","1","25","0"

"LANE_01","23","2.4","47.9","52.7","0","7","5","0","0","11","--","--","39.1","38.2","08/07/25 13:45:00","900","0","0","0","0","3","2","10","7","1","0","0","0","0","0","0","23","0"
"LANE_02","17","1.3","59.4","64.0","0","6","4","1","0","6","--","--","52.9","52.3","08/07/25 13:45:00","900","0","0","0","0","0","0","0","3","6","6","2","0","0","0","0","17","0"

"LANE_01","13","1.3","49.6","53.0","0","4","2","1","2","4","--","--","69.2","68.3","08/07/25 14:00:00","900","0","0","0","0","0","2","4","5","1","1","0","0","0","0","0","13","0"
"LANE_02","13","1.3","63.6","67.0","0","2","2","1","1","7","--","--","69.2","68.4","08/07/25 14:00:00","900","0","0","0","0","0","0","0","0","2","7","2","2","0","0","0","13","0"

