"08/08/25 17:49:57","US-191_Fri_Aug_8_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","8/8/2025   10:00:00 AM","8/8/2025   5:15:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_01","17","2.0","48.1","53.0","0","1","3","1","4","8","--","--","52.9","51.9","08/08/25 10:15:00","900","0","0","0","0","0","4","7","4","2","0","0","0","0","0","0","17","0"
"LANE_02","14","1.4","-56.4","63.0","0","3","1","2","1","7","--","--","64.3","63.4","08/08/25 10:15:00","900","0","0","0","0","0","0","2","2","7","2","1","0","0","0","0","1","13"

"LANE_01","13","1.3","52.8","60.0","0","2","3","0","3","5","--","--","69.2","68.3","08/08/25 10:30:00","900","0","0","0","0","1","0","4","4","2","1","1","0","0","0","0","13","0"
"LANE_02","11","1.0","-56.4","60.0","0","1","2","1","4","3","--","--","81.8","81.0","08/08/25 10:30:00","900","0","0","0","0","0","0","1","3","5","2","0","0","0","0","0","0","11"

"LANE_01","27","2.9","51.3","61.0","0","2","9","0","5","11","--","--","33.3","32.4","08/08/25 10:45:00","900","0","0","0","0","1","8","4","6","2","3","2","0","0","1","0","27","0"
"LANE_02","26","2.9","-48.2","55.5","0","2","5","1","9","9","--","--","34.6","33.6","08/08/25 10:45:00","900","0","0","1","0","1","5","7","7","5","0","0","0","0","0","0","1","25"

"LANE_01","16","1.1","64.9","78.0","0","2","9","0","2","3","--","--","56.3","55.7","08/08/25 11:00:00","900","0","0","0","0","0","0","2","2","2","3","1","3","2","1","0","16","0"
"LANE_02","15","1.5","-55.6","60.0","0","2","4","0","2","7","--","--","60.0","59.1","08/08/25 11:00:00","900","0","0","0","0","0","0","2","6","5","2","0","0","0","0","0","0","15"

"LANE_01","15","1.9","50.0","57.0","0","1","2","2","3","7","--","--","60.0","58.9","08/08/25 11:15:00","900","0","0","0","0","1","5","1","5","2","1","0","0","0","0","0","15","0"
"LANE_02","21","1.8","-55.5","61.0","0","4","4","2","5","6","--","--","42.9","42.1","08/08/25 11:15:00","900","0","0","0","0","0","0","3","9","4","2","3","0","0","0","0","1","20"

"LANE_01","17","1.9","51.9","56.5","0","1","5","2","2","7","--","--","52.9","52.0","08/08/25 11:30:00","900","0","0","0","0","1","1","6","4","3","1","0","1","0","0","0","17","0"
"LANE_02","22","2.1","-56.1","62.3","0","5","3","1","4","9","--","--","40.9","40.1","08/08/25 11:30:00","900","0","0","0","0","0","0","2","5","10","5","0","0","0","0","0","0","22"

"LANE_01","10","0.7","54.2","63.0","0","2","5","0","1","2","--","--","90.0","89.4","08/08/25 11:45:00","900","0","0","0","0","0","2","1","2","2","2","1","0","0","0","0","10","0"
"LANE_02","14","1.1","-59.6","63.0","0","1","6","1","1","5","--","--","64.3","63.6","08/08/25 11:45:00","900","0","0","0","0","0","0","0","3","5","4","2","0","0","0","0","0","14"

"LANE_01","19","2.2","48.7","55.0","0","3","4","0","0","12","--","--","47.4","46.3","08/08/25 12:00:00","900","0","0","0","0","0","3","9","4","2","1","0","0","0","0","0","19","0"
"LANE_02","25","2.7","-55.6","60.5","0","6","3","0","4","12","--","--","36.0","35.0","08/08/25 12:00:00","900","0","0","0","0","0","1","4","6","9","5","0","0","0","0","0","1","24"

"LANE_01","13","1.2","53.1","59.0","0","4","3","0","3","3","--","--","69.2","68.4","08/08/25 12:15:00","900","0","0","0","0","0","0","6","2","3","1","0","1","0","0","0","13","0"
"LANE_02","17","1.3","-64.0","68.0","0","4","5","0","2","6","--","--","52.9","52.2","08/08/25 12:15:00","900","0","0","0","0","0","0","0","1","6","4","3","1","1","1","0","1","16"

"LANE_01","22","2.1","54.1","66.0","1","4","5","1","2","9","--","--","40.9","40.1","08/08/25 12:30:00","900","0","0","0","0","1","3","4","6","4","0","2","0","2","0","0","22","0"
"LANE_02","5","0.3","-60.8","64.0","0","3","0","0","2","0","--","--","180.0","179.5","08/08/25 12:30:00","900","0","0","0","0","0","0","1","2","0","1","0","0","1","0","0","2","3"

"LANE_01","23","2.1","53.5","62.0","0","6","3","2","5","7","--","--","39.1","38.3","08/08/25 12:45:00","900","0","0","0","0","2","2","4","5","5","2","2","1","0","0","0","23","0"
"LANE_02","25","2.0","-54.6","59.0","0","8","5","1","6","5","--","--","36.0","35.3","08/08/25 12:45:00","900","0","0","0","0","0","0","6","8","8","2","1","0","0","0","0","0","25"

"LANE_01","19","1.9","52.3","58.5","0","1","7","2","2","7","--","--","47.4","46.5","08/08/25 13:00:00","900","0","0","0","0","0","3","6","4","4","1","0","1","0","0","0","19","0"
"LANE_02","21","1.6","-59.2","65.0","0","2","9","1","3","6","--","--","42.9","42.2","08/08/25 13:00:00","900","0","0","0","0","0","0","0","6","4","8","2","1","0","0","0","0","21"

"LANE_01","18","1.3","53.3","63.5","0","6","6","0","4","2","--","--","50.0","49.4","08/08/25 13:15:00","900","0","0","0","0","0","3","4","3","3","5","0","0","0","0","0","18","0"
"LANE_02","23","2.1","-51.4","60.0","0","4","6","2","4","7","--","--","39.1","38.3","08/08/25 13:15:00","900","0","0","0","0","0","4","4","9","3","3","0","0","0","0","0","2","21"

"LANE_01","11","1.2","54.2","59.0","0","1","3","0","2","5","--","--","81.8","80.8","08/08/25 13:30:00","900","0","0","0","0","1","0","1","3","4","1","1","0","0","0","0","11","0"
"LANE_02","19","1.5","-55.0","61.5","0","6","3","1","4","5","--","--","47.4","46.7","08/08/25 13:30:00","900","0","0","0","0","0","2","4","4","5","4","0","0","0","0","0","0","19"

"LANE_01","35","4.5","47.9","62.0","0","2","10","3","3","17","--","--","25.7","24.6","08/08/25 13:45:00","900","0","0","0","2","6","9","7","3","1","3","2","2","0","0","0","35","0"
"LANE_02","24","2.1","-54.9","61.7","1","7","5","2","1","8","--","--","37.5","36.7","08/08/25 13:45:00","900","3","0","0","2","0","0","1","4","9","4","1","0","0","0","0","0","24"

"LANE_01","14","1.2","51.7","62.0","0","2","5","3","1","3","--","--","64.3","63.5","08/08/25 14:00:00","900","0","0","0","0","2","4","3","0","1","2","1","0","1","0","0","14","0"
"LANE_02","3","0.2","-61.1","64.0","0","0","1","0","1","1","--","--","300.0","299.3","08/08/25 14:00:00","900","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3"

"LANE_01","18","1.9","53.6","61.3","0","1","6","0","3","8","--","--","50.0","49.0","08/08/25 14:15:00","900","0","0","0","0","0","3","3","3","5","4","0","0","0","0","0","18","0"
"LANE_02","22","1.9","-56.2","63.0","0","3","6","3","4","6","--","--","40.9","40.1","08/08/25 14:15:00","900","0","0","0","0","0","0","0","6","11","5","0","0","0","0","0","0","22"

"LANE_01","16","1.3","56.8","68.0","0","4","5","1","0","6","--","--","56.3","55.5","08/08/25 14:30:00","900","0","0","0","0","1","2","0","5","2","2","2","1","1","0","0","16","0"
"LANE_02","23","1.7","-58.1","63.0","0","5","5","4","3","6","--","--","39.1","38.5","08/08/25 14:30:00","900","0","0","0","0","0","0","0","2","13","6","2","0","0","0","0","0","23"

"LANE_01","15","1.4","58.2","70.3","0","3","3","1","2","6","--","--","60.0","59.1","08/08/25 14:45:00","900","0","0","0","0","0","2","2","2","1","4","1","3","0","0","0","15","0"
"LANE_02","18","1.2","-59.1","69.3","0","4","6","3","2","3","--","--","50.0","49.4","08/08/25 14:45:00","900","0","0","0","0","0","0","1","5","4","3","4","1","0","0","0","0","18"

"LANE_01","22","1.9","58.5","67.0","0","3","8","2","0","9","--","--","40.9","40.1","08/08/25 15:00:00","900","0","0","0","0","0","1","4","4","3","5","2","2","1","0","0","22","0"
"LANE_02","13","0.9","-61.2","70.0","0","4","4","0","1","4","--","--","69.2","68.6","08/08/25 15:00:00","900","0","0","0","0","1","0","1","2","2","1","4","1","1","0","0","2","11"

"LANE_01","18","2.1","53.3","59.0","0","2","4","1","1","10","--","--","50.0","49.0","08/08/25 15:15:00","900","0","0","0","0","0","1","5","6","4","1","1","0","0","0","0","18","0"
"LANE_02","19","1.6","-52.1","62.0","0","4","5","1","4","5","--","--","47.4","46.6","08/08/25 15:15:00","900","0","0","0","0","1","2","5","3","3","4","1","0","0","0","0","1","18"

"LANE_01","12","1.1","53.0","62.0","0","3","3","1","1","4","--","--","75.0","74.2","08/08/25 15:30:00","900","0","0","0","0","0","1","5","2","1","3","0","0","0","0","0","12","0"
"LANE_02","8","0.4","-63.3","67.0","0","2","2","2","1","1","--","--","112.5","112.0","08/08/25 15:30:00","900","0","0","0","0","0","0","0","0","2","3","3","0","0","0","0","0","8"

"LANE_01","14","1.6","55.8","65.0","0","2","2","1","3","6","--","--","64.3","63.3","08/08/25 15:45:00","900","0","0","0","0","1","1","5","0","2","3","0","1","0","0","1","14","0"
"LANE_02","32","2.3","-54.7","60.5","0","9","8","2","7","6","--","--","28.1","27.5","08/08/25 15:45:00","900","0","0","0","1","0","2","3","11","9","4","2","0","0","0","0","0","32"

"LANE_01","18","2.2","54.2","59.5","0","0","2","2","6","8","--","--","50.0","48.9","08/08/25 16:00:00","900","0","0","0","0","0","2","4","7","3","1","0","0","0","0","1","18","0"
"LANE_02","17","1.3","-58.4","65.0","0","4","4","0","6","3","--","--","52.9","52.3","08/08/25 16:00:00","900","0","0","0","0","0","0","0","6","6","3","2","0","0","0","0","1","16"

