timestamp,class,brake,avoidance,displacement,state
-1:59:59:999,,,,,2
13:38:28:668,,d,,,
13:38:31:651,,,b,,
13:38:35:401,,,b,,
13:38:37:152,,,b,,
13:38:39:902,,,b,,
13:38:51:153,,,b,,
13:39:23:015,,,b,,
13:39:55:653,,,b,,
13:40:01:151,,,b,,
13:40:05:156,j,,,,
13:40:08:455,k,,,,
13:40:22:904,l,,,,
13:40:28:403,j,,,,
13:40:38:157,k,,,,
13:40:50:153,l,,,,
13:41:11:404,,,b,,
13:41:13:905,,,b,,
13:41:16:654,j,,,,
13:41:19:155,k,,,,
13:41:33:902,j,,,,
13:41:33:903,l,,,,
13:41:38:656,,,b,,
13:41:39:903,j,,,,
13:41:55:154,,,b,,
13:42:02:404,,,b,,
13:42:02:906,k,,,,
13:42:09:402,j,,,,
13:42:15:170,,,b,,
13:42:15:654,j,,,,
13:42:19:656,,,b,,
13:42:27:154,,,b,,
13:42:30:656,,,b,,
13:42:35:404,k,,,,
13:42:51:654,l,,,,
13:42:57:402,k,,,,
13:43:03:900,j,,,,
13:43:03:901,l,,,,
13:43:06:659,,,b,,
13:43:08:659,,,b,,
13:43:11:653,,,b,,
13:43:13:656,,,b,,
13:43:17:151,,,b,,
13:43:19:653,,,b,,
13:43:20:653,,,b,,
13:43:28:156,k,,,,
13:43:48:656,l,,,,
13:44:43:905,,,b,,
13:45:08:406,,f,,,
13:45:11:656,,,b,,
13:45:16:656,,,b,,
13:45:18:653,,,b,,
13:45:20:404,,,b,,
