"site","date","time","cumulative","speed","strip_spacing"
"i70",2025-07-29,"113000",45,84.4,"20"
"i70",2025-07-29,"114500",68,84.4,"20"
"i70",2025-07-29,"120000",107,84.4,"20"
"i70",2025-07-29,"121500",140,84.4,"20"
"i70",2025-07-29,"123000",197,84.4,"20"
"i70",2025-07-29,"124500",242,84.4,"20"
"i70",2025-07-29,"130000",272,84.4,"20"
"i70",2025-07-29,"131500",309,84.4,"20"
"i70",2025-07-29,"133000",362,84.4,"20"
"i70",2025-07-29,"134500",401,84.4,"20"
"i70",2025-07-29,"140000",443,84.4,"20"
"i70",2025-07-29,"141500",479,84.4,"20"
"i70",2025-07-29,"143000",520,84.4,"20"
"i70",2025-07-29,"144500",557,84.4,"20"
"i70",2025-07-29,"150000",606,84.4,"20"
"i70",2025-07-29,"151500",640,84.4,"20"
"i70",2025-07-29,"153000",681,84.4,"20"
"i70",2025-07-29,"154500",727,84.4,"20"
"i70",2025-07-29,"160000",765,84.4,"20"
"i70",2025-07-29,"161500",797,84.4,"20"
"i70",2025-07-29,"163000",829,84.4,"20"
"i70",2025-07-29,"164500",856,84.4,"20"
"i70",2025-07-29,"170000",895,84.4,"20"
"i70",2025-07-29,"171500",934,84.4,"20"
"i70",2025-07-29,"173000",969,84.4,"20"
"i70",2025-07-30,"100000",33,83.4,"0"
"i70",2025-07-30,"101500",66,83.4,"0"
"i70",2025-07-30,"103000",93,83.4,"0"
"i70",2025-07-30,"104500",129,83.4,"0"
"i70",2025-07-30,"110000",168,83.4,"0"
"i70",2025-07-30,"111500",213,83.4,"0"
"i70",2025-07-30,"113000",251,83.4,"0"
"i70",2025-07-30,"114500",292,83.4,"0"
"i70",2025-07-30,"120000",328,83.4,"0"
"i70",2025-07-30,"121500",366,83.4,"0"
"i70",2025-07-30,"123000",421,83.4,"0"
"i70",2025-07-30,"124500",466,83.4,"0"
"i70",2025-07-30,"130000",503,83.4,"0"
"i70",2025-07-30,"131500",543,83.4,"0"
"i70",2025-07-30,"133000",585,83.4,"0"
"i70",2025-07-30,"134500",625,83.4,"0"
"i70",2025-07-30,"140000",662,83.4,"0"
"i70",2025-07-30,"141500",698,83.4,"0"
"i70",2025-07-30,"143000",737,83.4,"0"
"i70",2025-07-30,"144500",777,83.4,"0"
"i70",2025-07-30,"150000",810,83.4,"0"
"i70",2025-07-30,"151500",847,83.4,"0"
"i70",2025-07-30,"153000",884,83.4,"0"
"i70",2025-07-30,"154500",928,83.4,"0"
"i70",2025-07-30,"160000",968,83.4,"0"
"i70",2025-07-30,"161500",1005,83.4,"0"
"i70",2025-07-30,"163000",1048,83.4,"0"
"i70",2025-07-30,"164500",1086,83.4,"0"
"i70",2025-07-30,"170000",1123,83.4,"0"
"i70",2025-07-31,"100000",36,82.4,"35"
"i70",2025-07-31,"101500",72,82.4,"35"
"i70",2025-07-31,"103000",111,82.4,"35"
"i70",2025-07-31,"104500",155,82.4,"35"
"i70",2025-07-31,"110000",190,82.4,"35"
"i70",2025-07-31,"111500",233,82.4,"35"
"i70",2025-07-31,"113000",279,82.4,"35"
"i70",2025-07-31,"114500",324,82.4,"35"
"i70",2025-07-31,"120000",370,82.4,"35"
"i70",2025-07-31,"121500",403,82.4,"35"
"i70",2025-07-31,"123000",450,82.4,"35"
"i70",2025-07-31,"124500",488,82.4,"35"
"i70",2025-07-31,"130000",532,82.4,"35"
"i70",2025-07-31,"131500",573,82.4,"35"
"i70",2025-07-31,"133000",621,82.4,"35"
"i70",2025-07-31,"134500",677,82.4,"35"
"i70",2025-07-31,"140000",722,82.4,"35"
"i70",2025-07-31,"141500",767,82.4,"35"
"i70",2025-07-31,"143000",819,82.4,"35"
