"site","unit","date","time","speed_85","strip_spacing"
"sr12","w1",2025-07-07,2025-07-07 13:00:00,53,"20"
"sr12","w1",2025-07-07,2025-07-07 13:15:00,45,"20"
"sr12","w1",2025-07-07,2025-07-07 13:30:00,48,"20"
"sr12","w1",2025-07-07,2025-07-07 13:45:00,51.3,"20"
"sr12","w1",2025-07-07,2025-07-07 14:00:00,51.5,"20"
"sr12","w1",2025-07-07,2025-07-07 14:15:00,53.3,"20"
"sr12","w1",2025-07-07,2025-07-07 14:30:00,53.5,"20"
"sr12","w1",2025-07-07,2025-07-07 14:45:00,49.3,"20"
"sr12","w1",2025-07-07,2025-07-07 15:00:00,55,"20"
"sr12","w1",2025-07-07,2025-07-07 15:15:00,54,"20"
"sr12","w1",2025-07-07,2025-07-07 15:30:00,53,"20"
"sr12","w1",2025-07-07,2025-07-07 15:45:00,54.3,"20"
"sr12","w1",2025-07-07,2025-07-07 16:00:00,51.5,"20"
"sr12","w1",2025-07-07,2025-07-07 16:15:00,50,"20"
"sr12","w1",2025-07-07,2025-07-07 16:30:00,49.5,"20"
"sr12","w1",2025-07-07,2025-07-07 16:45:00,55.7,"20"
"sr12","w1",2025-07-07,2025-07-07 17:00:00,54,"20"
"sr12","w2",2025-07-07,2025-07-07 14:00:00,46,"20"
"sr12","w2",2025-07-07,2025-07-07 14:15:00,49.5,"20"
"sr12","w2",2025-07-07,2025-07-07 14:30:00,50.3,"20"
"sr12","w2",2025-07-07,2025-07-07 14:45:00,45.5,"20"
"sr12","w2",2025-07-07,2025-07-07 15:00:00,51,"20"
"sr12","w2",2025-07-07,2025-07-07 15:15:00,48,"20"
"sr12","w2",2025-07-07,2025-07-07 15:30:00,51,"20"
"sr12","w2",2025-07-07,2025-07-07 15:45:00,50,"20"
"sr12","w2",2025-07-07,2025-07-07 16:00:00,48,"20"
"sr12","w2",2025-07-07,2025-07-07 16:15:00,46.3,"20"
"sr12","w2",2025-07-07,2025-07-07 16:30:00,49,"20"
"sr12","w2",2025-07-07,2025-07-07 16:45:00,50.5,"20"
"sr12","w2",2025-07-07,2025-07-07 17:00:00,50.3,"20"
"sr12","w1",2025-07-08,2025-07-08 11:15:00,57,"0"
"sr12","w1",2025-07-08,2025-07-08 11:30:00,58.7,"0"
"sr12","w1",2025-07-08,2025-07-08 11:45:00,53.5,"0"
"sr12","w1",2025-07-08,2025-07-08 12:00:00,57.6,"0"
"sr12","w1",2025-07-08,2025-07-08 12:15:00,52,"0"
"sr12","w1",2025-07-08,2025-07-08 12:30:00,55,"0"
"sr12","w1",2025-07-08,2025-07-08 12:45:00,56,"0"
"sr12","w1",2025-07-08,2025-07-08 13:00:00,58,"0"
"sr12","w1",2025-07-08,2025-07-08 13:15:00,58,"0"
"sr12","w1",2025-07-08,2025-07-08 13:30:00,63,"0"
"sr12","w1",2025-07-08,2025-07-08 13:45:00,57.5,"0"
"sr12","w1",2025-07-08,2025-07-08 14:00:00,60.7,"0"
"sr12","w1",2025-07-08,2025-07-08 14:15:00,58,"0"
"sr12","w1",2025-07-08,2025-07-08 14:30:00,55.5,"0"
"sr12","w1",2025-07-08,2025-07-08 14:45:00,57,"0"
"sr12","w1",2025-07-08,2025-07-08 15:00:00,58.5,"0"
"sr12","w1",2025-07-08,2025-07-08 15:15:00,58.6,"0"
"sr12","w1",2025-07-08,2025-07-08 15:30:00,62.5,"0"
"sr12","w1",2025-07-08,2025-07-08 15:45:00,55,"0"
