site,date,time,event
sr12,2025-07-07,13:38:28:668,Arrival
sr12,2025-07-07,13:38:31:651,Vehicle Passing
sr12,2025-07-07,13:38:35:401,Vehicle Passing
sr12,2025-07-07,13:38:37:152,Vehicle Passing
sr12,2025-07-07,13:38:39:902,Vehicle Passing
sr12,2025-07-07,13:38:51:153,Vehicle Passing
sr12,2025-07-07,13:39:23:015,Vehicle Passing
sr12,2025-07-07,13:39:55:653,Vehicle Passing
sr12,2025-07-07,13:40:01:151,Vehicle Passing
sr12,2025-07-07,13:40:05:156,Waiting for Gap
sr12,2025-07-07,13:40:08:455,Entering Roadway
sr12,2025-07-07,13:40:22:904,Exiting Roadway
sr12,2025-07-07,13:40:28:403,Waiting for Gap
sr12,2025-07-07,13:40:38:157,Entering Roadway
sr12,2025-07-07,13:40:50:153,Exiting Roadway
sr12,2025-07-07,13:41:11:404,Vehicle Passing
sr12,2025-07-07,13:41:13:905,Vehicle Passing
sr12,2025-07-07,13:41:16:654,Waiting for Gap
sr12,2025-07-07,13:41:19:155,Entering Roadway
sr12,2025-07-07,13:41:33:902,Waiting for Gap
sr12,2025-07-07,13:41:33:903,Exiting Roadway
sr12,2025-07-07,13:41:38:656,Vehicle Passing
sr12,2025-07-07,13:41:39:903,Waiting for Gap
sr12,2025-07-07,13:41:55:154,Vehicle Passing
sr12,2025-07-07,13:42:02:404,Vehicle Passing
sr12,2025-07-07,13:42:02:906,Entering Roadway
sr12,2025-07-07,13:42:09:402,Waiting for Gap
sr12,2025-07-07,13:42:15:170,Vehicle Passing
sr12,2025-07-07,13:42:15:654,Waiting for Gap
sr12,2025-07-07,13:42:19:656,Vehicle Passing
sr12,2025-07-07,13:42:27:154,Vehicle Passing
sr12,2025-07-07,13:42:30:656,Vehicle Passing
sr12,2025-07-07,13:42:35:404,Entering Roadway
sr12,2025-07-07,13:42:51:654,Exiting Roadway
sr12,2025-07-07,13:42:57:402,Entering Roadway
sr12,2025-07-07,13:43:03:900,Waiting for Gap
sr12,2025-07-07,13:43:03:901,Exiting Roadway
sr12,2025-07-07,13:43:06:659,Vehicle Passing
sr12,2025-07-07,13:43:08:659,Vehicle Passing
sr12,2025-07-07,13:43:11:653,Vehicle Passing
sr12,2025-07-07,13:43:13:656,Vehicle Passing
sr12,2025-07-07,13:43:17:151,Vehicle Passing
sr12,2025-07-07,13:43:19:653,Vehicle Passing
sr12,2025-07-07,13:43:20:653,Vehicle Passing
sr12,2025-07-07,13:43:28:156,Entering Roadway
sr12,2025-07-07,13:43:48:656,Exiting Roadway
sr12,2025-07-07,13:44:43:905,Vehicle Passing
sr12,2025-07-07,13:45:08:406,Departure
sr12,2025-07-07,13:45:11:656,Vehicle Passing
sr12,2025-07-07,13:45:16:656,Vehicle Passing
sr12,2025-07-07,13:45:18:653,Vehicle Passing
sr12,2025-07-07,13:45:20:404,Vehicle Passing
us6,2025-07-15,16:18:36:902,Arrival
us6,2025-07-15,16:18:38:401,Vehicle Passing
us6,2025-07-15,16:18:41:652,Vehicle Passing
us6,2025-07-15,16:18:42:652,Vehicle Passing
us6,2025-07-15,16:19:03:152,Vehicle Passing
us6,2025-07-15,16:19:05:902,Vehicle Passing
us6,2025-07-15,16:19:10:903,Vehicle Passing
us6,2025-07-15,16:19:11:653,Waiting for Gap
us6,2025-07-15,16:19:12:151,Vehicle Passing
us6,2025-07-15,16:19:13:652,Entering Roadway
us6,2025-07-15,16:19:34:150,Waiting for Gap
us6,2025-07-15,16:19:34:151,Exiting Roadway
us6,2025-07-15,16:19:47:902,Vehicle Passing
us6,2025-07-15,16:19:51:900,Vehicle Passing
